Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Kitanoumi,11,4,14,82,100.695,0,62,3.79,Y1e,Y1e,Kirinji;Tochihikari;Kurohimeyama;Ozutsu;Washuyama;Takamiyama;Zaonishiki;Kaiki;Kurama;Asashio;Wajima
Wakanohana,14,1,26,117,151.9024,1,60,3.79,Y1w,Y1w,Asashio;Kurohimeyama;Kirinji;Takamiyama;Zaonishiki;Kaiki;Chiyonofuji;Toryu;Washuyama;Tochihikari;Dewanohana;Wajima;Masuiyama;Kitanoumi
Mienoumi,0,15,-30,0,0,2,59,3.79,Y2e,Y2e,
Wajima,11,4,14,73,97.5436,3,58,3.79,Y2w,Y2w,Ozutsu;Chiyonofuji;Kurama;Tochihikari;Tochiakagi;Kaiki;Kirinji;Toryu;Asashio;Zaonishiki;Takanohana
Takanohana,9,6,6,66,87.80250000000001,4,57,2.2896,O1e,O1e,Kurama;Tochihikari;Toryu;Kaiki;Kirinji;Ozutsu;Asashio;Masuiyama;Kitanoumi
Masuiyama,9,6,6,63,80.0454,5,56,2.2896,O1w,O1w,Tochiakagi;Zaonishiki;Kurohimeyama;Ozutsu;Tochihikari;Kirinji;Takamiyama;Wajima;Asashio
Asashio,6,9,-6,41,52.875699999999995,6,55,1.5961,S1e,S1e,Toryu;Kurama;Kirinji;Zaonishiki;Kaiki;Chiyonofuji
Tochiakagi,1,14,-26,14,21.932000000000002,7,54,1.5961,S1w,S1w,Takanosato
Chiyonofuji,10,5,10,90,123.7613,8,53,1.2755,K1e,K1e,Masuiyama;Kitanoumi;Toryu;Takanosato;Kurohimeyama;Ozutsu;Takanohana;Hoo;Tochihikari;Dewanohana
Kirinji,7,8,-2,49,63.6773,9,52,1.2755,K1w,K1w,Ozutsu;Zaonishiki;Toryu;Chiyonofuji;Kaiki;Tochihikari;Amanoyama
Ozutsu,5,10,-10,38,51.55199999999999,10,51,1.1274,,M1e,Asashio;Wakanohana;Toryu;Kurama;Arase
Takanosato,13,2,22,116,143.67239999999998,11,50,1.1274,,M1w,Masuiyama;Kirinji;Kaiki;Kitanoumi;Toryu;Dewanohana;Wajima;Hoo;Asashio;Aobayama;Kurosegawa;Amanoyama;Kurohimeyama
Zaonishiki,5,10,-10,32,43.3621,12,49,1.0589,,M2e,Takanohana;Tochiakagi;Ozutsu;Kurama;Kurosegawa
Kotokaze,0,15,-30,0,0,13,48,1.0589,,M2w,
Toryu,3,12,-18,17,19.8276,14,47,1.0272,,M3e,Tochiakagi;Zaonishiki;Washuyama
Kaiki,6,9,-6,52,68.6475,15,46,1.0272,,M3w,Chiyonofuji;Washuyama;Masuiyama;Dewanohana;Ozutsu;Kurohimeyama
Tochihikari,6,9,-6,44,49.195299999999996,16,45,1.0126,,M4e,Dewanohana;Asashio;Washuyama;Yutakayama;Toryu;Kaiki
Kurama,4,11,-14,23,24.4148,17,44,1.0126,,M4w,Tochihikari;Tochiakagi;Arase;Misugiiso
Kurohimeyama,6,9,-6,48,51.905499999999996,18,43,1.0058,,M5e,Takamiyama;Zaonishiki;Misugiiso;Tamanofuji;Washuyama;Masudayama
Takamiyama,7,8,-2,50,63.73509999999999,19,42,1.0058,,M5w,Arase;Ozutsu;Kurama;Takanohana;Zaonishiki;Yutakayama;Kirinji
Washuyama,8,7,2,62,65.2837,20,41,1.0027,,M6e,Arase;Aobayama;Aobajo;Masudayama;Amanoyama;Misugiiso;Kurama;Daijuyama
Arase,6,9,-6,36,36.7504,21,40,1.0027,,M6w,Kotetsuyama;Tochihikari;Amanoyama;Kurohimeyama;Shinko;Hidanohana
Dewanohana,8,7,2,62,69.1243,22,39,1.0012,,M7e,Hoo;Tamanofuji;Aobajo;Kotetsuyama;Daijuyama;Kurosegawa;Takanohana;Amanoyama
Hoo,10,5,10,67,72.4421,23,38,1.0012,,M7w,Aobajo;Kotetsuyama;Kurosegawa;Misugiiso;Tamanofuji;Kurama;Kaiki;Asashio;Takamiyama;Masudayama
Yutakayama,7,8,-2,40,45.7386,24,37,1.0006,,M8e,Kotetsuyama;Kurohimeyama;Hidanohana;Misugiiso;Arase;Ozutsu;Zaonishiki
Amanoyama,7,8,-2,53,54.80989999999999,25,36,1.0006,,M8w,Misugiiso;Daijuyama;Hidanohana;Tamanofuji;Aobajo;Takamiyama;Masudayama
Misugiiso,6,9,-6,51,54.9228,26,35,1.0003,,M9e,Daijuyama;Shinko;Masudayama;Aobayama;Aobajo;Dewanohana
Masudayama,8,7,2,60,65.2038,27,34,1.0003,,M9w,Yutakayama;Shinko;Hidanohana;Aobajo;Takamiyama;Aobayama;Kurama;Daijuyama
Aobayama,11,4,14,92,108.56380000000001,28,33,1.0001,,M10e,Kurosegawa;Hidanohana;Shinko;Hoo;Kurama;Amanoyama;Dewanohana;Daijuyama;Masuiyama;Takanohana;Takamiyama
Kurosegawa,8,7,2,57,57.3238,29,32,1.0001,,M10w,Amanoyama;Arase;Hidanohana;Yutakayama;Kurohimeyama;Misugiiso;Masudayama;Aobajo
Aobajo,4,11,-14,38,38.224199999999996,30,31,1.0001,,M11e,Tamanofuji;Arase;Yutakayama;Fujizakura
Tamanofuji,8,7,2,64,64.2738,31,30,1.0001,,M11w,Yutakayama;Arase;Washuyama;Masudayama;Kurosegawa;Hidanohana;Misugiiso;Daijuyama
Kotetsuyama,0,15,-30,0,0,32,29,1,,M12e,
Shinko,6,9,-6,45,45.21329999999999,33,28,1,,M12w,Amanoyama;Iwanami;Yutakayama;Mitsuruyama;Aobajo;Tamanofuji
Daijuyama,8,7,2,68,68.8768,34,27,1,,M13e,Shinko;Yutakayama;Hoo;Hokutenyu;Mitsuruyama;Arase;Aobajo;Kurosegawa
Hidanohana,5,10,-10,26,26.002,35,26,1,,M13w,Kotetsuyama;Misugiiso;Kotochitose;Iwanami;Kagetora
Kotochitose,6,9,-6,42,42.0014,36,25,1,,J1e,Hakuryu;Kagetora;Wakashimazu;Shinko;Iwanami;Hachiya
Hokutenyu,10,5,10,85,85.0072,37,24,1,,J1w,Kotochitose;Sadanoumi;Hakuryu;Matsuyama;Suiryu;Kotonofuji;Oshio;Hidanohana;Tamanofuji;Kotowaka
Mitsuruyama,9,6,6,71,71.0039,38,23,1,,J2e,Wakajishi;Hachiya;Daihi;Matsuyama;Wakashimazu;Hidanohana;Kotochitose;Hokutenyu;Aobajo
Iwanami,4,11,-14,31,31.0001,39,22,1,,J2w,Mitsuruyama;Hachiya;Banryuyama;Kagetora
Fujizakura,13,2,22,120,120.00170000000001,40,21,1,,J3e,Kotowaka;Hachiya;Matsuyama;Wakashimazu;Daio;Suiryu;Wakajishi;Shinko;Hakuryu;Hokutenyu;Oshio;Mitsuruyama;Daio
Kotowaka,8,7,2,56,55.0049,41,20,1,,J3w,Daihi;Tamakiyama;Suiryu;Wakajishi;Banryuyama;Iwanami;Aobajo;Shinko
Kagetora,5,10,-10,37,36,42,19,1,,J4e,Oshio;Onishiki;Taiko;Futatsuryu;Matsuyama
Sadanoumi,11,4,14,98,94.0018,43,18,1,,J4w,Kagetora;Oshio;Kotochitose;Futatsuryu;Daio;Daigo;Hidanohana;Mitsuruyama;Shinko;Fujizakura;Saisu
Daihi,7,8,-2,46,45,44,17,1,,J5e,Tamakiyama;Iwanami;Onishiki;Hachiya;Kotochitose;Kagetora;Futatsuryu
Banryuyama,8,7,2,63,62,45,16,1,,J5w,Daihi;Onishiki;Kotochitose;Suiryu;Wakashimazu;Hakuryu;Wakasegawa;Kotonofuji
Hakuryu,6,9,-6,37,36,46,15,1,,J6e,Hachiya;Iwanami;Taiko;Onishiki;Kagetora;Matsuyama
Hachiya,5,10,-10,37,36.0001,47,14,1,,J6w,Kotowaka;Tamakiyama;Futatsuryu;Suiryu;Banryuyama
Matsuyama,7,8,-2,48,42,48,13,1,,J7e,Wakajishi;Iwanami;Wakasegawa;Saisu;Taiko;Daihi;Kotochitose
Wakajishi,8,7,2,56,50,49,12,1,,J7w,Wakasegawa;Saisu;Iwanami;Daigo;Hachiya;Tamakiyama;Suiryu;Daihi
Futatsuryu,5,10,-10,37,37.0001,50,11,1,,J8e,Kotowaka;Kotonofuji;Iwanami;Suiryu;Hakuryu
Wakashimazu,10,5,10,80,79.0001,51,10,1,,J8w,Futatsuryu;Wakasegawa;Iwanami;Hokutenyu;Sadanoumi;Kagetora;Hakuryu;Kotonofuji;Onishiki;Matsuyama
Oshio,10,5,10,83,82.0001,52,9,1,,J9e,Daigo;Kotowaka;Taiko;Banryuyama;Wakajishi;Hakuryu;Kotochitose;Daio;Wakashimazu;Suiryu
Daigo,8,7,2,58,53.0001,53,8,1,,J9w,Taiko;Kotowaka;Kagetora;Banryuyama;Saisu;Onishiki;Hakuryu;Hachiya
Suiryu,4,11,-14,35,31,54,7,1,,J10e,Saisu;Daihi;Kagetora;Sadanoumi
Onishiki,7,8,-2,47,44.0001,55,6,1,,J10w,Suiryu;Taiko;Wakasegawa;Kotowaka;Futatsuryu;Wakajishi;Tamakiyama
Daio,12,3,18,101,100.0002,56,5,1,,J11e,Tamakiyama;Daihi;Banryuyama;Hachiya;Mitsuruyama;Matsuyama;Hokutenyu;Kotochitose;Kotonofuji;Onishiki;Kagetora;Daigo
Tamakiyama,7,8,-2,43,37,57,4,1,,J11w,Saisu;Banryuyama;Daigo;Taiko;Futatsuryu;Suiryu
Taiko,3,12,-18,13,11,58,3,1,,J12e,Wakasegawa;Futatsuryu
Wakasegawa,5,10,-10,27,26,59,2,1,,J12w,Futatsuryu;Hachiya;Daigo;Iwanami
Saisu,8,7,2,29,24,60,1,1,,J13e,Hakuryu;Daihi;Taiko;Futatsuryu
Kotonofuji,10,5,10,93,88,61,0,1,,J13w,Saisu;Tamakiyama;Onishiki;Daigo;Fujizakura;Matsuyama;Wakajishi;Suiryu;Sadanoumi;Oshio
