Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Hakuho,12,3,18,96,130.2194,0,69,3.79,Y1e,Y1e,Shohozan;Aminishiki;Toyonoshima;Tochiozan;Kyokutenho;Toyohibiki;Kaisei;Baruto;Goeido;Kotoshogiku;Kakuryu;Kisenosato
Harumafuji,15,0,30,125,174.5446,1,68,3.79,Y1w,Y1w,Tochiozan;Myogiryu;Toyonoshima;Kyokutenho;Toyohibiki;Shohozan;Kaisei;Gagamaru;Goeido;Baruto;Kotooshu;Kotoshogiku;Kisenosato;Kakuryu;Hakuho
Kisenosato,10,5,10,75,101.18250000000002,2,67,2.2896,O1e,O1e,Aminishiki;Kyokutenho;Myogiryu;Toyohibiki;Goeido;Shohozan;Toyonoshima;Kotoshogiku;Kaisei;Kakuryu
Kakuryu,8,7,2,60,77.7988,3,66,2.2896,O1w,O1w,Myogiryu;Shohozan;Toyonoshima;Baruto;Kyokutenho;Kotooshu;Kaisei;Aran
Kotooshu,10,5,10,83,108.0247,4,65,2.2896,O2e,O2e,Toyonoshima;Shohozan;Kaisei;Gagamaru;Tochiozan;Kyokutenho;Hakuho;Tochinoshin;Baruto;Kisenosato
Kotoshogiku,8,7,2,59,72.29480000000001,5,64,2.2896,O2w,O2w,Kyokutenho;Baruto;Toyohibiki;Myogiryu;Toyonoshima;Kaisei;Aran;Kakuryu
Goeido,8,7,2,68,86.8284,6,63,1.5961,S1e,S1e,Kaisei;Baruto;Kotoshogiku;Kotooshu;Kakuryu;Shohozan;Aran;Tochinoshin
Baruto,8,7,2,65,88.85050000000001,7,62,1.5961,S1w,S1w,Toyohibiki;Kisenosato;Shohozan;Tochiozan;Aminishiki;Myogiryu;Toyonoshima;Ikioi
Tochiozan,8,7,2,73,98.28500000000001,8,61,1.2755,K1e,K1e,Kakuryu;Kisenosato;Goeido;Aminishiki;Toyonoshima;Kyokutenho;Kotoshogiku;Takayasu
Shohozan,4,11,-14,30,38.66929999999999,9,60,1.2755,K1w,K1w,Tochiozan;Kotoshogiku;Kaisei;Kyokutenho
Aminishiki,9,6,6,69,90.89789999999999,10,59,1.1274,,M1e,Kotooshu;Kakuryu;Kotoshogiku;Shohozan;Kyokutenho;Goeido;Kaisei;Toyohibiki;Aoiyama
Myogiryu,7,8,-2,66,93.4046,11,58,1.1274,,M1w,Hakuho;Kotooshu;Aminishiki;Aran;Shohozan;Tochiozan;Tochinoshin
Toyonoshima,6,9,-6,47,64.3262,12,57,1.0589,,M2e,Goeido;Aminishiki;Aran;Gagamaru;Shohozan;Myogiryu
Kyokutenho,4,11,-14,27,27.7068,13,56,1.0589,,M2w,Gagamaru;Toyohibiki;Ikioi;Masunoyama
Toyohibiki,5,10,-10,30,33.1492,14,55,1.0272,,M3e,Yoshikaze;Masunoyama;Shohozan;Wakanosato;Toyonoshima
Kaisei,6,9,-6,43,43.9465,15,54,1.0272,,M3w,Toyohibiki;Aran;Ikioi;Gagamaru;Aoiyama;Masunoyama
Gagamaru,6,9,-6,41,41.3382,16,53,1.0126,,M4e,Aran;Aoiyama;Takekaze;Masunoyama;Yoshikaze;Wakanosato
Aran,7,8,-2,49,49.637800000000006,17,52,1.0126,,M4w,Toyohibiki;Kyokutenho;Tochinoshin;Masunoyama;Aoiyama;Yoshikaze;Daido
Homasho,0,15,-30,0,0,18,51,1.0058,,M5e,
Ikioi,8,7,2,64,69.3521,19,50,1.0058,,M5w,Aran;Aoiyama;Masunoyama;Kitataiki;Gagamaru;Takekaze;Tokitenku;Tochiozan
Tochinoshin,9,6,6,71,71.3614,20,49,1.0027,,M6e,Ikioi;Gagamaru;Masunoyama;Yoshikaze;Okinoumi;Kitataiki;Wakanosato;Takarafuji;Shotenro
Aoiyama,7,8,-2,64,70.3465,21,48,1.0027,,M6w,Takayasu;Masunoyama;Chiyotairyu;Tokitenku;Takekaze;Okinoumi;Myogiryu
