Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Kitanoumi,15,0,30,127,178.61290000000002,0,61,3.79,Y1e,Y1e,Chiyonofuji;Kaiketsu;Masudayama;Tamanofuji;Fujizakura;Kirinji;Takanohana;Tamakiyama;Aobayama;Kotokaze;Kaneshiro;Asahikuni;Mienoumi;Wajima;Wakanohana
Wakanohana,11,4,14,87,111.21300000000001,1,60,3.79,Y1w,Y1w,Tamanofuji;Kaiketsu;Kirinji;Masuiyama;Chiyonofuji;Kaneshiro;Mienoumi;Tamakiyama;Takamiyama;Aobayama;Asahikuni
Wajima,14,1,26,115,155.3856,2,59,3.79,Y2e,Y2e,Takanosato;Masuiyama;Kotokaze;Masudayama;Tamakiyama;Fujizakura;Chiyonofuji;Kirinji;Tamanofuji;Takanohana;Asahikuni;Kurama;Wakanohana;Mienoumi
Mienoumi,9,6,6,66,86.8928,3,58,2.2896,O1e,O1e,Masuiyama;Chiyonofuji;Masudayama;Kotokaze;Kirinji;Takanosato;Asahikuni;Kaiketsu;Tamanofuji
Asahikuni,9,6,6,68,88.2787,4,57,2.2896,O1w,O1w,Kotokaze;Masudayama;Takanosato;Aobayama;Tamanofuji;Fujizakura;Kirinji;Kurama;Takanohana
Takanohana,8,7,2,68,86.8435,5,56,2.2896,O2w,O2w,Fujizakura;Tamakiyama;Kotokaze;Masuiyama;Kaneshiro;Kaiketsu;Kurama;Mienoumi
Tamanofuji,7,8,-2,50,64.82339999999999,6,55,1.5961,S1e,S1e,Aobayama;Takanosato;Masudayama;Chiyonofuji;Kaiketsu;Takanohana;Fujizakura
Kotokaze,7,8,-2,58,73.8914,7,54,1.5961,S1w,S1w,Takanosato;Aobayama;Wakanohana;Chiyonofuji;Takamiyama;Kurama;Tamanofuji
Masuiyama,8,7,2,67,82.72070000000001,8,53,1.2755,K1e,K1e,Aobayama;Asahikuni;Kotokaze;Kaneshiro;Tamanofuji;Kaiketsu;Arase;Takamiyama
Chiyonofuji,5,10,-10,42,52.9107,9,52,1.2755,K1w,K1w,Takanohana;Takanosato;Asahikuni;Masuiyama;Tochiakagi
Takanosato,4,11,-14,24,24.3928,10,51,1.1274,,M1e,Oshio;Masudayama;Kurohimeyama;Tamakiyama
Kirinji,5,10,-10,34,43.5866,11,50,1.1274,,M1w,Takanohana;Tamanofuji;Chiyonofuji;Masudayama;Takanosato
Aobayama,5,10,-10,35,42.265499999999996,12,49,1.0589,,M2e,Mienoumi;Oshio;Takanosato;Kirinji;Misugiiso
Fujizakura,9,6,6,78,99.9587,13,48,1.0589,,M2w,Wakanohana;Kirinji;Mienoumi;Masuiyama;Arase;Kurohimeyama;Taiko;Kotokaze;Dewanohana
Masudayama,5,10,-10,32,34.591499999999996,14,47,1.0272,,M3e,Kaiketsu;Aobayama;Oshio;Tamakiyama;Kagetora
Kaiketsu,7,8,-2,46,54.86499999999999,15,46,1.0272,,M3w,Oshio;Takanosato;Kotokaze;Tochiakagi;Kirinji;Kurosegawa;Aobayama
Tamakiyama,5,10,-10,37,37.6274,16,45,1.0126,,M4e,Kaneshiro;Tochiakagi;Misugiiso;Oshio;Ogata
Kaneshiro,6,9,-6,36,41.10229999999999,17,44,1.0126,,M4w,Taiko;Aobayama;Kurosegawa;Onishiki;Chiyonofuji;Takanosato
Kurohimeyama,5,10,-10,35,39.468399999999995,18,43,1.0058,,M5e,Arase;Misugiiso;Kirinji;Aobayama;Masudayama
Arase,8,7,2,69,74.25819999999999,19,42,1.0058,,M5w,Kaiki;Dewanohana;Takamiyama;Tochiakagi;Futatsuryu;Kagetora;Taiko;Chiyonofuji
Oshio,5,10,-10,39,39.3197,20,41,1.0027,,M6e,Banryuyama;Kurosegawa;Kurohimeyama;Aobajo;Taiko
Takamiyama,10,5,10,84,89.3325,21,40,1.0027,,M6w,Oshio;Banryuyama;Kurohimeyama;Kaiketsu;Futatsuryu;Onishiki;Kurama;Kaiki;Takanohana;Aobajo
Kurosegawa,5,10,-10,29,29.424199999999995,22,39,1.0012,,M7e,Tamakiyama;Yutakayama;Masudayama;Onishiki;Kurohimeyama
Kurama,9,6,6,68,72.1382,23,38,1.0012,,M7w,Kurosegawa;Kaneshiro;Kagetora;Onishiki;Kurohimeyama;Arase;Tochiakagi;Kaiki;Masuiyama
Tochiakagi,8,7,2,59,59.76279999999999,24,37,1.0006,,M8e,Taiko;Aobajo;Yutakayama;Ogata;Kurohimeyama;Misugiiso;Dewanohana;Takanosato
Taiko,6,9,-6,46,46.0944,25,36,1.0006,,M8w,Ogata;Aobajo;Yutakayama;Banryuyama;Misugiiso;Onishiki
Kaiki,9,6,6,67,72.86749999999999,26,35,1.0003,,M9e,Ogata;Kaneshiro;Futatsuryu;Tamakiyama;Yutakayama;Aobajo;Onishiki;Taiko;Fujizakura
Dewanohana,10,5,10,73,78.60279999999999,27,34,1.0003,,M9w,Kaiki;Yutakayama;Oshio;Kurosegawa;Futatsuryu;Kurohimeyama;Takamiyama;Taiko;Chiyonofuji;Kaneshiro
Banryuyama,9,6,6,64,64.62939999999999,28,33,1.0001,,M10e,Arase;Kagetora;Ogata;Yutakayama;Onishiki;Kurosegawa;Tamakiyama;Kaiki;Tochiakagi
Misugiiso,7,8,-2,55,55.53819999999999,29,32,1.0001,,M10w,Banryuyama;Oshio;Dewanohana;Ogata;Kurosegawa;Futatsuryu;Onishiki
Onishiki,5,10,-10,36,36.669,30,31,1.0001,,M11e,Futatsuryu;Oshio;Kagetora;Kurohimeyama;Arase
Futatsuryu,8,7,2,60,62.70599999999999,31,30,1.0001,,M11w,Kagetora;Kurosegawa;Taiko;Aobajo;Tamakiyama;Banryuyama;Tochiakagi;Kirinji
Ogata,6,9,-6,48,48.066399999999994,32,29,1,,M12e,Kurosegawa;Kagetora;Kitaseumi;Daigo;Kotowaka;Onishiki
Aobajo,9,6,6,74,75.6334,33,28,1,,M12w,Ogata;Kurama;Dewanohana;Onishiki;Kurohimeyama;Banryuyama;Arase;Misugiiso;Kaneshiro
Yutakayama,4,11,-14,29,29.1381,34,27,1,,M13e,Kagetora;Misugiiso;Kotonofuji;Masudayama
Kagetora,5,10,-10,37,37.147999999999996,35,26,1,,M13w,Kaiki;Taiko;Kurosegawa;Oshio;Misugiiso
Washuyama,12,3,18,115,115.0001,36,25,1,,J1e,Daigo;Hoo;Kototateyama;Kotowaka;Ozutsu;Mitsuruyama;Kotonofuji;Terunoyama;Kotogatake;Zaonishiki;Taniarashi;Nagaoka
Daigo,8,7,2,70,70.00489999999999,37,24,1,,J1w,Taniarashi;Dairyugawa;Ryumon;Hoo;Ozutsu;Tochiisami;Kagetora;Kotogatake
Kotonofuji,8,7,2,66,66.0013,38,23,1,,J2e,Kitaseumi;Suiryu;Tochiisami;Mitsuruyama;Kasuganada;Daigo;Ogata;Ozutsu
Kitaseumi,9,6,6,71,71.0273,39,22,1,,J2w,Dairyugawa;Suiryu;Kototateyama;Ozutsu;Mitsuruyama;Yutakayama;Hoo;Daigo;Wakajishi
