Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Wajima,10,5,10,85,112.47259999999999,0,61,3.79,Y1e,Y1e,Kurohimeyama;Mienoumi;Hasegawa;Asahikuni;Wakajishi;Takamiyama;Kongo;Futagodake;Haguroiwa;Kitanoumi
Kotozakura,0,15,-30,0,0,1,60,3.79,Y1w,Y1w,
Kitanofuji,0,15,-30,0,0,2,59,3.79,Y2e,Y2e,
Kitanoumi,13,2,22,108,156.7814,3,58,2.2896,O1e,O1e,Hasegawa;Tochiazuma;Mienoumi;Daikirin;Wakanoumi;Kurohimeyama;Yutakayama;Kaiketsu;Asahikuni;Ryuko;Kongo;Takamiyama;Daiju
Takanohana,2,13,-22,14,19.7286,4,57,2.2896,O1w,O1w,Kaiketsu;Tochiazuma
Daikirin,10,5,10,87,124.0365,5,56,2.2896,O2e,O2e,Asahikuni;Kurohimeyama;Ryuko;Yutakayama;Wakanoumi;Mienoumi;Kaiketsu;Futagodake;Wajima;Daiju
Daiju,6,9,-6,48,64.1506,6,55,2.2896,O2w,O2w,Wakajishi;Ryuko;Tochiazuma;Hasegawa;Masuiyama;Wajima
Kaiketsu,8,7,2,52,68.8029,7,54,1.5961,S1e,S1e,Tochiazuma;Daiju;Kotozakura;Hasegawa;Asahikuni;Mienoumi;Fukunohana;Kitaseumi
Takamiyama,8,7,2,55,82.3531,8,53,1.5961,S1w,S1w,Kotozakura;Kurohimeyama;Wakajishi;Hasegawa;Daiju;Mienoumi;Kaiketsu;Daikirin
Kurohimeyama,9,6,6,63,81.4434,9,52,1.2755,K1e,K1e,Wakajishi;Takanohana;Mienoumi;Ryuko;Hasegawa;Daiju;Kongo;Wakanoumi;Arase
Hasegawa,4,11,-14,30,39.744800000000005,10,51,1.2755,K1w,K1w,Daikirin;Mienoumi;Wakajishi;Futagodake
Mienoumi,5,10,-10,29,37.1564,11,50,1.1274,,M1e,Takanohana;Daiju;Wakajishi;Tochiazuma;Ryuko
Asahikuni,9,6,6,71,94.2239,12,49,1.1274,,M1w,Kotozakura;Futagodake;Ryuko;Mienoumi;Wakanoumi;Daiju;Arase;Masuiyama;Yoshinotani
Wakajishi,5,10,-10,34,38.8615,13,48,1.0589,,M2e,Asahikuni;Tochiazuma;Kitaseumi;Asanobori;Tamakiyama
Tochiazuma,4,11,-14,29,35.2208,14,47,1.0589,,M2w,Asahikuni;Hasegawa;Asanobori;Fujizakura
Ryuko,7,8,-2,52,71.07789999999999,15,46,1.0272,,M3e,Yutakayama;Washuyama;Wakajishi;Takamiyama;Fujizakura;Hasegawa;Mutsuarashi
Yutakayama,11,4,14,88,127.23830000000002,16,45,1.0272,,M3w,Kotozakura;Kongo;Takanohana;Wajima;Daiju;Kaiketsu;Kitaseumi;Kurohimeyama;Futagodake;Masuiyama;Takamiyama
Masuiyama,12,3,18,105,143.0893,17,44,1.0126,,M4e,Wakanoumi;Arase;Haguroiwa;Wajima;Kaiketsu;Takanohana;Daikirin;Hasegawa;Takamiyama;Yoshinotani;Kurohimeyama;Kongo
Wakanoumi,6,9,-6,46,49.8064,18,43,1.0126,,M4w,Kongo;Fukunohana;Haguroiwa;Tochiazuma;Fujizakura;Hasegawa
