Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Hidenoumi,10,5,10,88,88,62,126,1,,N/A,Akua;Chiyomaru;Hakuyozan;Chiyosakae;Tokihayate;Tenshoho;Oshoma;Daishoho;Kagayaki;Kitanowaka
Chiyomaru,5,10,-10,36,36,63,125,1,,N/A,Yuma;Oshoumi;Tochimusashi;Shiden;Shishi
Tenshoho,5,10,-10,29,29,64,124,1,,N/A,Chiyomaru;Akua;Tochimusashi;Shimanoumi;Chiyonoumi
Yuma,5,10,-10,36,36,65,123,1,,N/A,Oshoumi;Hidenoumi;Kitaharima;Shiden;Kiryuko
Oshoumi,8,7,2,64,64,66,122,1,,N/A,Tochimusashi;Tenshoho;Hidenoumi;Shimanoumi;Shiden;Daishoho;Asakoryu;Chiyoshoma
Chiyosakae,6,9,-6,42,42,67,121,1,,N/A,Oshoumi;Tenshoho;Yuma;Shishi;Asakoryu;Kotoeko
Tochimusashi,5,10,-10,32,32,68,120,1,,N/A,Chiyosakae;Yuma;Hidenoumi;Tamashoho;Chiyonoumi
Kayo,3,12,-18,13,13,69,119,1,,N/A,Tochimusashi;Satorufuji;Chiyonoumi
Wakatakakage,7,8,-2,39,38,70,118,1,,N/A,Kayo;Kitaharima;Chiyonoumi;Chiyosakae;Onokatsu;Dewanoryu;Haruyama
Tsushimanada,5,10,-10,23,23,71,117,1,,N/A,Kayo;Hatsuyama;Chiyonoumi;Oshoumi;Kototebakari
Kitaharima,4,11,-14,21,21,72,116,1,,N/A,Tsushimanada;Kiryuko;Kayo;Akua
Takakento,0,15,-30,0,0,73,115,1,,N/A,
Satorufuji,3,12,-18,9,9,74,114,1,,N/A,Yago;Narutaki;Hitoshi
Chiyonoumi,2,13,-22,8,8,75,113,1,,N/A,Satorufuji;Kiryuko
Hatsuyama,1,14,-26,4,4,76,112,1,,N/A,Satorufuji
Kiryuko,3,12,-18,10,10,77,111,1,,N/A,Hatsuyama;Satorufuji;Kayo
