Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Akebono,14,1,26,111,147.2213,0,65,3.79,Y1e,Y1e,Akinoshima;Kirishima;Kotonowaka;Takamisugi;Daishoho;Takanonami;Tomonohana;Takatoriki;Kushimaumi;Misugisato;Kotonishiki;Konishiki;Takanohana;Musashimaru
Takanohana,7,8,-2,47,53.520900000000005,1,64,2.2896,O1e,O1e,Kyokudozan;Kenko;Terao;Kirishima;Mainoumi;Daishoho;Higonoumi
Wakanohana,12,3,18,101,128.7974,2,63,2.2896,O1w,O1w,Higonoumi;Tomonohana;Kushimaumi;Tochinowaka;Kenko;Mainoumi;Daishoho;Kotobeppu;Kotonishiki;Terao;Akebono;Konishiki
Konishiki,6,9,-6,38,44.1759,3,62,2.2896,O2e,O2e,Kirishima;Takatoriki;Takamisugi;Kotonowaka;Misugisato;Takanohana
Takanonami,12,3,18,89,112.1013,4,61,1.5961,S1e,S1e,Tochinowaka;Daishoho;Higonoumi;Kirishima;Kenko;Kotonowaka;Kushimaumi;Tomonohana;Konishiki;Terao;Mainoumi;Kotonishiki
Kotonishiki,9,6,6,61,74.78820000000002,5,60,1.5961,S1w,S1w,Kushimaumi;Kirishima;Takanohana;Daishoho;Takatoriki;Misugisato;Konishiki;Akinoshima;Tochinowaka
Musashimaru,13,2,22,118,154.0026,6,59,1.5961,S2w,S2w,Misugisato;Konishiki;Kotonishiki;Takatoriki;Wakanohana;Akebono;Akinoshima;Kotonowaka;Kushimaumi;Wakashoyo;Takanohana;Takanonami;Tochinowaka
Kotonowaka,7,8,-2,57,74.4498,7,58,1.2755,K1e,K1e,Takanohana;Kenko;Akinoshima;Tomonohana;Wakanohana;Takatoriki;Kushimaumi
Akinoshima,6,9,-6,43,54.611999999999995,8,57,1.2755,K1w,K1w,Konishiki;Kyokudozan;Tomonohana;Kirishima;Daishoho;Kotobeppu
Takatoriki,5,10,-10,32,39.497099999999996,9,56,1.1274,,M1e,Kushimaumi;Kotoinazuma;Kirishima;Tomonohana;Higonoumi
Kushimaumi,5,10,-10,34,40.4364,10,55,1.1274,,M1w,Takanohana;Konishiki;Akinoshima;Takamisugi;Tokitsunada
Misugisato,6,9,-6,43,53.9295,11,54,1.0589,,M2e,Tomonohana;Mainoumi;Kotonowaka;Kushimaumi;Daishoyama;Higonoumi
