Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Asashoryu,10,5,10,69,79.7598,0,68,3.79,Y1e,Y1e,Toyonoshima;Homasho;Kisenosato;Tokitenku;Kokkai;Kakizoe;Tamanoshima;Kotoshogiku;Ama;Kotomitsuki
Hakuho,15,0,30,109,134.25690000000003,1,67,2.2896,O1e,O1e,Kotoshogiku;Kokkai;Tamanoshima;Kakizoe;Homasho;Ama;Tokitenku;Kisenosato;Toyonoshima;Tochiozan;Kaio;Kotooshu;Kotomitsuki;Asashoryu
Kotooshu,9,6,6,51,57.576899999999995,2,66,2.2896,O1w,O1w,Homasho;Toyonoshima;Tochiozan;Kakizoe;Kokkai;Kisenosato;Tokitenku;Asashoryu
Kaio,10,5,10,68,81.79740000000001,3,65,2.2896,O2e,O2e,Tokitenku;Kotoshogiku;Kakizoe;Kokkai;Toyonoshima;Tamanoshima;Homasho;Kisenosato;Asashoryu;Kotooshu
Tochiazuma,0,15,-30,0,0,4,64,2.2896,O2w,O2w,
Kotomitsuki,12,3,18,77,95.38690000000003,5,63,1.5961,S1e,S1e,Tamanoshima;Kakizoe;Aminishiki;Toyonoshima;Homasho;Ama;Kokkai;Tochiozan;Kisenosato;Takekaze;Kaio
Ama,8,7,2,63,76.20299999999999,6,62,1.5961,S1w,S1w,Kakizoe;Tamanoshima;Toyonoshima;Kaio;Kotooshu;Kisenosato;Takekaze;Asasekiryu
Toyonoshima,4,11,-14,13,13.9474,7,61,1.2755,K1e,K1e,Kakizoe;Kokkai;Tamanoshima
Kotoshogiku,7,8,-2,51,62.0075,8,60,1.2755,K1w,K1w,Homasho;Ama;Toyonoshima;Tamanoshima;Aminishiki;Tochiozan;Kisenosato
Homasho,5,10,-10,26,29.9112,9,59,1.1274,,M1e,Kokkai;Toyonoshima;Tamanoshima;Ama
Tokitenku,8,7,2,60,69.3024,10,58,1.1274,,M1w,Takekaze;Kotomitsuki;Tochiozan;Kakizoe;Kotoshogiku;Homasho;Ama;Kakuryu
Kokkai,3,12,-18,16,17.4357,11,57,1.0589,,M2e,Kotoshogiku;Kakuryu;Kakizoe
Tamanoshima,6,9,-6,40,46.707,12,56,1.0589,,M2w,Kotooshu;Tokitsuumi;Tokitenku;Kokkai;Kasugao;Tochiozan
Kakizoe,0,15,-30,0,0,13,55,1.0272,,M3e,
Kisenosato,6,9,-6,38,39.740399999999994,14,54,1.0272,,M3w,Tochiozan;Kakuryu;Tokitsuumi;Takekaze;Toyonoshima;Homasho
Aminishiki,9,6,6,81,99.1803,15,53,1.0126,,M4e,Kisenosato;Takekaze;Kasugao;Tochiozan;Kakuryu;Kotooshu;Asashoryu;Kaio;Dejima
Tochiozan,6,9,-6,31,32.57809999999999,16,52,1.0126,,M4w,Takekaze;Tokitsuumi;Kakizoe;Kasugao;Homasho;Toyonoshima
Takekaze,8,7,2,64,70.1515,17,51,1.0058,,M5e,Wakanosato;Takamisakari;Tokitsuumi;Kasugao;Kokkai;Kotooshu;Kotoshogiku;Ryuo
Kakuryu,6,9,-6,47,47.8706,18,50,1.0058,,M5w,Tokitsuumi;Wakanosato;Miyabiyama;Tochinonada;Tochiozan;Tamakasuga
Tokitsuumi,3,12,-18,10,10.3947,19,49,1.0027,,M6e,Otsukasa;Kakizoe;Kokkai
Kasugao,5,10,-10,31,30.5945,20,48,1.0027,,M6w,Kakuryu;Miyabiyama;Otsukasa;Tokitsuumi;Toyonoshima
Takamisakari,9,6,6,72,77.9079,21,47,1.0012,,M7e,Kasugao;Tokitsuumi;Miyabiyama;Otsukasa;Tochinonada;Aminishiki;Futeno;Kakuryu;Hokutoriki
Wakanosato,10,5,10,81,83.2818,22,46,1.0012,,M7w,Roho;Kasugao;Miyabiyama;Otsukasa;Ryuo;Tamakasuga;Satoyama;Tochinonada;Homasho;Tokitenku
Kyokutenho,0,15,-30,0,0,23,45,1.0006,,M8e,
Asasekiryu,12,3,18,109,114.93589999999999,24,44,1.0006,,M8w,Wakanosato;Miyabiyama;Tokitsuumi;Otsukasa;Tochinonada;Kakuryu;Ryuo;Takamisakari;Hokutoriki;Futeno;Aminishiki;Roho
Roho,10,5,10,85,92.69579999999999,25,43,1.0003,,M9e,Takamisakari;Satoyama;Kakuryu;Kasugao;Takekaze;Dejima;Otsukasa;Hochiyama;Hokutoriki;Aminishiki
Miyabiyama,9,6,6,63,63.49979999999999,26,42,1.0003,,M9w,Roho;Otsukasa;Tokitsuumi;Futeno;Tochinohana;Hochiyama;Hokutoriki;Ushiomaru;Kokkai
Dejima,12,3,18,103,104.71459999999998,27,41,1.0001,,M10e,Otsukasa;Tochinonada;Tamakasuga;Tochinohana;Satoyama;Wakanosato;Hochiyama;Hokutoriki;Asasekiryu;Ryuo;Takamisakari;Kotoshogiku
Shimotori,0,15,-30,0,0,28,40,1.0001,,M10w,
Otsukasa,4,11,-14,23,23.006,29,39,1.0001,,M11e,Kasuganishiki;Tochinohana;Iwakiyama;Ushiomaru
Tochinonada,8,7,2,53,53.16349999999999,30,38,1.0001,,M11w,Tamakasuga;Otsukasa;Hochiyama;Satoyama;Iwakiyama;Ushiomaru;Miyabiyama;Tokitsuumi
Tamakasuga,5,10,-10,29,29.289900000000003,31,37,1,,M12e,Iwakiyama;Ushiomaru;Kasuganishiki;Kasugao;Otsukasa
Satoyama,7,8,-2,41,41.382799999999996,32,36,1,,M12w,Otsukasa;Hochiyama;Tamakasuga;Tokitsuumi;Iwakiyama;Kasugao;Ushiomaru
Futeno,10,5,10,78,78.346,33,35,1,,M13e,Satoyama;Hochiyama;Ushiomaru;Kasuganishiki;Iwakiyama;Tochinohana;Roho;Tochinonada;Dejima;Kakuryu
Tochinohana,4,11,-14,31,31.122099999999996,34,34,1,,M13w,Tamakasuga;Asasekiryu;Tokitsuumi;Satoyama
Ryuo,10,5,10,76,76.07589999999999,35,33,1,,M14e,Tochinohana;Iwakiyama;Satoyama;Tamakasuga;Hochiyama;Kasuganishiki;Ushiomaru;Roho;Futeno;Takamisakari
Hochiyama,6,9,-6,42,42.0356,36,32,1,,M14w,Ushiomaru;Kasuganishiki;Hokutoriki;Tochinohana;Takamisakari;Tamakasuga
