Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Chiyonofuji,10,5,10,58,69.6858,0,63,3.79,Y1e,Y1e,Hananoumi;Sadanoumi;Ozutsu;Jingaku;Kirinji;Wakashimazu;Sakahoko;Koboyama;Terao;Asahifuji
Futahaguro,10,5,10,62,77.0887,1,62,3.79,Y1w,Y1w,Ozutsu;Hananoumi;Jingaku;Kirinji;Terao;Asashio;Sakahoko;Koboyama;Wakashimazu;Chiyonofuji
Hokutoumi,13,2,22,101,146.10009999999997,2,61,2.2896,O1e,O1e,Asahifuji;Kirinji;Terao;Sadanoumi;Hananoumi;Jingaku;Masurao;Konishiki;Tochinowaka;Wakashimazu;Koboyama;Asashio;Futahaguro
Onokuni,15,0,30,135,196.73819999999998,3,60,2.2896,O1w,O1w,Sakahoko;Masurao;Sadanoumi;Terao;Asahifuji;Konishiki;Tochinowaka;Ryogoku;Asashio;Tochitsukasa;Wakashimazu;Koboyama;Futahaguro;Chiyonofuji;Hokutoumi
Asashio,8,7,2,54,62.89309999999999,4,59,2.2896,O2e,O2e,Koboyama;Hananoumi;Sadanoumi;Ozutsu;Sakahoko;Chiyonofuji;Terao;Daijuyama
Wakashimazu,4,11,-14,19,19.5781,5,58,2.2896,O2w,O2w,Terao;Jingaku;Ozutsu;Kirinji
Hokutenyu,0,15,-30,0,0,6,57,2.2896,O3e,O3e,
Konishiki,12,3,18,98,129.6701,7,56,1.5961,S1e,S1e,Kirinji;Koboyama;Sakahoko;Tochinowaka;Terao;Ryogoku;Hananoumi;Futahaguro;Chiyonofuji;Asahifuji;Tochitsukasa;Itai
Asahifuji,10,5,10,78,103.06070000000001,8,55,1.5961,S1w,S1w,Terao;Asashio;Kirinji;Wakashimazu;Sakahoko;Futahaguro;Hananoumi;Ryogoku;Tochinowaka;Kotogaume
Masurao,10,5,10,92,131.0264,9,54,1.2755,K1e,K1e,Futahaguro;Chiyonofuji;Asashio;Wakashimazu;Asahifuji;Konishiki;Terao;Tochitsukasa;Ryogoku;Kirinishiki
Hananoumi,6,9,-6,42,57.861000000000004,10,53,1.2755,K1w,K1w,Wakashimazu;Ryogoku;Sadanoumi;Masurao;Koboyama;Toryu
Sakahoko,6,9,-6,40,42.6986,11,52,1.1274,,M1e,Tochitsukasa;Kinoarashi;Kirinji;Ozutsu;Hananoumi;Tamaryu
Koboyama,3,12,-18,21,30.9731,12,51,1.1274,,M1w,Takanofuji;Masurao;Kirinji
Terao,5,10,-10,27,28.062099999999997,13,50,1.0589,,M2e,Ozutsu;Sadanoumi;Takanofuji;Koboyama;Daitetsu
Kirinji,3,12,-18,18,18.4577,14,49,1.0589,,M2w,Terao;Sadanoumi;Dewanohana
Jingaku,3,12,-18,15,15.372499999999999,15,48,1.0272,,M3e,Ozutsu;Kirinji;Takanofuji
Ozutsu,4,11,-14,24,24.467,16,47,1.0272,,M3w,Takanofuji;Daitetsu;Kirinji;Dewanohana
Sadanoumi,4,11,-14,25,25.768,17,46,1.0126,,M4e,Sakahoko;Ozutsu;Jingaku;Tagaryu
Tochinowaka,10,5,10,80,102.5236,18,45,1.0126,,M4w,Sadanoumi;Sakahoko;Daijuyama;Tagaryu;Asashio;Ryogoku;Masurao;Hananoumi;Wakashimazu;Maenoshin
Takanofuji,5,10,-10,39,39.839999999999996,19,44,1.0058,,M5e,Sasshunada;Itai;Kirinishiki;Sadanoumi;Sakahoko
Ryogoku,8,7,2,69,84.1165,20,43,1.0058,,M5w,Takanofuji;Sasshunada;Kirishima;Itai;Wakashimazu;Asashio;Hokutoumi;Kurama
Tochitsukasa,7,8,-2,52,54.88099999999999,21,42,1.0027,,M6e,Koboyama;Onishiki;Kirishima;Sasshunada;Hananoumi;Takanofuji;Kinoarashi
Daijuyama,8,7,2,66,66.9237,22,41,1.0027,,M6w,Tochitsukasa;Onishiki;Kotogaume;Tagaryu;Itai;Tamaryu;Toryu;Jingaku
Dewanohana,6,9,-6,43,43.515299999999996,23,40,1.0012,,M7e,Daitetsu;Kirishima;Kurama;Toryu;Tochitsurugi;Jingaku
Daitetsu,6,9,-6,42,42.803,24,39,1.0012,,M7w,Toryu;Kurama;Koboyama;Jingaku;Daijuyama;Itai
Kinoarashi,6,9,-6,41,41.611999999999995,25,38,1.0006,,M8e,Kirinishiki;Tamaryu;Jingaku;Ozutsu;Kirishima;Sadanoumi
Kirinishiki,8,7,2,50,50.80429999999999,26,37,1.0006,,M8w,Kirinji;Ozutsu;Daitetsu;Jingaku;Sasshunada;Dewanohana;Sadanoumi;Kirishima
Tagaryu,8,7,2,59,63.3048,27,36,1.0003,,M9e,Toryu;Jingaku;Ryogoku;Tamaryu;Kotogaume;Dewanohana;Kurama;Ozutsu
Toryu,7,8,-2,47,47.9501,28,35,1.0003,,M9w,Kinoarashi;Koboyama;Takanofuji;Onishiki;Tochitsurugi;Jingaku;Kotogaume
Tamaryu,8,7,2,67,67.97959999999999,29,34,1.0001,,M10e,Daitetsu;Toryu;Sasshunada;Dewanohana;Tochitsukasa;Onishiki;Kirishima;Maenoshin
Itai,8,7,2,70,73.95889999999999,30,33,1.0001,,M10w,Tamaryu;Tochitsukasa;Tochinowaka;Dewanohana;Kotogaume;Kinoarashi;Onishiki;Maenoshin
Kotogaume,8,7,2,64,64.7423,31,32,1.0001,,M11e,Takanofuji;Dewanohana;Maenoshin;Kurama;Tochitsukasa;Onishiki;Tochitsurugi;Tamaryu
Sasshunada,8,7,2,63,63.52669999999999,32,31,1.0001,,M11w,Kotogaume;Kinoarashi;Daijuyama;Dewanohana;Toryu;Tagaryu;Daitetsu;Tochitsurugi
Onishiki,9,6,6,67,68.11099999999999,33,30,1,,M12e,Kirishima;Kinoarashi;Tagaryu;Kirinishiki;Sasshunada;Daitetsu;Takanofuji;Tochitsurugi;Koboyama
