Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Terunofuji,Y1e,Y1e,M12e,0,0,0,30,0,30,0,0,0
Kotozakura,O1e,O1e,N/A,1,1,1,-25,14,-26,150.41090000000003,5,8.7263
Hoshoryu,O1w,O1w,N/A,2,2,2,-20,13,-22,112.77180000000001,5,8.0328
Onosato,O2w,O2e,N/A,3,3,3,-3,9,-6,79.7344,3,4.1471
Wakamotoharu,K1e,S1e,N/A,6,6,4,-4,10,-8,97.1553,2,3.1922
Daieisho,S1w,S1w,N/A,5,5,5,3,8,-2,67.07759999999999,3,5.1612
Abi,M3e,K1e,N/A,12,12,6,-2,11,-8,111.12209999999999,5,9.0469
Wakatakakage,M2e,K1w,N/A,10,10,7,0,10,-7,85.2308,4,6.7573
Takanosho,M6e,M1e,N/A,18,18,8,4,11,-4,94.9118,1,2.2896
Gonoyama,M8w,M1w,M1w,23,23,9,9,11,0,100.8452,1,1.5961
Tobizaru,M5e,M2e,M2e,16,16,10,10,9,0,59.2569,1,1.2755
Kirishima,S1e,M2w,M2e,4,4,11,10,6,-1,51.141,1,1.2755
Atamifuji,M3w,M3e,M2w,13,13,12,11,8,-1,62.3138,2,2.8716
Oho,M1e,M3w,M4e,8,8,13,14,6,1,49.79449999999999,2,3.8857
Chiyoshoma,M14e,M4e,M7e,34,34,14,20,11,6,81.9454,0,0
Shodai,K1w,M4w,M7w,7,7,15,21,4,6,34.2606,1,1.2755
Ura,M2w,M5e,M7w,11,11,16,21,5,5,34.166199999999996,1,1.5961
Takayasu,M9w,M5w,M8w,25,25,17,23,8,6,59.0511,0,0
Hiradoumi,M1w,M6e,M8w,9,9,18,23,4,5,28.1411,1,1.2755
Ichiyamamoto,M10e,M6w,M9e,26,26,19,24,8,5,64.0406,0,0
Endo,M7e,M7e,M8e,20,20,20,22,7,2,55.713899999999995,0,0
Mitakeumi,M7w,M7w,M8w,21,21,21,23,7,2,52.093199999999996,0,0
Roga,M8e,M8e,M9e,22,22,22,24,7,2,49.10739999999999,0,0
Kinbozan,J1w,M8w,M9w,43,43,23,25,12,2,101.00030000000001,0,0
Takarafuji,M10w,M9e,M9w,27,27,24,25,8,1,63.046099999999996,0,0
Midorifuji,M9e,M9w,M10e,24,24,25,26,7,1,60.7265,0,0
Tamawashi,M11e,M10e,M10e,28,28,26,26,8,0,59.032300000000006,0,0
Meisei,M11w,M10w,M10w,29,29,27,27,8,0,63.07979999999999,0,0
Churanoumi,M4e,M11e,M11e,14,14,28,28,4,0,29.474400000000003,2,2.8716
Takerufuji,M16w,M11w,M11w,39,39,29,29,10,0,80.09549999999999,0,0
Nishikigi,M6w,M12e,M11w,19,19,30,29,5,-1,42.3033,0,0
Oshoma,M4w,M12w,M11w,15,15,31,29,4,-2,33.1903,1,1.2755
Shonannoumi,M13w,M13e,M12w,33,33,32,31,8,-1,59.0139,0,0
Onokatsu,M15e,M13w,M12e,36,36,33,30,9,-3,79.43010000000001,0,0
Hokutofuji,M12e,M14e,M13e,30,30,34,32,7,-2,51.02120000000001,0,0
Hakuoho,J2w,M14w,M14w,45,45,35,35,10,0,82.0004,0,0
Kotoshoho,M5w,M15e,M14w,17,17,36,35,3,-1,19.9478,0,0
Kitanowaka,J1e,M15w,M15e,42,42,37,36,9,-1,72.0005,0,0
Tamashoho,J4e,M16e,M16e,48,48,38,38,10,0,80.0001,0,0
Kagayaki,J2e,M16w,M16e,44,44,39,38,9,-1,79,0,0
Nishikifuji,M14w,M17e,M17w,35,35,40,41,6,1,44.0146,0,0
Shiden,J6w,M17w,J1w,53,53,41,43,10,2,81,0,0
Tokihayate,M15w,J1e,J1w,37,37,42,43,6,1,46.007799999999996,0,0
Sadanoumi,M12w,J1w,J2w,31,31,43,45,4,2,29.061899999999998,0,0
Asakoryu,M17e,J2e,J3e,40,40,44,46,6,2,36.0034,0,0
Ryuden,M13e,J2w,J3e,32,32,45,46,4,1,29.0133,0,0
Kayo,J3w,J3e,J2w,47,47,46,45,8,-1,73,0,0
Shishi,M16e,J3w,J4e,38,38,47,48,5,1,33.0069,0,0
Tsurugisho,J7w,J4e,J2w,55,55,48,45,10,-3,90,0,0
Shirokuma,J3e,J4w,J4e,46,46,49,48,7,-1,51.0002,0,0
Shimanoumi,J4w,J5e,J5w,49,49,50,51,7,1,58.0001,0,0
Aonishiki,J11e,J5w,J6e,62,62,51,52,10,1,65,0,0
Hidenoumi,J7e,J6e,J6e,54,54,52,52,8,0,58,0,0
Tomokaze,J5w,J6w,J6w,51,51,53,53,7,0,66,0,0
Bushozan,M17w,J7e,J9w,41,41,54,59,3,5,21.004900000000003,0,0
Tochitaikai,J12w,J7w,J7w,65,65,55,55,10,0,60,0,0
Fujiseiun,J10w,J8e,J7w,61,61,56,55,9,-1,54,0,0
Daiseizan,J12e,J8w,J9e,64,64,57,58,9,1,51,0,0
Mitoryu,J8e,J9e,J9e,56,56,58,58,7,0,49,0,0
Oshoumi,J14w,J9w,J9w,69,69,59,59,10,0,75,0,0
Shimazuumi,J5e,J10e,J10e,50,50,60,60,5,0,36,0,0
Hakuyozan,J8w,J10w,J11w,57,57,61,63,6,2,36,0,0
Daiamami,J9e,J11e,J12e,58,58,62,64,6,2,47,0,0
Tohakuryu,J6e,J11w,J13e,52,52,63,66,4,3,29,0,0
Wakaikari,J13e,J12e,J14e,66,66,64,68,7,4,36,0,0
Kotoeiho,J13w,J12w,J14w,67,67,65,69,7,4,35,0,0
Nabatame,J14e,J13e,N/A,68,68,66,70,7,4,35,0,0
Daishoho,J9w,J13w,N/A,59,59,67,73,4,6,23,0,0
Onosho,J10e,J14e,N/A,60,60,68,82,2,14,9,0,0
Chiyomaru,J11w,J14w,N/A,63,63,69,89,1,20,5,0,0
