Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Chiyonofuji,Y1e,Y1e,N/A,0,0,0,-18,12,-18,126.62729999999999,5,9.0469
Hokutoumi,Y1w,Y1w,N/A,1,1,1,-9,10,-10,87.6438,1,1.5961
Onokuni,Y2e,Y2e,M11w,2,2,2,32,0,30,0,0,0
Asahifuji,O1e,O1e,N/A,3,3,3,-23,14,-26,163.89020000000002,8,17.9024
Konishiki,O1w,O1w,N/A,4,4,4,-6,10,-10,96.0307,4,7.9371
Hokutenyu,O2w,O2e,N/A,6,6,5,0,9,-5,89.0581,4,8.9512
Kirishima,O2e,O2w,M1e,5,5,6,11,6,5,49.8328,3,4.4677
Akinoshima,S1e,S1e,N/A,7,7,7,1,9,-6,101.94359999999998,4,9.9653
Kotonishiki,M1e,S1w,N/A,11,11,8,5,9,-3,99.6559,3,7.3551
Terao,K1w,K1e,N/A,10,10,9,8,8,-1,94.7863,4,8.9512
Jingaku,M4w,K1w,M3w,18,18,10,16,8,6,60.1428,1,1.2755
Tochinowaka,M5w,M1e,M4w,20,20,11,18,8,7,93.4418,3,5.1612
Misugisato,M7w,M1w,M4w,24,24,12,18,9,6,80.9278,0,0
Tochitsukasa,M8e,M2e,M5e,25,25,13,19,9,6,73.6714,0,0
Takamisugi,M6w,M2w,M5w,22,22,14,20,8,6,66.08709999999999,0,0
Ryogoku,M3e,M3e,M4e,15,15,15,17,7,2,90.6521,3,8.3692
Kotogaume,M7e,M3w,M6e,23,23,16,21,8,5,75.2545,1,1.2755
Mitoizumi,M3w,M4e,M6w,16,16,17,22,6,5,49.9778,2,3.5651
Kotofuji,S1w,M4w,M6w,8,8,18,22,4,4,40.4719,2,2.551
Kirinishiki,M5e,M5e,M6e,19,19,19,21,7,2,63.781400000000005,1,1.2755
Takanohama,M10e,M5w,M7e,29,29,20,23,9,3,77.46289999999999,0,0
Kasugafuji,M12w,M6e,M7w,34,34,21,24,10,3,83.1811,0,0
Ozutsu,M2w,M6w,M7w,14,14,22,24,5,2,28.646900000000002,2,2.8716
Wakasegawa,M11w,M7e,M8w,32,32,23,26,9,3,78.2455,0,0
Sakahoko,M9w,M7w,M8w,28,28,24,26,8,2,68.3043,0,0
Itai,M1w,M8e,M8w,12,12,25,26,4,1,26.0971,2,3.8857
Daijuyama,M4e,M8w,M9e,17,17,26,27,5,1,28.209600000000002,2,2.8716
Hananokuni,M2e,M9e,M9e,13,13,27,27,4,0,26.3943,2,2.8716
Wakahanada,J2e,M9w,M6w,40,40,28,22,12,-6,108,0,0
Enazakura,M10w,M10e,M9w,30,30,29,28,8,-1,63.69149999999999,0,0
Kyokudozan,M13e,M10w,M10e,35,35,30,29,9,-1,81.47730000000001,0,0
Kotoinazuma,M12e,M11e,M11e,33,33,31,31,8,0,71.63709999999999,0,0
Tagaryu,M6e,M11w,M11e,21,21,32,31,5,-1,32.3584,1,1.2755
Takanofuji,K1e,M12e,M11e,9,9,33,31,2,-2,23.974899999999998,1,1.5961
Daishoyama,J2w,M12w,M9e,41,41,34,27,11,-7,93.0048,0,0
Kyokugozan,M9e,M13e,M12e,27,27,35,33,6,-2,50.4124,0,0
Akebono,J3e,M13w,M9w,42,42,36,28,11,-8,97.0001,0,0
Takatoriki,J1e,M14e,M9w,38,38,37,28,10,-9,81.1841,0,0
Kushimaumi,M8w,M14w,M13w,26,26,38,36,5,-2,37.5664,0,0
Owakamatsu,M13w,M15e,M14w,36,36,39,38,7,-1,53.51859999999999,0,0
Oginohana,M11e,M15w,M16e,31,31,40,41,5,1,34.9154,0,0
Takahanada,J5e,M16e,J2e,46,46,41,44,8,3,64,0,0
Tamaryu,J1w,J1e,J2w,39,39,42,45,6,3,23.0027,0,0
Nishinoryu,J8e,J1w,J3e,52,52,43,46,9,3,75.0001,0,0
Kototsubaki,J9e,J2e,J4e,54,54,44,48,9,4,60.0001,0,0
Kotohakusan,J13w,J2w,J4w,63,63,45,49,11,4,89,0,0
Hoshiiwato,J7w,J3e,J4w,51,51,46,49,8,3,56,0,0
Kitakachidoki,J3w,J3w,J4w,43,43,47,49,6,2,37,0,0
Asahisato,M14e,J4e,J7w,37,37,48,55,3,7,19.4772,0,0
Sasshunada,J10w,J4w,J5w,57,57,49,51,9,2,68,0,0
Koboyama,J6w,J5e,J5w,49,49,50,51,7,1,39,0,0
Kotonowaka,J11w,J5w,J6w,59,59,51,53,9,2,69.0001,0,0
Tamakairiki,J9w,J6e,J6w,55,55,52,53,8,1,48.0001,0,0
Kinoarashi,J5w,J6w,J6w,47,47,53,53,6,0,35,0,0
Saganobori,J10e,J7e,J7e,56,56,54,54,8,0,71,0,0
Onohana,J6e,J7w,J7e,48,48,55,54,6,-1,33,0,0
Daitetsu,J4e,J8e,J7e,44,44,56,54,5,-2,20,0,0
Dairyu,J4w,J8w,J7w,45,45,57,55,5,-2,22,0,0
Tomoefuji,J12w,J9e,J9w,61,61,58,59,8,1,33,0,0
Yoshinobori,J13e,J9w,J10e,62,62,59,60,8,1,57,0,0
Goken,J12e,J10e,J11e,60,60,60,62,7,2,56,0,0
Hananofuji,J7e,J10w,N/A,50,50,61,76,1,15,7,0,0
Masurao,J8w,J11e,N/A,53,53,62,79,1,17,2,0,0
Ishinriki,J11e,J11w,N/A,58,58,63,80,2,17,2,0,0
