Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Musashimaru,Y1e,Y1e,M8w,0,0,0,26,1,26,5.3759999999999994,0,0
Takanohana,Y1w,Y1w,M11e,1,1,1,31,0,30,0,0,0
Tochiazuma,O2w,O1e,N/A,5,5,2,-21,13,-23,138.6889,5,8.7263
Chiyotaikai,O2e,O1w,N/A,4,4,3,-18,13,-21,142.0784,6,10.3224
Kotomitsuki,S1e,O2e,N/A,6,6,4,-12,12,-16,134.1779,6,11.0159
Musoyama,O1w,O2w,N/A,3,3,5,-7,10,-12,100.25810000000001,4,6.4367
Kaio,O1e,O3e,N/A,2,2,6,-4,9,-10,80.74699999999999,2,3.5651
Asashoryu,S1w,S1e,N/A,7,7,7,5,8,-2,78.8841,3,4.8406
Wakanosato,K1e,S1w,N/A,9,9,8,7,8,-1,67.9957,3,7.3551
Buyuzan,M8e,K1e,M1e,25,25,9,11,11,2,101.10119999999998,1,1.5961
Takanonami,M3w,K1w,M2w,16,16,10,14,8,4,74.0671,4,6.4367
Kyokutenho,K1w,M1e,M3w,10,10,11,16,6,5,43.115300000000005,0,0
Tokitsuumi,M11e,M1w,M4e,31,31,12,17,11,5,95.10279999999999,0,0
Tosanoumi,M7e,M2e,M4e,23,23,13,17,9,4,84.4668,1,1.5961
Kyokushuzan,M1e,M2w,M4e,11,11,14,17,6,3,50.61970000000001,2,5.0655
Kotonowaka,M5w,M3e,M4w,20,20,15,18,8,3,67.8834,1,1.2755
Akinoshima,M1w,M3w,M4w,12,12,16,18,6,2,46.438399999999994,1,1.5961
Tochinonada,M6e,M4e,M5e,21,21,17,19,8,2,76.7144,1,1.5961
Toki,M2w,M4w,M5w,14,14,18,20,6,2,41.4286,1,2.2896
Otsukasa,M7w,M5e,M6w,24,24,19,22,8,3,56.39719999999999,0,0
Aminishiki,M10e,M5w,M7e,29,29,20,23,9,3,67.8956,0,0
Dejima,M4w,M6e,M7w,18,18,21,24,6,3,56.615899999999996,0,0
Tamakasuga,M9e,M6w,M8e,27,27,22,25,8,3,61.25039999999999,0,0
Kaiho,M3e,M7e,M8e,15,15,23,25,5,2,45.4287,2,6.0796
Tochisakae,M14e,M7w,M11e,37,37,24,31,9,7,68.2427,0,0
Tamanoshima,M2e,M8e,M11e,13,13,25,31,3,6,30.6613,1,2.2896
Daizen,M8w,M8w,M9w,26,26,26,28,7,2,50.4364,0,0
Shimotori,J3e,M9e,M8w,44,44,27,26,12,-1,89.0615,0,0
Takamisakari,J5w,M9w,M9e,49,49,28,27,13,-1,110.0003,0,0
Hamanishiki,M13w,M10e,M12w,36,36,29,34,8,5,67.29289999999999,0,0
Chiyotenzan,M4e,M10w,M13e,17,17,30,35,3,5,26.953599999999998,0,0
Towanoyama,J3w,M11e,M11e,45,45,31,31,11,0,95.05980000000001,0,0
Oikari,M11w,M11w,M12w,32,32,32,34,7,2,45.45449999999999,0,0
Takanowaka,M5e,M12e,M14e,19,19,33,37,3,4,20.2788,0,0
Miyabiyama,S2e,M12w,M14w,8,8,34,38,0,4,0,0,0
Oginishiki,M13e,M13e,M14e,35,35,35,37,7,2,51.0744,0,0
Takatoriki,J2e,M13w,M13w,42,42,36,36,9,0,67.0033,0,0
Wakanoyama,M12e,M14e,J1w,33,33,37,43,5,6,28.0616,0,0
Jumonji,M14w,M14w,J2e,38,38,38,44,6,6,48.1827,0,0
Tamarikido,M10w,M15e,J2e,30,30,39,44,4,5,26.0662,0,0
Sentoryu,M15e,M15w,J2w,39,39,40,45,6,5,54.0133,0,0
Kobo,M9w,M16e,J3e,28,28,41,46,3,5,20.060299999999998,0,0
Tochinohana,J6e,J1e,J2e,50,50,42,44,9,2,66.0003,0,0
Kasuganishiki,J9e,J1w,J3e,56,56,43,46,10,3,84.0004,0,0
Ushiomaru,J11e,J2e,J3e,60,60,44,46,11,2,61,0,0
Kitazakura,J1e,J2w,J3e,40,40,45,46,6,1,41.059200000000004,0,0
Asanowaka,M12w,J3e,J6e,34,34,46,52,3,6,16.3769,0,0
Hayateumi,M6w,J3w,J6e,22,22,47,52,0,5,0,0,0
Hokutoriki,J10w,J4e,J4w,59,59,48,49,10,1,73,0,0
Aogiyama,J4e,J4w,J6e,46,46,49,52,6,3,39.05949999999999,0,0
Terao,J2w,J5e,J6w,43,43,50,53,5,3,32,0,0
Wakakosho,J6w,J5w,J6w,51,51,51,53,7,2,44,0,0
Kuniazuma,J5e,J6e,J7e,48,48,52,54,6,2,46.000299999999996,0,0
