Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Asashoryu,Y1e,Y1e,N/A,0,0,0,-30,15,-30,174.22989999999996,7,12.612
Chiyotaikai,O1w,O1e,N/A,2,2,1,-8,10,-9,98.74479999999998,3,5.1612
Kaio,O2e,O1w,N/A,3,3,2,-7,10,-9,94.01969999999999,5,9.0469
Tochiazuma,O1e,O2e,N/A,1,1,3,-5,9,-8,84.76169999999999,4,6.7573
Musoyama,O2w,O2w,M3w,4,4,4,14,5,10,52.0741,2,2.551
Kotomitsuki,M4w,S1e,N/A,16,16,5,-6,13,-11,143.04659999999996,3,5.8547
Wakanosato,K1w,S1w,N/A,8,8,6,2,9,-4,90.65969999999999,5,9.0469
Kakizoe,M5e,K1e,N/A,17,17,7,3,11,-4,107.548,1,2.2896
Shimotori,M7e,K1w,N/A,21,21,8,7,11,-1,94.4636,0,0
Miyabiyama,M7w,M1e,N/A,22,22,9,8,11,-1,84.49359999999999,0,0
Dejima,M6e,M1w,M1e,19,19,10,9,10,-1,102.06769999999999,0,0
Kyokushuzan,M2w,M2e,M1w,12,12,11,10,8,-1,84.6719,5,8.0328
Kyokutenho,M3w,M2w,M2w,14,14,12,12,8,0,66.39999999999999,3,5.1612
Tochinonada,K1e,M3e,M3e,7,7,13,13,6,0,49.6035,3,5.4818
Tamanoshima,S1w,M3w,M4w,6,6,14,16,5,2,37.855900000000005,2,3.8857
Aminishiki,M8e,M4e,M5e,23,23,15,17,9,2,86.765,0,0
Tokitsuumi,M4e,M4w,M5e,15,15,16,17,7,1,54.76919999999999,3,4.4677
Iwakiyama,M2e,M5e,M5e,11,11,17,17,6,0,44.752399999999994,3,4.4677
Tosanoumi,S1e,M5w,M6e,5,5,18,19,4,1,30.717899999999993,1,2.2896
Hokutoriki,M1w,M6e,M6w,10,10,19,20,5,1,34.9017,2,3.8857
Jumonji,M8w,M6w,M7w,24,24,20,22,8,2,59.87179999999999,0,0
Tochisakae,M11w,M7e,M8w,30,30,21,24,9,3,68.31969999999998,0,0
Kinkaiyama,M9w,M7w,M8w,26,26,22,24,8,2,46.048500000000004,0,0
Takanonami,M10e,M8e,M9e,27,27,23,25,8,2,61.19469999999998,0,0
Buyuzan,M14w,M8w,M9w,36,36,24,26,10,2,80.04790000000001,0,0
Kokkai,M10w,M9e,M9w,28,28,25,26,8,1,59.12319999999999,0,0
Kotoryu,M9e,M9w,M10e,25,25,26,27,7,1,51.231899999999996,0,0
Takamisakari,M3e,M10e,M10e,13,13,27,27,4,0,46.008199999999995,3,5.1612
Chiyotenzan,J3w,M10w,M11e,47,47,28,29,12,1,109,0,0
Asanowaka,M16e,M11e,M11e,39,39,29,29,10,0,79.03639999999999,0,0
Wakanoyama,J6w,M11w,M12e,53,53,30,31,13,1,125,0,0
Kasuganishiki,M5w,M12e,M12w,18,18,31,32,4,1,36.213699999999996,0,0
Asasekiryu,M12e,M12w,M13e,31,31,32,33,7,1,54.19549999999999,0,0
Takekaze,M6w,M13e,M13w,20,20,33,34,4,1,27.8967,0,0
Toki,M1e,M13w,M14e,9,9,34,35,1,1,7.9539,1,2.2896
Harunoyama,J3e,M14e,M14w,46,46,35,36,10,1,74.0001,0,0
Ushiomaru,M14e,M14w,M15e,35,35,36,37,7,1,50.02309999999999,0,0
Futeno,J4w,M15e,M16e,49,49,37,39,10,2,80,0,0
Yotsukasa,M11e,M15w,M16e,29,29,38,39,5,1,33.008900000000004,0,0
Toyozakura,J1e,M16e,M16w,42,42,39,40,8,1,66.0001,0,0
Kaiho,M15w,M16w,M16w,38,38,40,40,7,0,53.09179999999999,0,0
Roho,J9w,M17e,M17e,59,59,41,41,12,0,93,0,0
Tamakasuga,M16w,J1e,J1e,40,40,42,42,7,0,44.222899999999996,0,0
Otsukasa,J2e,J1w,J1e,44,44,43,42,8,-1,60.0012,0,0
Hayateumi,M17e,J2e,J1w,41,41,44,43,7,-1,55.022299999999994,0,0
Wakatoba,M12w,J2w,J3e,32,32,45,46,4,1,35.0019,0,0
Oikari,J4e,J3e,J1e,48,48,46,42,9,-4,55,0,0
Takanowaka,M13w,J3w,J4e,34,34,47,48,4,1,30.002499999999998,0,0
Kobo,J1w,J4e,J2w,43,43,48,45,7,-3,65.0027,0,0
Kitazakura,M15e,J4w,J7w,37,37,49,55,3,6,15.2164,0,0
Kaido,J8e,J5e,J7e,56,56,50,54,8,4,66,0,0
Towanoyama,J5w,J5w,J6w,51,51,51,53,7,2,40,0,0
Kasugao,J2w,J6e,J7w,45,45,52,55,5,3,30,0,0
Nakao,J11e,J6w,J8e,62,62,53,56,9,3,64,0,0
Takanotsuru,J5e,J7e,J8e,50,50,54,56,6,2,46,0,0
Kotonowaka,M13e,J7w,J11w,33,33,55,63,0,8,0,0,0
Hakuho,J12e,J8e,J9e,64,64,56,58,9,2,79,0,0
Juzan,J14w,J8w,J11w,69,69,57,63,9,6,48,0,0
Hamanishiki,J13e,J9e,J12e,66,66,58,64,8,6,46,0,0
Sumanofuji,J14e,J9w,J13e,68,68,59,66,8,7,54,0,0
Masutsuyoshi,J9e,J10e,J14e,58,58,60,68,5,8,27,0,0
Daimanazuru,J10w,J10w,J13w,61,61,61,67,6,6,26,0,0
Bushuyama,J11w,J11e,J12w,63,63,62,65,7,3,36,0,0
Gokenzan,J10e,J11w,N/A,60,60,63,74,4,11,25,0,0
Tochifudo,J12w,J12e,N/A,65,65,64,75,5,11,18,0,0
Tochinohana,J6e,J12w,N/A,52,52,65,78,1,13,6,0,0
Oginishiki,J13w,J13e,N/A,67,67,66,81,4,15,22,0,0
Gojoro,J7e,J13w,N/A,54,54,67,84,0,17,0,0,0
Tamarikido,J7w,J14e,N/A,55,55,68,85,0,17,0,0,0
Wakatenro,J8w,J14w,N/A,57,57,69,87,0,18,0,0,0
