Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Sadanoyama,Y1w,Y1e,N/A,1,1,0,-17,12,-17,144.1329,6,11.0159
Taiho,Y1e,Y1w,N/A,0,0,1,-14,11,-15,122.93139999999998,5,9.4198
Kashiwado,Y2e,Y2e,N/A,2,2,2,-12,11,-14,133.3848,5,10.226700000000001
Tamanoshima,O1w,O1e,N/A,4,4,3,-10,11,-13,154.0193,8,18.9165
Yutakayama,O2w,O1w,N/A,6,6,4,-4,10,-8,120.1546,6,12.8369
Kitanofuji,O1e,O2e,N/A,3,3,5,1,8,-4,89.66689999999998,4,8.9512
Kotozakura,O2e,O2w,N/A,5,5,6,3,8,-3,77.79509999999999,3,6.6616
Hasegawa,M1e,S1e,N/A,11,11,7,5,9,-2,101.41659999999999,5,8.0328
Kainoyama,S1w,S1w,N/A,8,8,8,6,8,-2,96.2449,4,9.6447
Fukunohana,M5w,K1e,N/A,20,20,9,6,11,-3,95.18449999999999,2,2.8716
Kiyokuni,K1e,K1w,N/A,9,9,10,7,8,-3,96.4787,4,7.4508
Mutsuarashi,M4w,M1e,N/A,18,18,11,8,10,-3,89.7485,2,2.8716
Yoshinohana,M7w,M1w,M2w,24,24,12,14,10,2,70.5945,0,0
Maenoyama,M8e,M2e,M3e,25,25,13,15,10,2,75.69199999999998,0,0
Futagodake,K1w,M2w,M5w,10,10,14,20,5,6,75.8321,3,6.1753
Tochiazuma,M8w,M3e,M5w,26,26,15,20,9,5,72.111,0,0
Kotetsuyama,M2w,M3w,M5w,14,14,16,20,6,4,58.14809999999999,2,3.5651
Wakafutase,M3e,M4e,M6e,15,15,17,21,6,4,69.18459999999999,3,6.1753
Hirokawa,M7e,M4w,M6e,23,23,18,21,8,3,59.4935,0,0
Kirinji,S1e,M5e,M6e,7,7,19,21,4,2,44.9143,2,5.3861
Hanahikari,M9w,M5w,M6w,28,28,20,22,9,2,71.7122,0,0
Myobudani,M1w,M6e,M6w,12,12,21,22,5,1,61.6699,3,6.9822
Aonosato,M10e,M6w,M7e,29,29,22,23,9,1,65.868,0,0
Misogidori,M4e,M7e,M7e,17,17,23,23,6,0,34.2646,0,0
Wakanokuni,J2w,M7w,M5e,37,37,24,19,12,-5,102,0,0
Fujinishiki,M9e,M8e,M8e,27,27,25,25,8,0,67.58699999999999,0,0
Daiyu,M6e,M8w,M9e,21,21,26,27,6,1,44.21539999999999,0,0
Takamiyama,J1e,M9e,M7w,34,34,27,24,10,-3,87.0174,0,0
Wakanami,M3w,M9w,M10w,16,16,28,30,4,2,25.188,0,0
Fujinokawa,M2e,M10e,M11e,13,13,29,31,3,2,15.081699999999998,0,0
Wakatenryu,J4e,M10w,M8w,40,40,30,26,11,-4,96.0002,0,0
Wakayoshiba,M6w,M11e,M11w,22,22,31,32,5,1,30.251199999999997,0,0
Wakamiyama,M5e,M11w,M12e,19,19,32,33,4,1,27.2306,0,0
Tokibayama,J1w,M12e,M10e,35,35,33,29,9,-4,67,0,0
Toda,M10w,M12w,M13w,30,30,34,36,6,2,43.3069,0,0
Tensuiyama,M11e,M13e,M14e,31,31,35,37,6,2,42.369099999999996,0,0
Asaoka,J3e,M13w,M11w,38,38,36,32,9,-4,76,0,0
Ryuko,J10e,M14e,M14w,52,52,37,38,11,1,84,0,0
Kitanohana,J4w,M14w,M15e,41,41,38,39,8,1,52.0028,0,0
Wakachichibu,M11w,M15e,J3e,32,32,39,46,4,7,26.2164,0,0
Kairyuyama,J3w,M15w,M16e,39,39,40,41,7,1,60,0,0
Tochiisami,J12e,M16e,J1e,56,56,41,42,11,1,97.0002,0,0
Tochifuji,J5e,J1e,J2e,42,42,42,44,7,2,59.0002,0,0
Oiteyama,J5w,J1w,J2w,43,43,43,45,7,2,46.0028,0,0
Dairyugawa,J8e,J2e,J3e,48,48,44,46,8,2,58.0002,0,0
Daimonji,J9w,J2w,J4w,51,51,45,49,8,4,62,0,0
Tochioyama,J7e,J3e,J4e,46,46,46,48,7,2,55.0002,0,0
Ryushoyama,J7w,J3w,J4w,47,47,47,49,7,2,42,0,0
Toyokuni,M12e,J4e,J7w,33,33,48,55,2,7,13.0946,0,0
Wakanaruto,J2e,J4w,J5e,36,36,49,50,4,1,23.0028,0,0
Asanobori,J8w,J5e,J5w,49,49,50,51,7,1,56,0,0
Oiyama,J13w,J5w,J6w,59,59,51,53,9,2,74,0,0
Asakaze,J11w,J6e,J6w,55,55,52,53,8,1,56,0,0
Kitanokuni,J6e,J6w,J7e,44,44,53,54,5,1,29,0,0
Kurowashi,J12w,J7e,J7w,57,57,54,55,8,1,60,0,0
Kiminishiki,J6w,J7w,J7w,45,45,55,55,5,0,36,0,0
Ogiyama,J11e,J8e,J8e,54,54,56,56,7,0,52,0,0
Asaarashi,J13e,J8w,J10e,58,58,57,60,7,3,49,0,0
Sanbeyama,J10w,J9e,N/A,53,53,58,71,3,13,16,0,0
Akinokuni,J9e,J9w,N/A,50,50,59,72,2,13,17,0,0
