Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Kitanoumi,Y1w,Y1e,N/A,1,1,0,-29,15,-29,185.4292,10,20.9812
Wajima,Y1e,Y1w,N/A,0,0,1,-10,10,-11,92.7857,4,7.4508
Asahikuni,O1w,O1e,N/A,3,3,2,-23,14,-25,173.7632,9,18.6916
Wakamisugi,O1e,O1w,N/A,2,2,3,-8,10,-11,84.3828,4,7.4508
Takanohana,O2e,O2e,N/A,4,4,4,-6,10,-10,96.7743,4,9.9653
Mienoumi,O2w,O2w,N/A,5,5,5,7,7,2,62.9309,2,2.551
Arase,S1e,S1e,N/A,7,7,6,-7,11,-13,127.9081,6,11.0159
Takamiyama,K1e,S1w,N/A,9,9,7,3,9,-4,102.4298,5,11.2408
Kaiketsu,O3e,S2e,M3w,6,6,8,16,5,8,51.1592,2,3.5651
Yutakayama,M6w,K1e,M1w,22,22,9,12,10,3,105.90419999999999,2,5.0655
Kirinji,M4e,K1w,M3e,17,17,10,15,8,5,62.4966,1,1.2755
Kotokaze,M5e,M1e,M4e,19,19,11,17,8,6,78.5311,1,1.5961
Kurohimeyama,M7w,M1w,M4w,24,24,12,18,9,6,85.9127,0,0
Oshio,M1w,M2e,M4w,12,12,13,18,6,5,62.0617,5,9.0469
Aobayama,M5w,M2w,M4w,20,20,14,18,8,4,60.88919999999999,0,0
Tamanofuji,K1w,M3e,M5w,10,10,15,20,5,5,43.4859,3,6.1753
Kaneshiro,M3e,M3w,M6e,15,15,16,21,6,5,39.538700000000006,3,5.1612
Masuiyama,M1e,M4e,M6e,11,11,17,21,5,4,35.6328,2,3.8857
Fujizakura,M4w,M4w,M5w,18,18,18,20,7,2,46.5542,0,0
Onishiki,M11e,M5e,M8e,31,31,19,25,9,6,69.76570000000001,0,0
Banryuyama,M11w,M5w,M8w,32,32,20,26,9,6,72.9253,0,0
Tochiakagi,M9w,M6e,M8w,28,28,21,26,8,5,62.5729,0,0
Kurama,M3w,M6w,M8w,16,16,22,26,5,4,37.5415,1,2.2896
Aobajo,M7e,M7e,M8e,23,23,23,25,7,2,55.917300000000004,0,0
Washuyama,S1w,M7w,M8w,8,8,24,26,3,2,20.410400000000003,1,2.2896
Futatsuryu,M12e,M8e,M9e,33,33,25,27,9,2,76.3824,0,0
Kitaseumi,M10e,M8w,M9e,29,29,26,27,8,1,57.593799999999995,0,0
Masudayama,M10w,M9e,M9w,30,30,27,28,8,1,61.0003,0,0
Wakajishi,M2w,M9w,M9w,14,14,28,28,4,0,29.593400000000003,1,1.5961
Chiyozakura,J2e,M10e,M7w,38,38,29,24,11,-5,93.1018,0,0
Takanosato,M6e,M10w,M11e,21,21,30,31,5,1,33.6091,0,0
Kaiki,M2e,M11e,M11e,13,13,31,31,3,0,18.272899999999996,0,0
Dewanohana,J1e,M11w,M8w,36,36,32,26,10,-6,90.0146,0,0
Onobori,M8e,M12e,M15e,25,25,33,39,4,6,37.2654,0,0
Tamakiyama,M12w,M12w,M15w,34,34,34,40,6,6,36.4599,0,0
Misugiiso,J1w,M13e,M13e,37,37,35,35,8,0,55.0746,0,0
Chiyonofuji,J7e,M13w,M14w,48,48,36,38,10,2,79.0012,0,0
Dairyugawa,J3w,M14e,M15e,41,41,37,39,8,2,58.0601,0,0
Adachi,J5e,M14w,J1e,44,44,38,42,8,4,63.0006,0,0
Daio,M8w,M15e,J4e,26,26,39,48,2,9,9.274899999999999,0,0
Tochiisami,J8w,M15w,J2w,51,51,40,45,9,5,71.00059999999999,0,0
Suiryu,J9w,M16e,J3w,53,53,41,47,9,6,65,0,0
Asanobori,J7w,J1e,J3w,49,49,42,47,8,5,64.00059999999999,0,0
Kotonofuji,J8e,J1w,J4e,50,50,43,48,8,5,71.00129999999999,0,0
Kotogatake,J4e,J2e,J4e,42,42,44,48,6,4,46.0006,0,0
Daigo,J4w,J2w,J4w,43,43,45,49,6,4,54,0,0
Konuma,J9e,J3e,J5e,52,52,46,50,8,4,68.0007,0,0
Yamaguchi,J3e,J3w,J5e,40,40,47,50,5,3,37.0012,0,0
Wakanoumi,M9e,J4e,J8w,27,27,48,57,0,9,0,0,0
Ogata,J10e,J4w,J6e,54,54,49,52,8,3,60,0,0
Owashi,J12w,J5e,J6w,59,59,50,53,9,3,76.0007,0,0
Ushiwakamaru,J10w,J5w,J6w,55,55,51,53,8,2,58,0,0
Kasuganada,J13e,J6e,J7e,60,60,52,54,9,2,51,0,0
Taiko,J11w,J6w,J7w,57,57,53,55,8,2,60,0,0
Kiyonohana,J5w,J7e,J7w,45,45,54,55,5,1,34,0,0
Katsunishiki,J6w,J7w,J8w,47,47,55,57,5,2,37,0,0
Hachiya,J2w,J8e,J8w,39,39,56,57,3,1,27,0,0
Daishin,J11e,J8w,J9e,56,56,57,58,7,1,40,0,0
Ryumon,J12e,J9e,J12e,58,58,58,64,6,6,43,0,0
Iwashita,M13e,J9w,J12w,35,35,59,65,0,6,0,0,0
Haguroiwa,J6e,J10e,N/A,46,46,60,76,0,16,0,0,0
