Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Akebono,Y1e,Y1e,N/A,0,-1,0,-23,13,-23,164.81800000000004,8,14.2081
Musashimaru,Y2e,Y1w,N/A,2,1,1,-9,10,-10,106.62009999999998,2,5.0655
Takanohana,Y1w,Y2e,N/A,1,0,2,10,5,8,49.4131,2,2.551
Chiyotaikai,O1e,O1e,N/A,3,2,3,-12,11,-15,155.9521,8,19.4028
Dejima,O2e,O1w,N/A,5,4,4,-6,10,-10,121.51359999999998,4,6.4367
Miyabiyama,O1w,O2e,N/A,4,3,5,9,6,4,63.57759999999999,2,3.5651
Tochiazuma,S1w,S1e,N/A,8,7,6,-11,12,-17,137.4095,8,18.5959
Kaio,S1e,S1w,N/A,7,6,7,-8,11,-15,133.0085,8,18.5959
Musoyama,O2w,S2e,M5e,6,5,8,19,4,11,38.852599999999995,0,0
Akinoshima,M1e,K1e,N/A,12,11,9,9,8,0,78.90879999999999,3,5.8547
Takanonami,S2w,K1w,N/A,9,8,10,10,7,0,105.0489,5,12.2549
Tosanoumi,K1e,M1e,M1e,10,9,11,11,7,0,74.2464,5,11.2408
Kotoryu,M6w,M1w,M3w,23,22,12,16,9,4,73.6107,0,0
Wakanosato,J1e,M2e,M4e,40,39,13,17,13,4,113,0,0
Chiyotenzan,M9e,M2w,M4e,28,27,14,17,10,3,85.4409,0,0
Hayateumi,M5e,M3e,M4e,20,19,15,17,8,2,84.05239999999999,3,5.8547
Tochinonada,M3e,M3w,M4e,16,15,16,17,7,1,58.002199999999995,1,2.2896
Kyokutenho,M7w,M4e,M4w,25,24,17,18,9,1,78.97559999999999,0,0
Oginishiki,M4e,M4w,M5e,18,17,18,19,7,1,67.72999999999999,2,3.8857
Toki,M2e,M5e,M5e,14,13,19,19,6,0,65.20249999999999,4,7.4508
Takatoriki,M8w,M5w,M5w,27,26,20,20,9,0,74.3064,0,0
Takanowaka,M2w,M6e,M5w,15,14,21,20,6,-1,64.78909999999999,3,5.8547
Wakanoyama,M4w,M6w,M5w,19,18,22,20,7,-2,52.93879999999999,0,0
Takamisakari,M11e,M7e,M6e,32,31,23,21,10,-2,83.36979999999998,0,0
Kotonowaka,M7e,M7w,M6e,24,23,24,21,8,-3,66.5405,0,0
Tochinohana,M1w,M8e,M6w,13,12,25,22,5,-3,57.1854,4,6.7573
Kaiho,M6e,M8w,M7e,22,21,26,23,7,-3,65.6303,0,0
Aminishiki,M13w,M9e,M8w,37,36,27,26,10,-1,82.181,0,0
Tokitsuumi,M11w,M9w,M8w,33,32,28,26,9,-2,74.41,0,0
Asanowaka,M3w,M10e,M8w,17,16,29,26,5,-3,29.651100000000003,1,1.2755
Minatofuji,M9w,M10w,M10w,29,28,30,30,7,0,49.4285,0,0
Tochisakae,J6e,M11e,M11e,50,49,31,31,12,0,93,0,0
Otsukasa,M12w,M11w,M11w,35,34,32,32,8,0,63.0857,0,0
Tamakasuga,K1w,M12e,M11w,11,10,33,32,2,-1,22.2975,2,3.8857
Daishi,J3e,M12w,M12e,44,43,34,33,10,-1,91,0,0
Sentoryu,M13e,M13e,M12e,36,35,35,33,8,-2,69.4704,0,0
Higonoumi,M5w,M13w,M12w,21,20,36,34,4,-2,39.3835,0,0
Hamanoshima,M10e,M14e,M13e,30,29,37,35,6,-2,51.198,0,0
Kyokushuzan,M8e,M14w,M13e,26,25,38,35,5,-3,35.8794,0,0
Kinkaiyama,M14w,M15e,M13w,39,38,39,36,8,-3,54.1946,0,0
Kotonishiki,J1w,M15w,M14w,41,40,40,38,8,-2,52.0035,0,0
Oikari,J2e,M16e,M15e,42,41,41,39,8,-2,70.00800000000001,0,0
Tamarikido,J4w,J1e,M15w,47,46,42,40,9,-2,74,0,0
Jumonji,J2w,J1w,M15w,43,42,43,40,8,-3,53,0,0
Daizen,M10w,J2e,M15w,31,30,44,40,5,-4,33.0871,0,0
Aogiyama,M14e,J2w,J1w,38,37,45,43,6,-2,45.0649,0,0
Kotomitsuki,J6w,J3e,J2e,51,50,46,44,9,-2,56,0,0
Tamanonada,J4e,J3w,J3w,46,45,47,47,7,0,42,0,0
Terao,J3w,J4e,J5e,45,44,48,50,6,2,34,0,0
Shikishima,M12e,J4w,J5w,34,33,49,51,3,2,20.067,0,0
Hamanishiki,J13e,J5e,J6w,64,63,50,53,10,3,69,0,0
Yotsukasa,J5e,J5w,J6w,48,47,51,53,6,2,54,0,0
Wakakosho,J7e,J6e,J6w,52,51,52,53,7,1,48,0,0
Gojoro,J12e,J6w,J7w,62,61,53,55,9,2,71,0,0
Tamanokuni,J9w,J7e,J9e,57,56,54,58,7,4,55,0,0
Tomonohana,J9e,J7w,J10w,56,55,55,61,6,6,40,0,0
Kitazakura,J11e,J8e,J10w,60,59,56,61,7,5,40,0,0
Mitoizumi,J7w,J8w,J11e,53,52,57,62,5,5,42,0,0
Wakanojo,J12w,J9e,J12e,63,62,58,64,7,6,34,0,0
Kotoiwakuni,J13w,J9w,J13e,65,64,59,66,7,7,37,0,0
Tomikaze,J11w,J10e,J13e,61,60,60,66,6,6,34,0,0
Kitakachidoki,J10w,J10w,J14e,59,58,61,68,5,7,28,0,0
Toyozakura,J8w,J11e,J14e,55,54,62,68,4,6,25,0,0
