Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Chiyonofuji,14,1,26,112,162.20569999999998,0,65,3.79,Y1e,Y1e,Sakahoko;Asahifuji;Konishiki;Dewanohana;Tagaryu;Kotogaume;Hokutenyu;Tochitsurugi;Jingaku;Kirishima;Ozutsu;Wakashimazu;Asashio;Onokuni
Futahaguro,3,12,-18,18,27.1299,1,64,3.79,Y1w,Y1w,Dewanohana;Tochitsukasa;Tagaryu
Hokutoumi,12,3,18,84,120.21719999999999,2,63,2.2896,O1e,O1e,Mitoizumi;Kirishima;Tochitsukasa;Dewanohana;Sakahoko;Asahifuji;Kotogaume;Jingaku;Kirinji;Tagaryu;Onokuni;Asashio
Onokuni,8,7,2,51,81.7967,3,62,2.2896,O1w,O1w,Kotogaume;Mitoizumi;Asahifuji;Tochitsukasa;Sakahoko;Dewanohana;Takanofuji;Kirishima
Asashio,9,6,6,63,87.8349,4,61,2.2896,O2e,O2e,Kirishima;Dewanohana;Tagaryu;Tochitsukasa;Sakahoko;Toryu;Wakashimazu;Onokuni;Jingaku
Wakashimazu,8,7,2,64,92.50179999999999,5,60,2.2896,O2w,O2w,Sakahoko;Takanofuji;Kirishima;Tagaryu;Onokuni;Hokutoumi;Ozutsu;Hokutenyu
Hokutenyu,8,7,2,70,98.9686,6,59,2.2896,O3e,O3e,Tagaryu;Kotogaume;Tochitsukasa;Onokuni;Asashio;Takanofuji;Hokutoumi;Terao
Kotogaume,8,7,2,67,100.6624,7,58,1.5961,S1e,S1e,Asashio;Wakashimazu;Jingaku;Konishiki;Dewanohana;Asahifuji;Ozutsu;Tochitsukasa
Mitoizumi,1,14,-26,9,14.868400000000001,8,57,1.5961,S1w,S1w,Hokutenyu
Dewanohana,3,12,-18,23,39.2217,9,56,1.2755,K1e,K1e,Wakashimazu;Hokutenyu;Takanofuji
