Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Chiyotenzan,3,12,-18,16,16.0021,34,36,1,,M13w,Wakanoyama;Kasuganishiki;Oikari
Harunoyama,9,6,6,62,62.3395,35,35,1,,M14e,Chiyotenzan;Wakanoyama;Takekaze;Futeno;Yotsukasa;Tokitsuumi;Toyozakura;Kasuganishiki;Ushiomaru
Ushiomaru,7,8,-2,44,44.01729999999999,36,34,1,,M14w,Futeno;Wakanoyama;Takekaze;Chiyotenzan;Toyozakura;Kasuganishiki;Takanonami
Futeno,7,8,-2,50,50.144000000000005,37,33,1,,M15e,Yotsukasa;Toki;Kasuganishiki;Chiyotenzan;Takamisakari;Buyuzan;Asanowaka
Toyozakura,6,9,-6,41,41.0827,38,32,1,,M15w,Wakanoyama;Takekaze;Kasuganishiki;Futeno;Kinkaiyama;Kotoryu
Wakanoyama,2,13,-22,14,14.0031,39,31,1,,M16e,Futeno;Kasuganishiki
Kaiho,9,6,6,80,80.0274,40,30,1,,M16w,Futeno;Toyozakura;Ushiomaru;Kotonowaka;Roho;Buyuzan;Takekaze;Harunoyama;Kokkai
Yotsukasa,6,9,-6,52,52.0736,41,29,1,,M17e,Kaiho;Toyozakura;Ushiomaru;Toki;Kokkai;Kotoryu
Oikari,6,9,-6,44,44.0001,42,28,1,,J1e,Roho;Kaido;Wakanoyama;Kitazakura;Tamarikido;Gojoro
Otsukasa,7,8,-2,49,49.001599999999996,43,27,1,,J1w,Oikari;Kobo;Nakao;Hayateumi;Toyozakura;Wakanoyama;Gojoro
Tamakasuga,8,7,2,68,68.00189999999999,44,26,1,,J2e,Kaido;Wakatoba;Yotsukasa;Oikari;Otsukasa;Kobo;Takanowaka;Toyozakura
Hayateumi,12,3,18,99,99.0001,45,25,1,,J2w,Tamakasuga;Wakatoba;Nakao;Takanowaka;Wakanoyama;Oikari;Hakuho;Gojoro;Kaido;Sumanofuji;Tokitenku;Bushuyama
Kobo,9,6,6,72,72.0005,46,24,1,,J3e,Roho;Oikari;Gojoro;Kitazakura;Wakanoyama;Sumanofuji;Hayateumi;Kaido;Yotsukasa
Roho,6,9,-6,37,37.00020000000001,47,23,1,,J3w,Otsukasa;Tamarikido;Hamanishiki;Wakanoyama;Ichinotani;Chiyotenzan
Wakatoba,8,7,2,59,59.0005,48,22,1,,J4e,Kaido;Takanotsuru;Roho;Oikari;Otsukasa;Yotsukasa;Tamarikido;Wakanoyama
Wakatoba,8,7,2,59,59.0005,49,21,1,,J4e,Kaido;Takanotsuru;Roho;Oikari;Otsukasa;Yotsukasa;Tamarikido;Wakanoyama
Kaido,8,7,2,63,63,50,20,1,,J4w,Tamarikido;Nakao;Hakuho;Roho;Kasugao;Takanotsuru;Otsukasa;Juzan
Takanowaka,10,5,10,63,63,51,19,1,,J5e,Nakao;Tamarikido;Juzan;Towanoyama;Gojoro;Wakatoba;Oikari;Otsukasa;Roho;Masutsuyoshi
Nakao,0,15,-30,0,0,52,18,1,,J5w,
Kitazakura,8,7,2,56,56,53,17,1,,J6e,Nakao;Tamakasuga;Juzan;Takanotsuru;Roho;Otsukasa;Wakatoba;Hamanishiki
Kasugao,10,5,10,87,87,54,16,1,,J6w,Kitazakura;Towanoyama;Hayateumi;Kobo;Gojoro;Tamakasuga;Tokitenku;Dewanofuji;Otsukasa;Ichinotani
Gojoro,7,8,-2,56,56,55,15,1,,J7e,Tamarikido;Juzan;Roho;Kitazakura;Tamakasuga;Tokitenku;Bushuyama
Tamarikido,7,8,-2,46,46,56,14,1,,J7w,Kobo;Dewanofuji;Masutsuyoshi;Ichinotani;Wakakosho;Juzan;Daimanazuru
Towanoyama,6,9,-6,50,50,57,13,1,,J8e,Hakuho;Tamarikido;Masutsuyoshi;Kaido;Daimanazuru;Wakatoba
Hakuho,13,2,22,116,116,58,12,1,,J8w,Hamanishiki;Ama;Bushuyama;Takanowaka;Ichinotani;Kasugao;Masutsuyoshi;Wakakosho;Tamakasuga;Tokitenku;Dewanofuji;Gojoro;Hayateumi
Takanotsuru,9,6,6,65,65,59,11,1,,J9e,Juzan;Dewanofuji;Daimanazuru;Masutsuyoshi;Bushuyama;Oikari;Tamakasuga;Hamanishiki;Sumanofuji
