Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Hakuho,Y1e,Y1e,N/A,0,-1,-22,13,-21,142.1619,5,8.0328
Baruto,O2e,O1e,N/A,3,0,-7,10,-7,103.52850000000001,4,6.4367
Harumafuji,O2w,O1w,N/A,4,1,-6,10,-7,113.6846,5,10.5473
Kaio,O1w,O2e,N/A,2,2,-4,9,-6,94.7979,4,8.9512
Kotooshu,O1e,O2w,M5w,1,3,19,3,16,32.6949,2,2.551
Kakuryu,K1e,S1e,N/A,7,4,-11,12,-15,147.7721,5,9.0469
Kakuryu,K1e,S1w,N/A,8,5,-10,12,-15,147.7721,5,9.0469
Kotoshogiku,S1e,S2e,N/A,5,6,-5,10,-11,102.0992,3,5.1612
Kisenosato,S1w,S2w,N/A,6,7,4,8,-3,82.1494,3,5.8547
Goeido,M1e,K1e,N/A,10,8,-4,11,-12,114.3272,5,10.433900000000001
Tochinoshin,M6w,K1w,N/A,21,9,3,12,-6,116.58230000000002,2,3.8857
Tosayutaka,M9e,M1e,M4e,26,10,16,10,6,81.5683,0,0
Yoshikaze,M7w,M1w,M4w,23,11,17,9,6,70.07309999999998,1,1.2755
Kyokutenho,M8e,M2e,M7e,24,12,22,8,10,68.2334,0,0
Toyonoshima,K1w,M2w,M5w,9,13,19,5,6,39.704899999999995,0,0
Aminishiki,M3w,M3e,M4w,15,14,17,7,3,69.1796,1,1.5961
Okinoumi,M4e,M3w,M5e,16,15,18,7,3,70.7296,3,6.8688
Takekaze,M4w,M4e,M5w,17,16,19,7,3,66.1201,2,4.5792
Aran,M5e,M4w,M8e,18,17,24,6,7,49.639300000000006,1,2.2896
Wakanosato,M5w,M5e,M6w,19,18,21,7,3,54.8325,0,0
Tamawashi,M6e,M5w,M7e,20,19,22,7,3,59.5396,0,0
Wakakoyu,M10w,M6e,M9w,29,20,27,8,7,62.1342,0,0
Tochiozan,M2w,M6w,M9w,13,21,27,4,6,37.895199999999996,2,4.5792
Kaisei,M16w,M7e,M11e,40,22,30,10,8,81.3928,0,0
Homasho,M2e,M7w,M11e,12,23,30,3,7,27.208699999999997,2,3.8857
Kitataiki,M3e,M8e,M12e,14,24,32,3,8,19.5424,1,2.2896
Tokitenku,M13w,M8w,M12w,35,25,33,8,8,67.42,0,0
Asasekiryu,M9w,M9e,M10w,27,26,29,7,3,58.1248,0,0
Gagamaru,M14e,M9w,M13e,36,27,34,8,7,65.0742,0,0
Takarafuji,J3e,M10e,M16e,46,28,40,9,12,60.0006,0,0
Shotenro,M8w,M10w,M15w,25,29,39,4,10,30.0207,0,0
Tochinowaka,M11w,M11e,M12w,31,30,33,7,3,54.5495,0,0
Miyabiyama,M16e,M11w,M14w,39,31,37,8,6,65.0692,0,0
Toyohibiki,M12w,M12e,M13w,33,32,35,7,3,58.746399999999994,0,0
Takayasu,J1e,M12w,M16e,42,33,40,8,7,56,0,0
Sagatsukasa,J12e,M13e,M16w,63,34,41,13,7,93,0,0
Tokusegawa,M1w,M13w,M16w,11,35,41,0,6,0,0,0
Tochinonada,M14w,M14e,M17w,37,36,43,6,7,42.1254,0,0
Daido,J4e,M14w,J1e,48,37,46,8,9,58.000899999999994,0,0
Fujiazuma,J8w,M15e,J3e,56,38,50,9,12,61,0,0
Takamisakari,M15e,M15w,M16e,38,39,40,7,1,48.0048,0,0
Kimurayama,M17e,M16e,M17w,41,40,43,7,3,56.064499999999995,0,0
Masunoyama,J9e,J1e,J3w,57,41,51,9,10,58,0,0
Hakuba,M7e,J1w,J4e,22,42,52,0,10,0,0,0
Bushuyama,J2e,J2e,J5e,44,43,54,5,11,30,0,0
Tamanoshima,J1w,J2w,J6w,43,44,57,4,13,29,0,0
Kasugao,M10e,J3e,J7e,28,45,58,0,13,0,0,0
Koryu,M11e,J3w,J8e,30,46,60,0,14,0,0,0
Mokonami,M12e,J4e,J9e,32,47,62,0,15,0,0,0
Yoshiazuma,J13w,J4w,J10e,66,48,64,8,16,37,0,0
Kotokasuga,M13e,J5e,J10e,34,49,64,0,15,0,0,0
Tamaasuka,J12w,J5w,J9e,64,50,62,8,12,39,0,0
Kokkai,J6w,J6e,J9e,52,51,62,5,11,40,0,0
Hochiyama,J10w,J6w,J9e,60,52,62,7,10,46,0,0
Sadanoumi,J8e,J7e,J10w,55,53,65,5,12,32,0,0
Sadanofuji,J9w,J7w,J12e,58,54,68,5,14,33,0,0
Akiseyama,J7w,J8e,J12e,54,55,68,4,13,24,0,0
Shironoryu,J11e,J8w,J13w,61,56,71,5,15,29,0,0
Tsurugidake,J14w,J9e,N/A,69,57,75,6,18,36,0,0
Masuraumi,J13e,J9w,N/A,65,58,75,5,17,28,0,0
Masatsukasa,J2w,J10e,N/A,45,59,75,0,16,0,0,0
Toyozakura,J3w,J10w,N/A,47,60,77,0,17,0,0,0
Sakaizawa,J4w,J11e,N/A,49,61,79,0,18,0,0,0
Shimotori,J5w,J11w,N/A,50,62,80,0,18,0,0,0
Kyokunankai,J6e,J12e,N/A,51,63,81,0,18,0,0,0
Asofuji,J7e,J12w,N/A,53,64,83,0,19,0,0,0
Wakatenro,J10e,J13e,N/A,59,65,89,0,24,0,0,0
Kiyoseumi,J11w,J13w,N/A,62,66,92,0,26,0,0,0
Chiyohakuho,J14e,J14e,N/A,67,67,97,0,30,0,0,0
Chiyohakuho,J14e,J14w,N/A,68,68,98,0,30,0,0,0
