Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Hokutoumi,Y2e,Y1e,N/A,2,0,-24,14,-24,162.6194,8,16.402
Onokuni,Y1w,Y1w,N/A,1,1,-17,12,-18,122.1798,6,10.3224
Chiyonofuji,Y1e,Y2e,M11e,0,2,30,0,28,0,0,0
Asahifuji,O1e,O1e,N/A,3,3,-19,13,-22,158.09380000000002,6,12.516300000000001
Hokutenyu,O1w,O1w,N/A,4,4,-6,10,-10,89.9413,5,8.0328
Konishiki,O2w,O2e,N/A,5,5,-1,9,-6,85.56139999999999,2,5.0655
Kotogaume,S1e,S1e,N/A,6,6,4,8,-2,75.1906,3,5.1612
Sakahoko,K1e,S1w,N/A,8,7,6,8,-1,67.6915,3,5.1612
Kirishima,M1w,K1e,N/A,11,8,9,8,1,93.2348,5,10.5473
Mitoizumi,M2e,K1w,M1e,12,9,10,8,1,72.4391,2,2.8716
Tochinowaka,M7w,M1e,M2w,23,10,13,10,3,89.0993,1,1.2755
Akinoshima,S1w,M1w,M2w,7,11,13,6,2,77.7707,3,5.8547
Masurao,M4w,M2e,M3w,17,12,15,8,3,70.9594,1,1.2755
Jingaku,M5w,M2w,M4w,19,13,17,8,4,60.998099999999994,0,0
Terao,M3e,M3e,M4e,14,14,16,7,2,70.1822,3,5.1612
Misugisato,M2w,M3w,M5w,13,15,19,6,4,74.19059999999999,2,5.3861
Kushimaumi,J3e,M4e,M6e,42,16,20,13,4,124.0027,0,0
Hananokuni,M7e,M4w,M6e,22,17,20,8,3,63.3123,0,0
Ryogoku,M8e,M5e,M7e,24,18,22,8,4,66.62219999999999,0,0
Enazakura,M12w,M5w,M7w,33,19,23,10,4,87.02629999999999,0,0
Ozutsu,M8w,M6e,M7w,25,20,23,8,3,58.50079999999999,0,0
Fujinoshin,M11e,M6w,M8e,30,21,24,9,3,70.1062,0,0
Takamisugi,M9e,M7e,M8e,26,22,24,8,2,52.8178,0,0
Daijuyama,M1e,M7w,M8e,10,23,24,4,1,40.5386,1,1.5961
Kyokudozan,M9w,M8e,M8w,27,24,25,8,1,58.734899999999996,0,0
Takanofuji,M10e,M8w,M9e,28,25,26,8,1,60.74089999999999,0,0
Kotoinazuma,M6w,M9e,M9w,21,26,27,6,1,48.78269999999999,0,0
Itai,K1w,M9w,M9w,9,27,27,3,0,20.4514,1,1.5961
Kotofuji,M5e,M10e,M10e,18,28,28,5,0,24.0891,1,1.2755
Sasshunada,M11w,M10w,M10w,31,29,29,8,0,69.54740000000001,0,0
Wakasegawa,M12e,M11e,M11e,32,30,30,8,0,65.8275,0,0
Kasugafuji,M4e,M11w,M11e,16,31,30,4,-1,21.380200000000002,1,1.2755
Kitakachidoki,M13w,M12e,M12w,35,32,33,8,1,65.621,0,0
Koboyama,M3w,M12w,M12w,15,33,33,3,0,15.312100000000001,0,0
Tagaryu,M6e,M13e,M13e,20,34,34,4,0,28.328300000000002,0,0
Kotonishiki,M14w,M13w,M13w,37,35,35,8,0,71.3731,0,0
Hoshiiwato,J2w,M14e,M13w,41,36,35,9,-1,61.0027,0,0
Kinoarashi,J1e,M14w,M14e,38,37,36,8,-1,73.0019,0,0
Kirinishiki,J3w,M15e,M16w,43,38,41,8,3,70,0,0
Komafudo,J9w,M15w,M17e,56,39,42,11,3,90,0,0
Tochitsukasa,M14e,M16e,M17e,36,40,42,6,2,42.5087,0,0
Maenoshin,J6w,M16w,M18e,50,41,44,9,3,82,0,0
Saganobori,J7w,J1e,J1e,52,42,46,9,4,73,0,0
Owakamatsu,J5w,J1w,J1e,48,43,46,8,3,62,0,0
Kurama,J2e,J2e,J1e,40,44,46,6,2,49.0156,0,0
Hananofuji,J4e,J2w,J1e,44,45,46,7,1,47,0,0
Daitetsu,J10e,J3e,J1w,57,46,47,10,1,87,0,0
Takanohama,M13e,J3w,J2e,34,47,48,4,1,27.104599999999998,0,0
Tamaryu,J1w,J4e,J2w,39,48,49,5,1,32,0,0
Kyokugozan,J11w,J4w,J3e,60,49,50,10,1,66,0,0
Ishinriki,J12e,J5e,J3w,61,50,51,10,1,81,0,0
Takanomine,J4w,J5w,J3w,45,51,51,6,0,39,0,0
Kiraiho,J11e,J6e,J4w,59,52,53,9,1,78,0,0
Toryu,J9e,J6w,J4w,55,53,53,8,0,64,0,0
Asahisato,J6e,J7e,J5w,49,54,55,6,1,37,0,0
Onohana,J10w,J7w,J6e,58,55,56,8,1,59,0,0
Masudayama,J8w,J8e,J6e,54,56,56,7,0,44,0,0
Zenshinyama,J13e,J8w,J6w,63,57,57,9,0,52,0,0
Tachihikari,J7e,J9e,J6w,51,58,57,6,-1,43,0,0
Dairyu,J8e,J9w,J7w,53,59,59,6,0,33,0,0
Hananoumi,M10w,J10e,J7w,29,60,59,0,-1,0,0,0
Takatoriki,J13w,J10w,J13e,64,61,70,6,9,14,0,0
Iwatefuji,J12w,J11e,N/A,62,62,76,4,14,15,0,0
Hoo,J5e,J11w,N/A,46,63,76,0,13,0,0,0
Hoo,J5e,J12e,N/A,47,64,77,0,13,0,0,0
