Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Akebono,Y1w,Y1e,N/A,1,0,-9,10,-9,105.2559,4,6.4367
Takanohana,Y1e,Y1w,N/A,0,1,-2,8,-3,74.08059999999999,1,1.2755
Musashimaru,O1w,O1e,N/A,4,2,-14,12,-16,125.97139999999999,3,6.6616
Takanonami,O1e,O1w,N/A,2,3,-8,10,-11,117.9906,4,6.4367
Takanonami,O1e,O2e,N/A,3,4,-7,10,-11,117.9906,4,6.4367
Wakanohana,O2e,O2w,N/A,5,5,-5,10,-10,113.9006,3,7.6757
Tochiazuma,S1w,S1e,N/A,7,6,-7,11,-13,124.42400000000002,5,12.4206
Musoyama,S1e,S1w,N/A,6,7,-4,10,-11,108.2228,4,8.9512
Kotonishiki,K1w,K1e,N/A,9,8,-1,10,-9,111.13499999999999,4,7.4508
Kaio,K1e,K1w,N/A,8,9,6,8,-3,80.91499999999999,2,6.0796
Chiyotaikai,M8e,M1e,M5w,25,10,19,9,9,78.7516,0,0
Shikishima,M7e,M1w,M6e,22,11,20,8,9,72.1558,0,0
Takatoriki,M1e,M2e,M6e,10,12,20,5,8,44.2726,1,1.2755
Shikishima,M7e,M2w,M6w,23,13,21,8,8,72.1558,0,0
Akinoshima,M1w,M3e,M4w,11,14,17,6,3,42.76769999999999,0,0
Tochinonada,M2w,M3w,M3w,13,15,15,7,0,80.30669999999999,3,6.6616
Tosanoumi,M3e,M4e,M8e,14,16,24,5,8,51.20729999999999,1,1.5961
Kotonowaka,M3w,M4w,M4w,15,17,17,7,0,66.46679999999999,1,2.2896
Ganyu,M9e,M5e,M8w,27,18,25,8,7,74.8376,0,0
Kotoryu,M11e,M5w,M8w,31,19,25,9,6,73.04659999999998,0,0
Kyokushuzan,M4e,M6e,M9e,16,20,26,5,6,59.40939999999999,2,4.5792
Aogiyama,M5w,M6w,M8w,19,21,25,6,4,59.8762,2,6.0796
Minatofuji,M6e,M7e,M9e,20,22,26,6,4,46.2525,1,3.79
Tamakasuga,M6w,M7w,M9w,21,23,27,6,4,52.434200000000004,1,2.2896
Tochinowaka,M12w,M8e,M10e,34,24,28,9,4,79.0312,0,0
Oginishiki,M5e,M8w,M10e,18,25,28,5,3,39.2076,0,0
Wakanojo,M13e,M9e,M10w,35,26,29,9,3,79.83899999999998,0,0
Terao,M13w,M9w,M11e,36,27,30,9,3,81.10099999999998,0,0
Kotoinazuma,M11w,M10e,M11e,32,28,30,8,2,67.1309,0,0
Mainoumi,M14w,M10w,M12e,38,29,32,9,3,67.0289,0,0
Asanosho,M15e,M11e,M12w,39,30,33,9,3,85.013,0,0
Kyokutenho,M15w,M11w,M13e,40,31,34,9,3,79.01969999999999,0,0
Kitakachidoki,M10w,M12e,M12e,30,32,32,7,0,59.1019,0,0
Hamanoshima,M7w,M12w,M13e,24,33,34,5,1,38.4953,0,0
Gojoro,M16e,M13e,M13w,41,34,35,9,1,67.0364,0,0
Asanowaka,M12e,M13w,M13w,33,35,35,7,0,63.03509999999999,0,0
Mitoizumi,M10e,M14e,M13w,29,36,35,6,-1,51.417,0,0
Asahiyutaka,M4w,M14w,M13w,17,37,35,3,-2,41.87369999999999,2,5.3861
Higonoumi,M8w,M15e,M14e,26,38,36,5,-2,48.3195,0,0
Wakanosato,J5w,M15w,M15e,52,39,38,11,-1,96,0,0
Akinoshu,M9w,M16e,M15e,28,40,38,5,-2,44.837199999999996,0,0
Yamato,M14e,M16w,M15w,37,41,39,7,-2,60.0278,0,0
Kaiho,J3e,J1e,M16w,47,42,41,9,-1,88.0012,0,0
Dejima,M2e,J1w,M17e,12,43,42,0,-1,0,0,0
Tokitsunada,J1e,J2e,J2e,42,44,48,6,4,41,0,0
Daizen,J5e,J2w,J2w,51,45,49,8,4,60,0,0
Misugisato,J1w,J3e,J1e,44,46,46,7,0,48,0,0
Tokitsunada,J1e,J3w,J2w,43,47,49,6,2,41,0,0
Kinkaiyama,J13w,J4e,J3e,68,48,50,12,2,90,0,0
Toki,J9w,J4w,J3e,60,49,50,10,1,75,0,0
Zenshinyama,J6e,J5e,J3w,53,50,51,8,1,67,0,0
Oginohana,J8w,J5w,J4e,58,51,52,9,1,61,0,0
Dewaarashi,J7w,J6e,J5e,56,52,54,8,2,52,0,0
Chiyotenzan,J8e,J6w,J5w,57,53,55,8,2,57,0,0
Daishi,J4e,J7e,J5w,49,54,55,6,1,42,0,0
Susanoumi,J2e,J7w,J5w,45,55,55,5,0,34,0,0
Kushimaumi,J6w,J8e,J6e,54,56,56,7,0,46,0,0
Daishoho,J9e,J8w,J6w,59,57,57,8,0,68,0,0
Toyonoumi,J3w,J9e,J7e,48,58,58,5,0,35,0,0
Wakahayato,J12e,J9w,J7w,65,59,59,9,0,65,0,0
Asahisato,J4w,J10e,J8e,50,60,60,5,0,39,0,0
Tokitsuumi,J2w,J10w,J8e,46,61,60,4,-1,31,0,0
Tomonohana,J7e,J11e,J8w,55,62,61,6,-1,38,0,0
Daihisho,J11w,J11w,J9e,64,63,62,8,-1,51,0,0
Kanechika,J10w,J12e,J10e,62,64,64,7,0,51,0,0
Hokutohikari,J12w,J12w,J10e,66,65,64,8,-1,32,0,0
Otsukasa,J11e,J13e,J12w,63,66,69,6,3,48,0,0
Kaigatake,J13e,J13w,N/A,67,67,77,5,10,35,0,0
Arashi,J10e,J14e,N/A,61,68,79,3,11,20,0,0
