Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Musashimaru,Y1e,Y1e,M8e,0,0,26,1,26,5.3759999999999994,0,0
Takanohana,Y1w,Y1w,M10w,1,1,31,0,30,0,0,0
Tochiazuma,O2w,O1e,N/A,6,2,-20,14,-22,158.7145,6,11.0159
Chiyotaikai,O2e,O1w,N/A,5,3,-17,13,-20,142.0784,6,10.3224
Kotomitsuki,S1e,O2e,N/A,7,4,-11,12,-15,136.46749999999997,6,11.0159
Musoyama,O1w,O2w,N/A,4,5,-6,10,-11,100.25810000000001,4,6.4367
Kaio,O1e,O3e,N/A,2,6,-4,9,-10,83.03659999999999,2,3.5651
Kaio,O1e,O3w,N/A,3,7,-3,9,-10,83.03659999999999,2,3.5651
Asashoryu,S1w,S1e,N/A,8,8,6,8,-2,78.8841,3,4.8406
Wakanosato,K1e,S1w,N/A,10,9,8,8,-1,67.9957,3,7.3551
Buyuzan,M8e,K1e,M1e,26,10,12,11,2,101.10119999999998,1,1.5961
Takanonami,M3w,K1w,M2w,17,11,15,8,4,74.0671,4,6.4367
Kyokutenho,K1w,M1e,M3w,11,12,17,6,5,43.115300000000005,0,0
Tokitsuumi,M11e,M1w,M4e,32,13,18,11,5,95.10279999999999,0,0
Tosanoumi,M7e,M2e,M4e,24,14,18,9,4,84.4668,1,1.5961
Kyokushuzan,M1e,M2w,M4e,12,15,18,6,3,50.61970000000001,2,5.0655
Kotonowaka,M5w,M3e,M4w,21,16,19,8,3,67.8834,1,1.2755
Akinoshima,M1w,M3w,M4w,13,17,19,6,2,46.438399999999994,1,1.5961
Tochinonada,M6e,M4e,M5e,22,18,20,8,2,76.7144,1,1.5961
Toki,M2w,M4w,M5w,15,19,21,6,2,41.4286,1,2.2896
Otsukasa,M7w,M5e,M6w,25,20,23,8,3,56.39719999999999,0,0
Aminishiki,M10e,M5w,M7e,30,21,24,9,3,67.8956,0,0
Dejima,M4w,M6e,M7w,19,22,25,6,3,56.615899999999996,0,0
Tamakasuga,M9e,M6w,M8e,28,23,26,8,3,61.25039999999999,0,0
Kaiho,M3e,M7e,M8e,16,24,26,5,2,45.4287,2,6.0796
Shimotori,J3e,M7w,M8w,45,25,27,12,2,89.0615,0,0
Takamisakari,J5w,M8e,M9e,50,26,28,13,2,110.0003,0,0
Daizen,M8w,M8w,M9w,27,27,29,7,2,50.4364,0,0
Towanoyama,J3w,M9e,M11e,46,28,32,11,4,95.05980000000001,0,0
Tochisakae,M14e,M9w,M11e,38,29,32,9,3,68.2427,0,0
Tamanoshima,M2e,M10e,M11e,14,30,32,3,2,30.6613,1,2.2896
Hamanishiki,M13w,M10w,M12w,37,31,35,8,4,67.29289999999999,0,0
Chiyotenzan,M4e,M11e,M13e,18,32,36,3,4,26.953599999999998,0,0
Oikari,M11w,M11w,M12w,33,33,35,7,2,45.45449999999999,0,0
Takatoriki,J2e,M12e,M13w,43,34,37,9,3,67.0033,0,0
Takanowaka,M5e,M12w,M14e,20,35,38,3,3,20.2788,0,0
Oginishiki,M13e,M13e,M14e,36,36,38,7,2,51.0744,0,0
Miyabiyama,S2e,M13w,M14w,9,37,39,0,2,0,0,0
Wakanoyama,M12e,M14e,M17e,34,38,44,5,6,28.0616,0,0
Tochinohana,J6e,M14w,M17w,51,39,45,9,6,66.0003,0,0
Jumonji,M14w,M15e,M17w,39,40,45,6,5,48.1827,0,0
Tamarikido,M10w,M15w,M17w,31,41,45,4,4,26.0662,0,0
Sentoryu,M15e,J1e,M18e,40,42,46,6,4,54.0133,0,0
Kasuganishiki,J9e,J1w,M18w,57,43,47,10,4,84.0004,0,0
Kitazakura,J1e,J2e,M18w,41,44,47,6,3,41.059200000000004,0,0
Kobo,M9w,J2w,M18w,29,45,47,3,2,20.060299999999998,0,0
Ushiomaru,J11e,J3e,J1e,62,46,48,11,2,61,0,0
Hokutoriki,J10w,J3w,J2w,61,47,51,10,4,73,0,0
Aogiyama,J4e,J4e,J3w,47,48,53,6,5,39.05949999999999,0,0
Asanowaka,M12w,J4w,J3w,35,49,53,3,4,16.3769,0,0
Hayateumi,M6w,J5e,J3w,23,50,53,0,3,0,0,0
Terao,J2w,J5w,J4e,44,51,54,5,3,32,0,0
Wakakosho,J6w,J6e,J4e,52,52,54,7,2,44,0,0
Kuniazuma,J5e,J6w,J4w,49,53,55,6,2,46.000299999999996,0,0
Daishi,J7e,J7e,J6w,53,54,59,6,5,45,0,0
Minatofuji,J8e,J7w,J5w,55,55,57,7,2,48,0,0
Harunoyama,J7w,J8e,J7e,54,56,60,6,4,36,0,0
Juzan,J10e,J8w,J7w,59,57,61,7,4,54,0,0
Juzan,J10e,J9e,J8e,60,58,62,7,4,54,0,0
Sumanofuji,J11w,J9w,J9w,63,59,65,7,6,33,0,0
Wakatenro,J12e,J10e,J10e,64,60,66,7,6,36,0,0
Gojoro,J13w,J10w,J11w,67,61,69,7,8,32,0,0
Hamanoshima,J8w,J11e,J12e,56,62,70,4,8,32,0,0
Kotoryu,J1w,J11w,J13e,42,63,72,0,9,0,0,0
Higonoumi,J4w,J12e,N/A,48,64,78,0,14,0,0,0
Wakatoba,J13e,J12w,N/A,66,65,80,4,15,21,0,0
Takanotsuru,J9w,J13e,N/A,58,66,88,0,22,0,0,0
Kotokanyu,J12w,J13w,N/A,65,67,95,0,28,0,0,0
