Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Chiyonofuji,Y1e,Y1e,N/A,0,0,-26,14,-26,160.44010000000003,7,13.626100000000001
Onokuni,Y1w,Y1w,N/A,1,1,-13,11,-14,117.113,6,12.516300000000001
Hokutoumi,Y2e,Y2e,M11w,2,2,32,0,30,0,0,0
Asahifuji,O1e,O1e,N/A,3,3,-15,12,-18,134.1035,6,13.850999999999999
Hokutenyu,O2e,O1w,N/A,5,4,-5,10,-9,92.88830000000002,5,8.7263
Konishiki,O2w,O2e,N/A,6,5,-4,10,-9,111.3697,3,6.9822
Asashio,O1w,O2w,M4w,4,6,18,4,12,33.7406,0,0
Sakahoko,S1e,S1e,N/A,7,7,1,9,-6,89.43220000000002,4,7.4508
Daijuyama,M2e,S1w,N/A,13,8,7,9,-1,86.5221,3,5.1612
Kirishima,M6w,K1e,M1w,22,9,12,10,3,92.14869999999999,1,1.2755
Akinoshima,K1w,K1w,M1w,10,10,12,7,2,85.7193,4,8.4649
Ryogoku,M1e,M1e,M2e,11,11,13,7,2,82.2486,3,5.1612
Misugisato,M7e,M1w,M4e,23,12,17,9,5,81.38480000000001,0,0
Kotogaume,S1w,M2e,M4w,8,13,18,5,5,53.370900000000006,2,6.0796
Terao,M6e,M2w,M5e,21,14,19,8,5,67.8669,0,0
Hananokuni,M2w,M3e,M5w,14,15,20,6,5,54.184900000000006,3,5.4818
Tagaryu,M7w,M3w,M6w,24,16,22,8,6,56.633799999999994,0,0
Takamisugi,M8e,M4e,M7e,25,17,23,8,6,68.16799999999999,0,0
Fujinoshin,M10w,M4w,M8e,31,18,25,9,7,72.0763,0,0
Hananoumi,M5e,M5e,M6e,19,19,21,7,2,63.8819,2,3.8857
Jingaku,M3e,M5w,M8e,15,20,25,5,5,55.4283,3,5.1612
Sasshunada,M9w,M6e,M8w,28,21,26,8,5,66.32249999999999,0,0
Wakasegawa,M3w,M6w,M8w,16,22,26,5,4,57.688500000000005,2,6.0796
Ozutsu,M10e,M7e,M9e,29,23,27,8,4,73.6626,0,0
Ozutsu,M10e,M7w,M9w,30,24,28,8,4,73.6626,0,0
Takanofuji,M12w,M8e,M10e,35,25,29,9,4,72.25740000000002,0,0
Kotoinazuma,M5w,M8w,M10w,20,26,30,5,4,37.4338,0,0
Kyokudozan,J2e,M9e,M11e,41,27,31,10,4,87.03300000000002,0,0
Kotofuji,M4e,M9w,M11e,17,28,31,4,3,33.310900000000004,0,0
Enazakura,M12e,M10e,M11w,34,29,32,8,3,66.8533,0,0
Tamaryu,J1w,M10w,M12w,40,30,34,9,4,76.0221,0,0
Hoo,M13e,M11e,M12w,36,31,34,8,3,64.5603,0,0
Kirinishiki,M11e,M11w,M12w,32,32,34,7,2,57.7166,0,0
Kitakachidoki,J4e,M12e,M13e,45,33,35,10,2,83.011,0,0
Koboyama,M8w,M12w,M13w,26,34,36,5,2,40.323699999999995,0,0
Itai,M4w,M13e,M13w,18,35,36,3,1,18.5319,1,2.2896
Mitoizumi,K1e,M13w,M15e,9,36,39,0,3,0,0,0
Takanohama,M13w,M14e,M15e,37,37,39,7,2,53.153999999999996,0,0
Kasugafuji,J7e,M14w,M16w,52,38,42,10,4,78,0,0
Tochinowaka,M1w,M15e,M16w,12,39,42,0,3,0,0,0
Daitetsu,M11w,M15w,M17e,33,40,43,5,3,37.161899999999996,0,0
Takanomine,J8w,M16e,M18e,55,41,45,10,4,86.0001,0,0
Kotonishiki,J5w,J1e,M18w,48,42,46,8,4,66.0001,0,0
Saganobori,M14e,J1w,J1w,38,43,48,5,5,39.294200000000004,0,0
Hananofuji,J1e,J2e,J2e,39,44,49,5,5,34,0,0
Dewanokuni,J11e,J2w,J2w,60,45,50,10,5,71,0,0
Kinoarashi,J3w,J3e,J2w,44,46,50,6,4,46,0,0
Tochitsukasa,J5e,J3w,J2e,47,47,49,7,2,44,0,0
Masurao,J13w,J4e,J3e,65,48,51,11,3,87.0001,0,0
Maenoshin,J10e,J4w,J3w,58,49,52,9,3,70,0,0
Masudayama,J8e,J5e,J3w,54,50,52,8,2,57.0001,0,0
Ishinriki,J2w,J5w,J3w,42,51,52,5,1,34,0,0
Kyokugozan,J12e,J6e,J5w,62,52,56,9,4,79,0,0
Kurama,J4w,J6w,J5w,46,53,56,5,3,33,0,0
Tachihikari,J10w,J7e,J6e,59,54,57,8,3,64.0001,0,0
Dairyu,J6w,J7w,J6e,51,55,57,6,2,44,0,0
Onohana,J3e,J8e,J6e,43,56,57,4,1,26,0,0
Nankairyu,M9e,J8w,J6e,27,57,57,0,0,0,0,0
Hidanohana,J9e,J9e,J6w,56,58,58,7,0,57.0001,0,0
Kiraiho,J9w,J9w,J7e,57,59,59,7,0,60.0001,0,0
Toryu,J7w,J10e,J7e,53,60,59,6,-1,44,0,0
Iwatefuji,J6e,J10w,J7e,49,61,59,5,-2,29,0,0
Dewanoshima,J12w,J11e,J8e,63,62,61,8,-1,45,0,0
Hoshiiwato,J13e,J11w,J8w,64,63,62,8,-1,69.0001,0,0
Iwatefuji,J6e,J12e,J7w,50,64,60,5,-4,29,0,0
Komafudo,J11w,J12w,N/A,61,65,75,4,10,22,0,0
