Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Akebono,Y1w,Y1e,N/A,1,1,-13,11,-14,108.20389999999999,4,6.7573
Takanohana,Y1e,Y1w,M11e,0,2,30,0,28,0,0,0
Musashimaru,O1w,O1e,N/A,3,3,-23,14,-26,158.28459999999998,8,18.223
Takanonami,O2e,O1w,N/A,4,4,-14,12,-18,137.3678,6,11.8228
Wakanohana,O1e,O2e,N/A,2,5,-12,11,-17,105.88,4,6.4367
Kaio,S1w,S1e,N/A,6,6,-8,11,-14,103.01350000000001,5,8.0328
Kotonishiki,S2w,S1w,N/A,7,7,5,8,-2,71.6458,3,5.1612
Akinoshima,M2e,K1e,N/A,12,8,6,9,-2,90.9231,3,4.1471
Musoyama,K1w,K1w,N/A,9,9,7,8,-2,76.7506,2,5.3861
Akinoshima,M2e,M1e,N/A,13,10,7,9,-3,90.9231,3,4.1471
Tosanoumi,M1w,M1w,N/A,11,11,9,8,-2,100.41289999999998,6,10.643
Takatoriki,S1e,M2e,M1w,5,12,11,6,-1,51.4545,2,5.0655
Tamakasuga,M5e,M2w,M2w,19,13,13,9,0,97.9592,2,3.8857
Asahiyutaka,K1e,M3e,M5e,8,14,18,5,4,42.74679999999999,2,2.8716
Kenko,M6e,M3w,M5w,21,15,19,8,4,63.563,0,0
Kyokushuzan,M7w,M4e,M7e,24,16,22,8,6,67.6964,0,0
Tochinowaka,M8e,M4w,M7w,25,17,23,8,6,67.8826,0,0
Higonoumi,M10w,M5e,M8e,30,18,24,9,6,84.3407,0,0
Oginishiki,M4e,M5w,M7w,17,19,23,6,4,91.1982,4,8.4649
Asanowaka,M11e,M6e,M8w,31,20,25,9,5,75.0183,0,0
Kitakachidoki,M9w,M6w,M9e,28,21,26,8,5,64.31320000000001,0,0
Kotonowaka,M3w,M7e,M9e,16,22,26,5,4,42.38759999999999,2,2.551
Aogiyama,M10e,M7w,M9w,29,23,27,8,4,69.5813,0,0
Yamato,J1w,M8e,M10e,42,24,28,11,4,94.0016,0,0
Minatofuji,M12w,M8w,M10e,34,25,28,9,3,77.39110000000001,0,0
Asanosho,M4w,M9e,M10e,18,26,28,5,2,49.3809,2,3.8857
Mitoizumi,M2w,M9w,M10e,14,27,28,4,1,21.422199999999997,0,0
Kotoryu,M8w,M10e,M10e,26,28,28,7,0,64.05330000000001,0,0
Daihisho,M13e,M10w,M10w,35,29,29,9,0,75.31009999999999,0,0
Ganyu,M7e,M11e,M10w,23,30,29,6,-1,48.6592,0,0
Terao,M3e,M11w,M10w,15,31,29,4,-2,40.117599999999996,2,2.8716
Tochiazuma,M15w,M12e,M11e,40,32,30,10,-2,89.39049999999999,0,0
Daishi,M13w,M12w,M11e,36,33,30,9,-3,75.12259999999999,0,0
Hamanoshima,M5w,M13e,M11e,20,34,30,5,-4,35.5261,0,0
Misugisato,J1e,M13w,M11w,41,35,31,10,-4,88,0,0
Chiyotaikai,J3w,M14e,M12e,46,36,32,11,-4,88.0016,0,0
Kotoinazuma,M6w,M14w,M12e,22,37,32,5,-5,35.8031,0,0
Konishiki,M9e,M15e,M12w,27,38,33,6,-5,50.4367,0,0
Shikishima,M11w,M15w,M13e,32,39,34,7,-5,53.2815,0,0
Rikio,M15e,M16e,M14w,39,40,37,8,-3,74.1647,0,0
Kotobeppu,M12e,M16w,M13w,33,41,35,7,-6,65.1326,0,0
Daishoho,M1e,M17e,M14e,10,42,36,1,-6,11.480799999999999,0,0
Gojoro,J2e,J1e,M14w,43,43,37,9,-6,74.0049,0,0
Dejima,J4e,J1w,M16w,47,44,41,9,-3,75,0,0
Tokitsunada,J3e,J2e,M17w,45,45,43,8,-2,59,0,0
Tochinonada,J13w,J2w,M18e,66,46,44,13,-2,100,0,0
Mainoumi,J4w,J3e,J1e,48,47,46,8,-1,71,0,0
Naminohana,M14e,J3w,J1w,37,48,47,5,-1,41.1447,0,0
Wakashoyo,J9w,J4e,J4e,58,49,52,9,3,65,0,0
Saigo,J12e,J4w,J8w,63,50,61,8,11,33,0,0
Wakanojo,J11w,J5e,J8e,62,51,60,8,9,49,0,0
Kotogaume,J10w,J5w,J7e,60,52,58,8,6,54,0,0
Tomonohana,J5e,J6e,J5w,49,53,55,6,2,43,0,0
Dewaarashi,J6w,J6w,J5e,52,54,54,7,0,55,0,0
Oginohana,J5w,J7e,J4e,50,55,52,7,-3,43,0,0
Kushimaumi,J7e,J7w,J7w,53,56,59,6,3,45,0,0
Sunahama,J8e,J8e,J8w,55,57,61,6,4,44,0,0
Zenshinyama,J8w,J8w,J7e,56,58,58,7,0,56,0,0
Chiyonowaka,J9e,J9e,J7w,57,59,59,7,0,46,0,0
Toyonoumi,J6e,J9w,J8w,51,60,61,5,1,32,0,0
Otsukasa,J12w,J10e,J9e,64,61,62,8,1,47,0,0
Wakahayato,J11e,J10w,J11w,61,62,67,6,5,38,0,0
Mutetsuyama,J13e,J11e,J11w,65,63,67,7,4,35,0,0
Kyokudozan,M14w,J11w,J12e,38,64,68,0,4,0,0,0
Kanechika,J10e,J12e,J12w,59,65,69,5,4,27,0,0
Daizen,J2w,J12w,N/A,44,66,74,0,8,0,0,0
Asahisato,J7w,J13e,N/A,54,67,80,1,13,9,0,0
