Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Kitanoumi,Y1e,Y1e,N/A,0,1,-18,12,-19,131.2596,6,9.6289
Wajima,Y1w,Y1w,N/A,1,2,-9,10,-11,100.29669999999999,4,8.2577
Takanohana,O1e,O1e,N/A,2,3,-8,10,-11,96.40299999999999,4,7.9371
Kaiketsu,S1e,S1e,N/A,3,4,-11,11,-15,132.0826,3,5.4818
Wakamisugi,S1w,S1w,N/A,4,5,-2,9,-7,105.87839999999998,3,8.8555
Kurohimeyama,S2w,S2e,N/A,6,6,4,8,-2,78.7496,5,8.0328
Kirinji,M1e,K1e,N/A,9,7,-1,10,-8,110.89099999999999,5,9.8538
Asahikuni,M2w,K1w,N/A,12,8,2,10,-6,113.7804,5,8.0328
Mienoumi,M6w,M1e,M1w,20,9,10,10,1,118.83790000000002,2,7.58
Hasegawa,M5w,M1w,M2w,18,10,12,9,2,86.0915,1,1.2755
Masuiyama,M6e,M2e,M3e,19,11,13,9,2,99.0917,1,1.5961
Arase,M4w,M2w,M3w,16,12,14,8,2,74.6002,4,6.0638
Fukunohana,M1w,M3e,M4w,10,13,16,6,3,45.0613,1,1.2755
Fujizakura,M10e,M3w,M5e,27,14,17,10,3,81.04679999999999,0,0
Takamiyama,M2e,M4e,M5e,11,15,17,6,2,64.2387,4,8.9512
Tochiazuma,M7e,M4w,M6e,21,16,19,8,3,61.38549999999999,1,1.5961
Daiju,S2e,M5e,M6e,5,17,19,4,2,43.4745,1,1.5961
Kitaseumi,M9w,M5w,M6w,26,18,20,9,2,96.9038,0,0
Futagodake,M7w,M6e,M6w,22,19,20,8,1,66.17559999999999,1,1.2755
Kongo,K1e,M6w,M7e,7,20,21,4,1,35.5352,2,3.1922
Yutakayama,M8w,M7e,M7w,24,21,22,8,1,57.23310000000001,0,0
Kaneshiro,M3e,M7w,M8e,13,22,23,5,1,37.098800000000004,3,4.1471
Banryuyama,J2e,M8e,M8w,38,23,24,11,1,94.0062,0,0
Owashi,M3w,M8w,M8w,14,24,24,5,0,35.5429,2,2.8716
Tamanofuji,M8e,M9e,M9e,23,25,25,7,0,61.544399999999996,0,0
Daio,M4e,M9w,M9e,15,26,25,5,-1,30.416800000000002,1,1.2755
Ryuko,K1w,M10e,M9w,8,27,26,3,-1,29.6939,3,4.4677
Wakajishi,M13e,M10w,M10e,33,28,27,9,-1,78.88810000000001,0,0
Ryuo,M11e,M11e,M10e,29,29,27,8,-2,72.16,0,0
Aobajo,M11w,M11w,M10w,30,30,28,8,-2,61.4817,0,0
Onishiki,M9e,M12e,M10e,25,31,27,7,-4,54.876099999999994,0,0
Kotonofuji,M12w,M12w,M11w,32,32,30,8,-2,64.08709999999999,0,0
Shiratayama,M5e,M13e,M10e,17,33,27,5,-6,33.1001,2,2.551
Taiga,J3w,M13w,M12e,41,34,31,10,-3,79.0336,0,0
Dairyugawa,J1e,M14e,M13w,36,35,34,8,-1,72.0079,0,0
Mutsuarashi,J1w,M14w,M14e,37,36,35,8,-1,69.00200000000001,0,0
Tamakiyama,J6e,M15e,M15e,47,37,37,10,0,76.0001,0,0
Oshio,M14w,M15w,M15e,35,38,37,7,-1,50.964099999999995,0,0
Takanosato,J3e,M16e,M15w,40,39,38,8,-1,63.0001,0,0
Yoshinotani,M13w,M16w,M16w,34,40,40,6,0,44.874199999999995,0,0
Tenryu,M12e,M17e,M17e,31,41,41,5,0,46.343799999999995,0,0
Maruyama,J8e,M17w,J1e,51,42,45,9,3,68,0,0
Yoshioyama,J4e,J1e,M18w,42,43,44,7,1,59.0062,0,0
Haguroiwa,J2w,J1w,J1e,39,44,45,6,1,39.0001,0,0
Chiyonofuji,J4w,J2e,J3e,43,45,49,6,4,48.0001,0,0
Tochiisami,J12w,J2w,J3w,60,46,50,10,4,83,0,0
Asanobori,J8w,J3e,J3w,52,47,50,8,3,68,0,0
Wakanoumi,M10w,J3w,J3w,28,48,50,2,2,16.0037,0,0
Washuyama,J9e,J4e,J4e,53,49,51,8,2,59,0,0
Aobayama,J11e,J4w,J4e,57,50,51,9,1,42,0,0
Masudayama,J11w,J5e,J4w,58,51,52,9,1,72.0001,0,0
Teruzakura,J9w,J5w,J4w,54,52,52,8,0,49,0,0
Kozan,J7w,J6e,J4w,50,53,52,7,-1,47.0001,0,0
Kenryu,J5w,J6w,J4w,46,54,52,6,-2,40.0001,0,0
Futatsuryu,J10e,J7e,J5e,55,55,53,8,-2,47,0,0
Nishinishiki,J6w,J7w,J5w,48,56,54,6,-2,38,0,0
Katsunishiki,J13e,J8e,J6e,61,57,55,9,-2,56,0,0
Chiyozakura,J7e,J8w,J6e,49,58,55,6,-3,35.0001,0,0
Wakafutase,J5e,J9e,J7w,44,59,58,4,-1,25.0001,0,0
Wakafutase,J5e,J9w,J8e,45,60,59,4,-1,25.0001,0,0
Genbu,J13w,J10e,J8w,62,61,60,8,-1,55,0,0
Teruyama,J10w,J10w,N/A,56,62,82,1,20,8,0,0
Kotetsuyama,J12e,J11e,N/A,59,63,89,0,26,0,0,0
