Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Asashio,Y1w,Y1e,N/A,1,0,0,-22,13,-22,135.05669999999998,6,11.0159
Wakanohana,Y1e,Y1w,M15w,0,-1,1,29,0,28,0,0,0
Kashiwado,O1e,O1e,N/A,2,1,2,-17,12,-19,130.30530000000002,7,13.791799999999999
Taiho,O2w,O1w,N/A,5,4,3,-14,12,-17,113.70249999999999,6,9.308300000000001
Kotogahama,O1w,O2e,N/A,3,2,4,-4,9,-8,88.5163,4,6.4367
Wakahaguro,O2e,O2w,N/A,4,3,5,-3,9,-8,90.88419999999999,4,6.1161
Kitabayama,S1e,S1e,N/A,6,5,6,-1,9,-7,107.32180000000001,3,6.1753
Iwakaze,S1w,S1w,M3e,7,6,7,4,8,-3,62.760200000000005,3,4.8406
Fusanishiki,K1e,K1e,M1w,8,7,8,1,9,-7,103.72309999999999,4,8.4649
Fujinishiki,K2w,K1w,M5e,11,10,9,8,8,-1,61.8522,1,1.2755
Wakamisugi,M1e,K2e,M5w,12,11,10,9,8,-1,79.38820000000001,4,6.1161
Maedagawa,M8w,M1e,M5e,27,26,11,8,12,-3,106.9472,0,0
Aonosato,M3e,M1w,M5w,16,15,12,9,9,-3,92.0368,3,4.1471
Tochihikari,M3w,M2e,M8e,17,16,13,14,8,1,97.5255,6,11.502200000000002
Ohikari,M6e,M2w,M8w,22,21,14,15,9,1,83.4759,2,2.8716
Annenyama,K1w,M3e,M10e,9,8,15,18,5,3,47.331199999999995,1,1.2755
Kairyuyama,M9w,M3w,M12e,29,28,16,22,9,6,79.0365,0,0
Wakamaeda,M1w,M4e,M12e,13,12,17,22,5,5,38.2411,2,3.5651
Kitanonada,M2e,M4w,M12w,14,13,18,23,5,5,47.6653,1,1.2755
Tsurugamine,K2e,M5e,M12w,10,9,19,23,4,4,42.4768,3,4.8406
Fukudayama,M14w,M5w,M13e,39,38,20,24,11,4,85.67299999999997,0,0
Tochinoumi,M11e,M6e,M13w,32,31,21,25,9,4,60.2299,0,0
Hagurohana,M6w,M6w,M13e,23,22,22,24,7,2,58.3598,0,0
Tsunenishiki,M11w,M7e,M14e,33,32,23,26,9,3,63.363600000000005,0,0
Kaizan,M7w,M7w,M14e,25,24,24,26,7,2,57.6925,0,0
Oginohana,M5w,M8e,M14e,21,20,25,26,6,1,51.670199999999994,3,4.4677
Shionishiki,M4e,M8w,M14w,18,17,26,27,5,1,38.5186,0,0
Matsunobori,M9e,M9e,M15w,28,27,27,29,7,2,55.1436,0,0
Myobudani,M5e,M9w,M15w,20,19,28,29,5,1,45.948,2,2.8716
Tamahibiki,M8e,M10e,J1e,26,25,29,31,6,2,46.956300000000006,0,0
Wakanokuni,J4e,M10w,J1w,47,46,30,32,11,2,94,0,0
Wakasugiyama,M10w,M11e,J1w,31,30,31,32,7,1,60.4425,0,0
Dewanishiki,M2w,M11w,J1w,15,14,32,32,3,0,22.126,1,1.2755
Kanenohana,M13e,M12e,J2e,36,35,33,33,8,0,59.1184,0,0
Udagawa,M10e,M12w,J3e,30,29,34,35,6,1,43.326100000000004,0,0
Wakanoumi,M7e,M13e,J4e,24,23,35,37,4,2,29.769799999999996,1,1.2755
Yoshinomine,J3e,M13w,J4w,45,44,36,38,9,2,72,0,0
Shinoburyu,M13w,M14e,J4w,37,36,37,38,7,1,50.2936,0,0
Arakiyama,M12e,M14w,J5e,34,33,38,39,6,1,46.2975,0,0
Hanenishiki,M15e,M15e,J6e,40,39,39,41,7,2,53.2969,0,0
Kiyonomori,M14e,M15w,J7e,38,37,40,43,6,3,42.161,0,0
Hoshikabuto,J8e,M16e,J7w,55,54,41,44,10,3,82,0,0
Ichinoya,J4w,J1e,J8e,48,47,42,45,8,3,61,0,0
Sawakaze,J2w,J1w,J8e,44,43,43,45,7,2,51.0778,0,0
Oiteyama,J5e,J2e,J8w,49,48,44,46,8,2,73,0,0
Takanishiki,J13w,J2w,J9e,66,65,45,47,12,2,107,0,0
Izuminada,J1w,J3e,J9e,42,41,46,47,6,1,44.002,0,0
Yasome,J10e,J3w,J9w,59,58,47,48,10,1,80,0,0
Wakachichibu,M12w,J4e,J9w,35,34,48,48,4,0,37.098200000000006,0,0
Sadanoyama,M4w,J4w,J9w,19,18,49,48,0,-1,0,0,0
Tokinami,J5w,J5e,J11e,50,49,50,51,7,1,65,0,0
Kiminishiki,J7w,J5w,J11e,54,53,51,51,8,0,65,0,0
Wakakoma,J1e,J6e,J12w,41,40,52,54,4,2,28,0,0
Miyabashira,J6e,J6w,J13w,51,50,53,56,6,3,43,0,0
