Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
j2w,m13w,0,0,[]
j2w,m13w,1,0,[]
j2w,m13w,2,0,[]
j2w,m13w,3,0,[]
j2w,m13w,4,0,[]
j2w,m13w,5,0,[]
j2w,m13w,6,0,[]
j2w,m13w,7,0,[]
j2w,m13w,8,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m13w,9,7,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m13w,10,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m13w,11,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m13w,12,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m13w,13,0,[]
j2w,m13w,14,0,[]
j2w,m13w,15,0,[]
,,TOTAL,15,
#,#,#,#,#
j2w,m14e,0,0,[]
j2w,m14e,1,0,[]
j2w,m14e,2,0,[]
j2w,m14e,3,0,[]
j2w,m14e,4,0,[]
j2w,m14e,5,0,[]
j2w,m14e,6,0,[]
j2w,m14e,7,0,[]
j2w,m14e,8,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m14e,9,9,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m14e,10,6,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m14e,11,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m14e,12,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m14e,13,0,[]
j2w,m14e,14,0,[]
j2w,m14e,15,0,[]
,,TOTAL,20,
#,#,#,#,#
j2w,m14w,0,0,[]
j2w,m14w,1,0,[]
j2w,m14w,2,0,[]
j2w,m14w,3,0,[]
j2w,m14w,4,0,[]
j2w,m14w,5,0,[]
j2w,m14w,6,0,[]
j2w,m14w,7,0,[]
j2w,m14w,8,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m14w,9,8,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m14w,10,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m14w,11,0,[]
j2w,m14w,12,0,[]
j2w,m14w,13,0,[]
j2w,m14w,14,0,[]
j2w,m14w,15,0,[]
,,TOTAL,14,
#,#,#,#,#
j2w,m15e,0,0,[]
j2w,m15e,1,0,[]
j2w,m15e,2,0,[]
j2w,m15e,3,0,[]
j2w,m15e,4,0,[]
j2w,m15e,5,0,[]
j2w,m15e,6,0,[]
j2w,m15e,7,0,[]
j2w,m15e,8,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m15e,9,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m15e,10,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m15e,11,0,[]
j2w,m15e,12,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m15e,13,0,[]
j2w,m15e,14,0,[]
j2w,m15e,15,0,[]
,,TOTAL,8,
#,#,#,#,#
j2w,m15w,0,0,[]
j2w,m15w,1,0,[]
j2w,m15w,2,0,[]
j2w,m15w,3,0,[]
j2w,m15w,4,0,[]
j2w,m15w,5,0,[]
j2w,m15w,6,0,[]
j2w,m15w,7,0,[]
j2w,m15w,8,0,[]
