Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Tsurugisho,8,7,2,8,,62,130,0.677083333333333,,Daiseizan;Otsuji;Hakuyozan;Hokutofuji;Mitoryu;Shiden;Kagayaki;Tohakuryu
Wakanosho,7,8,-2,7,,63,129,0.671875,,Kiryuko;Tsurugisho;Wakaikari;Mitoryu;Tohakuryu;Oshoumi;Kagayaki
Hitoshi,9,6,6,9,,64,128,0.666666666666667,,Wakanosho;Hatsuyama;Kiryuko;Daiseizan;Kazekeno;Mudoho;Otsuji;Hakuyozan;Nabatame
Kiryuko,2,13,-22,2,,65,127,0.661458333333333,,Otsuji;Tsurugisho
Hatsuyama,8,7,2,8,,66,126,0.65625,,Kiryuko;Kazekeno;Tochimaru;Wakanosho;Tsurugisho;Hokutofuji;Daiseizan;Tomokaze
Kazekeno,8,7,2,8,,67,125,0.651041666666667,,Otsuji;Tsurugisho;Daiamami;Wakanosho;Hokutofuji;Shimanoumi;Ishizaki;Kotoeiho
Otsuji,5,10,-10,5,,68,124,0.645833333333333,,Ishizaki;Hatsuyama;Wakanosho;Hokutofuji;Kotoeiho
Kusano,14,1,26,14,,69,123,0.640625,,Miyagi;Kazekeno;Otsuji;Hatsuyama;Wakanosho;Hitoshi;Kiryuko;Daiseizan;Hakuyozan;Shimanoumi;Tsurugisho;Roga;Hidenoumi;Fujiseiun
Miyagi,4,11,-14,4,,70,122,0.635416666666667,,Daiamami;Ishizaki;Tochimaru;Hokutofuji
Ishizaki,3,12,-18,3,,71,121,0.630208333333333,,Daiamami;Nishinoryu;Tochimaru
Daiamami,4,11,-14,4,,72,120,0.625,,Tenshoho;Nishinoryu;Kaisho;Hokutofuji
Tochimaru,2,13,-22,2,,73,119,0.619791666666667,,Mudoho;Nishinoryu
Shimazuumi,0,15,-30,0,,74,118,0.614583333333333,,
Mudoho,4,11,-14,4,,75,117,0.609375,,Mita;Nishinoryu;Miyagi;Kotokuzan
Nishinoryu,2,13,-22,2,,76,116,0.604166666666667,,Mita;Osanai
Mita,5,10,-10,5,,77,115,0.598958333333333,,Tenshoho;Takakento;Ishizaki;Miyagi;Otsuji
Bushozan,0,15,-30,0,,78,114,0.59375,,
Tenshoho,1,14,-26,1,,79,113,0.588541666666667,,Kototaiko
Kotokuzan,4,11,-14,4,,80,112,0.583333333333333,,Tenshoho;Takakento;Daishoho;Okaryu
Akua,6,9,-6,6,,81,111,0.578125,,Takakento;Kotokuzan;Tochimaru;Dewanoryu;Nobehara;Asahakuryu
Takakento,3,12,-18,3,,82,110,0.572916666666667,,Tenshoho;Nishinoryu;Tochimaru
Daishoho,4,11,-14,4,,83,109,0.567708333333333,,Kaisho;Gojinyu;Kitaharima;Fujinoyama
Kotokenryu,0,15,-30,0,,84,108,0.5625,,
Kaisho,2,13,-22,2,,85,107,0.557291666666667,,Tsushimanada;Takakento
Kyokukaiyu,5,10,-10,5,,86,106,0.552083333333333,,Kaisho;Daishoho;Kotokuzan;Okaryu;Mudoho
Tochimusashi,5,10,-10,5,,87,105,0.546875,,Kyokukaiyu;Daishoho;Okaryu;Satorufuji;Inami
Dewanoryu,6,9,-6,6,,88,104,0.541666666666667,,Gojinyu;Okaryu;Tochimusashi;Kyokukaiyu;Nobehara;Hananoumi
Gojinyu,3,12,-18,3,,89,103,0.536458333333333,,Kaisho;Tsushimanada;Asashiyu
Kitaharima,3,12,-18,3,,90,102,0.53125,,Gojinyu;Asakoki;Kaisho
Okaryu,3,12,-18,3,,91,101,0.526041666666667,,Kitaharima;Inami;Fujinoyama
Asakoki,3,12,-18,3,,92,100,0.520833333333333,,Tsushimanada;Gojinyu;Haruyama
Fujinoyama,3,12,-18,3,,93,99,0.515625,,Asakoki;Kitaharima;Asashiyu
Satorufuji,5,10,-10,5,,94,98,0.510416666666667,,Inami;Fujinoyama;Chiyomaru;Asonoyama;Nobehara
Inami,4,11,-14,4,,95,97,0.505208333333333,,Asakoki;Asashiyu;Kitaharima;Hamayutaka
Tsushimanada,2,13,-22,2,,96,96,0.5,,Tenshoho;Daimasakari
Hamayutaka,4,11,-14,4,,97,95,0.494791666666667,,Asashiyu;Chiyomaru;Satorufuji;Kazenoumi
Asashiyu,2,13,-22,2,,98,94,0.489583333333333,,Haruyama;Tosamidori
Asahakuryu,5,10,-10,5,,99,93,0.484375,,Haruyama;Kazenoumi;Fujinoyama;Hamayutaka;Tochimusashi
Chiyomaru,4,11,-14,4,,100,92,0.479166666666667,,Asahakuryu;Anosho;Kazenoumi;Asonoyama
Kazenoumi,3,12,-18,3,,101,91,0.473958333333333,,Asashiyu;Fukai;Asakoki
Anosho,3,12,-18,3,,102,90,0.46875,,Kazenoumi;Tosamidori;Fukai
Haruyama,2,13,-22,2,,103,89,0.463541666666667,,Daimasakari;Osanai
Nobehara,4,11,-14,4,,104,88,0.458333333333333,,Haruyama;Anosho;Narutaki;Hamayutaka
Narutaki,4,11,-14,4,,105,87,0.453125,,Fukai;Tosamidori;Asonoyama;Kaiseijo
Fukai,3,12,-18,3,,106,86,0.447916666666667,,Daimasakari;Haruyama;Tosamidori
Osanai,1,14,-26,1,,107,85,0.442708333333333,,Daimasakari
Tosamidori,2,13,-22,2,,108,84,0.4375,,Osanai;Fujitoshi
Asonoyama,3,12,-18,3,,109,83,0.432291666666667,,Fukai;Tosamidori;Anosho
Hokutomaru,5,10,-10,5,,110,82,0.427083333333333,,Asonoyama;Wakatakamoto;Matsui;Chiyomaru;Narutaki
Kaiseijo,4,11,-14,4,,111,81,0.421875,,Daimasakari;Hokutomaru;Kitadaichi;Aratakayama
Daimasakari,1,14,-26,1,,112,80,0.416666666666667,,Tenshoho
Kitadaichi,2,13,-22,2,,113,79,0.411458333333333,,Daimasakari;Hokutomaru
Hananoumi,5,10,-10,5,,114,78,0.40625,,Kitadaichi;Obara;Kaiseijo;Aratakayama;Narutaki
Fujitoshi,2,13,-22,2,,115,77,0.401041666666667,,Kototaiko;Kaishin
Obara,4,11,-14,4,,116,76,0.395833333333333,,Fujitoshi;Wakatakamoto;Matsui;Chiyotora
Wakatakamoto,1,14,-26,1,,117,75,0.390625,,Fujitoshi
Matsui,4,11,-14,4,,118,74,0.385416666666667,,Wakatakamoto;Chiyotora;Kitadaichi;Anosho
Aratakayama,3,12,-18,3,,119,73,0.380208333333333,,Kamito;Toseiryu;Hokutenkai
Chiyotora,5,10,-10,5,,120,72,0.375,,Aratakayama;Yuma;Awanokuni;Kamito;Kaiseijo
Kamito,4,11,-14,4,,121,71,0.369791666666667,,Fujitoshi;Yuma;Hokutenkai;Shohoryu
Toseiryu,5,10,-10,5,,122,70,0.364583333333333,,Kamito;Oyamada;Kitadaichi;Oyamatoumi;Obara
Yuma,4,11,-14,4,,123,69,0.359375,,Higonoumi;Wakatakamoto;Hokutenkai;Aratakayama
Oshoryu,7,8,-2,7,,124,68,0.354166666666667,,Yuma;Toseiryu;Matsui;Hananoumi;Enho;Akua;Kawazoe
Higonoumi,3,12,-18,3,,125,67,0.348958333333333,,Fujitoshi;Oyamada;Kitadaichi
Nihonyanagi,0,15,-30,0,,126,66,0.34375,,
Hokutenkai,3,12,-18,3,,127,65,0.338541666666667,,Higonoumi;Oyamada;Dewataikai
Oyamada,3,12,-18,3,,128,64,0.333333333333333,,Shohoryu;Wakatakamoto;Sazanami
Enho,6,9,-6,6,,129,63,0.328125,,Oyamada;Hokutenkai;Awanokuni;Tendozan;Obara;Nagamura
Shohoryu,3,12,-18,3,,130,62,0.322916666666667,,Higonoumi;Dewataikai;Sazanami
Awanokuni,4,11,-14,4,,131,61,0.317708333333333,,Shohoryu;Noda;Higonoumi;Shuji
Oyamatoumi,4,11,-14,4,,132,60,0.3125,,Sazanami;Dewataikai;Awanokuni;Tochikodai
Noda,3,12,-18,3,,133,59,0.307291666666667,,Oyamatoumi;Shohoryu;Sazanami
Dewataikai,2,13,-22,2,,134,58,0.302083333333333,,Sazanami;Kaishin
Sazanami,2,13,-22,2,,135,57,0.296875,,Gyokuozan;Kaishin
Tendozan,6,9,-6,6,,136,56,0.291666666666667,,Gyokuozan;Dewataikai;Nagamura;Tanji;Yoshii;Daikosho
Gyokuozan,2,13,-22,2,,137,55,0.286458333333333,,Kototaiko;Kaishin
Nagamura,5,10,-10,5,,138,54,0.28125,,Tanji;Kazuto;Oyamatoumi;Hinataryu;Seihakuho
Tanji,4,11,-14,4,,139,53,0.276041666666667,,Gyokuozan;Noda;Kazuto;Toshunryu
Kazuto,5,10,-10,5,,140,52,0.270833333333333,,Shuji;Toshunryu;Tochikodai;Noda;Yoshii
Shuji,3,12,-18,3,,141,51,0.265625,,Kototaiko;Dewataikai;Gyokuozan
Kototaiko,0,15,-30,0,,142,50,0.260416666666667,,
Tochikodai,3,12,-18,3,,143,49,0.255208333333333,,Kototaiko;Toshunryu;Aron
Kaishin,1,14,-26,1,,144,48,0.25,,Kototaiko
Toshunryu,4,11,-14,4,,145,47,0.244791666666667,,Kaishin;Nionoumi;Shuji;Noda
Kawazoe,6,9,-6,6,,146,46,0.239583333333333,,Hinataryu;Kotodaigo;Tochikodai;Daishomaru;Goshima;Fukuzaki
Hinataryu,5,10,-10,5,,147,45,0.234375,,Kaishin;Shuji;Tochikodai;Tochiseiryu;Tanji
Aron,3,12,-18,3,,148,44,0.229166666666667,,Denuma;Chiyoraizan;Gyokuozan
Kotodaigo,4,11,-14,4,,149,43,0.223958333333333,,Aron;Nionoumi;Chiyodaigo;Tochiseiryu
Nionoumi,3,12,-18,3,,150,42,0.21875,,Aron;Akiyoshi;Chiyoraizan
Yoshii,4,11,-14,4,,151,41,0.213541666666667,,Nionoumi;Chiyoraizan;Kotodaigo;Tochiseiryu
Akiyoshi,3,12,-18,3,,152,40,0.208333333333333,,Aron;Kaigo;Chiyodaigo
