Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
j1e,m15e,9,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m15e,10,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m15e,11,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,13,
#,#,#,#,#
j1e,m15w,8,8,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m15w,9,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m15w,10,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,14,
#,#,#,#,#
j1e,m16e,8,10,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m16e,9,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,13,
#,#,#,#,#
j1e,m16w,8,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m16w,9,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,5,
#,#,#,#,#
j1e,m17e,8,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m17e,9,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,5,
#,#,#,#,#
j1e,m17w,8,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m17w,10,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,4,
#,#,#,#,#
j1e,m18w,11,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,1,
#,#,#,#,#
j1e,j1e,8,6,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,j1e,9,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,7,
#,#,#,#,#
j1e,j1w,7,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,j1w,8,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,4,
#,#,#,#,#
j1e,j2e,7,15,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,15,
#,#,#,#,#
j1e,j2w,6,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,j2w,7,8,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,9,
#,#,#,#,#
j1e,j3e,6,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,j3e,7,7,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,9,
#,#,#,#,#
j1e,j3w,6,5,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,j3w,7,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,6,
#,#,#,#,#
j1e,j4e,5,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,j4e,6,6,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,j4e,7,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,8,
#,#,#,#,#
j1e,j4w,5,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,j4w,6,7,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,j4w,7,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,10,
#,#,#,#,#
j1e,j5e,5,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
