Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Yago,4,11,-14,17,2.0777202072538863,171,22,0.11398963730569948,,Hoshuzan;Wakamiyabi;Ienoshima;Yoshiyasu
Tokunomusashi,3,12,-18,9,0.8186528497409327,172,21,0.10880829015544041,,Aron;Yutakasho;Murayama
Wakamiyabi,5,10,-10,23,1.8134715025906736,173,20,0.10362694300518134,,Tokunomusashi;Nionoumi;Daimasakari;Dewataikai;Kototsubasa
Kototsubasa,4,11,-14,17,1.6891191709844562,174,19,0.09844559585492228,,Aron;Daimasakari;Murayama;Yago
Aron,3,12,-18,9,0.8808290155440415,175,18,0.09326424870466321,,Yutakasho;Nionoumi;Hoshuzan
Daimasakari,4,11,-14,13,1.3471502590673574,176,17,0.08808290155440414,,Yutakasho;Tokunomusashi;Hoshuzan;Aron
Yutakasho,1,14,-26,1,0.15544041450777202,177,16,0.08290155440414508,,Tsurubayashi
Nionoumi,3,12,-18,11,0.7720207253886009,178,15,0.07772020725388601,,Akiyoshi;Tokunomusashi
Akiyoshi,5,10,-10,18,1.3108808290155438,179,14,0.07253886010362694,,Yutakasho;Hakuonada;Murayama;Daimasakari;Sazanami
Murayama,2,13,-22,9,0.5077720207253886,180,13,0.06735751295336788,,Dewataikai;Nionoumi
Dewataikai,4,11,-14,17,0.7668393782383418,181,12,0.06217616580310881,,Hakuonada;Akiyoshi;Kawamura;Kirinryu
Sazanami,4,11,-14,17,0.6476683937823834,182,11,0.05699481865284974,,Hakuonada;Oka;Murayama;Dewataikai
Hakuonada,2,13,-22,4,0.03626943005181347,183,10,0.05181347150259067,,Gyokuozan
Oka,5,10,-10,16,0.2435233160621762,184,9,0.046632124352331605,,Kawamura;Urayama;Hanaoka
Kawamura,3,12,-18,10,0.30051813471502586,185,8,0.04145077720207254,,Kirinryu;Urayama
Gyokuozan,2,13,-22,2,0,186,7,0.03626943005181347,,
Tochiseiryu,4,11,-14,19,0.48186528497409326,187,6,0.031088082901554404,,Gyokuozan;Oka;Hanaoka;Sazanami
Wakatakamoto,0,15,-30,0,0,188,5,0.025906735751295335,,
Kirinryu,3,12,-18,10,0.3834196891191709,189,4,0.02072538860103627,,Gyokuozan;Hakuonada;Nionoumi
Gyotoku,6,9,-6,26,1.6476683937823833,190,3,0.015544041450777202,,Kirinryu;Tochiseiryu;Sazanami;Kototsubasa;Wakamiyabi
Urayama,4,11,-14,8,0.24352331606217617,191,2,0.010362694300518135,,Gyokuozan;Murayama
Hanaoka,4,11,-14,11,0.18652849740932642,192,1,0.0051813471502590676,,Urayama;Kawamura
