terunofuji,Y,takanosho,kirishima,,,,,,,,,,,
tomokaze,54,aonishiki,shimanoumi,mitoryu,daiseizan,asakoryu,daishoho,sadanoumi,,,,,,
tochitaikai,55,shimanoumi,mitoryu,hidenoumi,daiseizan,tomokaze,daimami,tsurugisho,kayo,,,,,
fujiseiun,56,tochitaikai,hidenoumi,shimanoumi,tomokaze,hakuyozan,shimazuumi,asakoryu,daishoho,,,,,
mitoryu,57,daiseizan,shimazuumi,shimanoumi,hakuyozan,daishoho,hatsuyama,kiryuko,shiden,,,,,
daiseizan,58,fujiseiun,daishoho,daiamami,hatsuyama,tohakuryu,shiden,,,,,,,
oshoumi,59,shimazuumi,mitoryu,daiamami,tohakuryu,hatsuyama,tomokaze,daishoho,daiseizan,tochitaikai,,,,
shimazuumi,60,daiseizan,daiamami,kotozukan,,,,,,,,,,
hakuyozan,61,daiamami,tohakuryu,oshoumi,shimazuumi,hatsuyama,shiden,tsurugisho,kayo,,,,,
daiamami,62,kotoeiho,hatsuyama,otsuji,kusano,,,,,,,,,
tohakuryu,63,kiryuko,kotoeiho,daishoho,fujiseiun,daiamami,shimazuumi,tsurugisho,ryuden,,,,,
hatsuyama,64,kiryuko,daishoho,fujiseiun,daiseizan,tsurugisho,shimanoumi,,,,,,,
kiryuko,65,nabatame,daiamami,daishoho,daiseizan,hakuyozan,tomokaze,tsurugisho,,,,,,
wakaikari,66,hatsuyama,daishoho,tohakuryu,akua,hakuyozan,shimazuumi,kotoeiho,kiryuko,shirokuma,,,,
kotoeiho,67,nabatame,kiryuko,kotozukan,daishoho,hakuyozan,hatsuyama,shimazuumi,oshoumi,shirokuma,kayo,,,
nabatame,68,daishoho,wakaikari,shimazuumi,daiamami,tohakuryu,oshoumi,hatsuyama,hakuyozan,tochitaikai,shishi,ryuden,,
daishoho,69,shimazuumi,,,,,,,,,,,,
kotozukan,m,3,,,,,,,,,,,,
kusano,m,4,,,,,,,,,,,,
otsuji,m,5,,,,,,,,,,,,
akua,m,3,,,,,,,,,,,,
