Rank vs,y,o,s,k,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18
M10,0.28125,0.45454545454545453,0.6071428571428571,0.4268292682926829,0.47058823529411764,0.7142857142857143,0.8871794871794871,0.9217687074829932,0.9635036496350365,0.8663194444444444,0.9761092150170648,0.9932773109243698,1.0015384615384615,-,1.055472263868066,1.1048951048951048,1.043726235741445,1.015625,1.2100313479623825,1.3979591836734695,1.3186813186813187,1.0833333333333333,1.00
Total Matches,41,64,90,117,225,276,368,565,807,1075,1158,1186,1301,0,1371,1204,1075,903,705,470,211,100,13312
M11,0.3333333333333333,0.3235294117647059,0.25925925925925924,0.5490196078431373,0.7045454545454546,0.8288288288288288,0.9735099337748344,0.9911894273127754,1.0176991150442478,0.9837728194726166,0.9642857142857143,0.8407643312101911,0.8802395209580839,0.9474431818181818,-,1.0374414976599065,1.1261595547309833,1.1515837104072397,1.0024937655860349,1.2436974789915967,1.0,1.2156862745098038,0.99
Total Matches,16,45,68,79,150,203,298,452,684,978,1100,1156,1256,1371,0,1306,1146,951,803,534,232,113,12941
M12,0.3,0.3181818181818182,0.5,0.5757575757575758,0.4823529411764706,0.79,0.8153846153846154,0.8429319371727748,0.8928571428571429,0.9320843091334895,0.9072356215213359,0.924865831842576,1.0239316239316238,0.9050632911392406,0.9639097744360903,-,0.998371335504886,0.8782287822878229,1.146039603960396,1.0763636363636364,1.184873949579832,1.38,0.95
Total Matches,13,29,30,52,126,179,236,352,583,825,1028,1076,1184,1204,1306,0,1227,1018,867,571,260,119,12285
M13,0.3333333333333333,0.3,0.5789473684210527,0.9615384615384616,0.6666666666666666,0.8771929824561403,0.9021739130434783,0.6370370370370371,0.6946902654867256,0.9722222222222222,0.8424242424242424,0.8927911275415896,0.9718574108818011,0.9581056466302368,0.8879736408566722,1.0016313213703099,-,1.0299065420560747,1.0843373493975903,1.1607142857142858,1.0161290322580645,1.203125,0.95
Total Matches,8,26,30,51,75,107,175,221,383,639,912,1024,1051,1075,1146,1227,0,1086,865,605,250,141,11097
M14,0.14285714285714285,0.38461538461538464,1.0,0.9230769230769231,0.5454545454545454,0.7297297297297297,0.8548387096774194,0.776595744680851,0.875,0.7702127659574468,0.9196141479099679,0.9526315789473684,0.8469827586206896,0.9846153846153847,0.8683693516699411,1.138655462184874,0.9709618874773139,-,1.0696629213483146,1.3411764705882352,0.8819444444444444,1.2033898305084745,0.98
Total Matches,8,18,22,25,51,64,115,167,255,416,597,742,857,903,951,1018,1086,0,921,597,271,130,9214
M15,0.0,0.14285714285714285,0.1111111111111111,0.5714285714285714,1.25,0.39285714285714285,0.6451612903225806,0.6610169491525424,0.8390804597701149,0.7837837837837838,0.6864406779661016,1.0074349442379182,0.7679558011049724,0.8264248704663213,0.9975124378109452,0.8725701943844493,0.9222222222222223,0.9348739495798319,-,1.0,1.083916083916084,1.0289855072463767,0.90
Total Matches,3,8,10,11,18,39,51,98,160,264,398,540,640,705,803,867,865,921,0,646,298,140,7485
M16,N/A,0.0,0.4,0.0,0.9,0.7692307692307693,0.44,1.3157894736842106,0.8392857142857143,0.8985507246376812,0.8151260504201681,0.8397435897435898,0.7241379310344828,0.7153284671532847,0.8040540540540541,0.9290540540540541,0.8615384615384616,0.7456140350877193,1.0,-,1.0740740740740742,1.2253521126760563,0.86
Total Matches,0,2,7,4,19,23,36,44,103,131,216,287,400,470,534,571,605,597,646,0,336,158,5189
M17,N/A,1.0,1.0,4.0,0.75,0.0,0.5625,0.5555555555555556,0.6521739130434783,0.7073170731707317,0.896551724137931,0.6438356164383562,0.9775280898876404,0.7583333333333333,1.0,0.8439716312056738,0.9841269841269841,1.1338582677165354,0.9225806451612903,0.9310344827586207,-,0.8876404494382022,0.91
Total Matches,0,6,4,5,7,3,25,28,38,70,110,120,176,211,232,260,250,271,298,336,0,168,2618
M18,N/A,N/A,0.0,0.0,1.0,1.0,0.3333333333333333,0.5714285714285714,3.5,0.7,0.8148148148148148,0.5789473684210527,0.9090909090909091,0.9230769230769231,0.8225806451612904,0.7246376811594203,0.8311688311688312,0.8309859154929577,0.971830985915493,0.8160919540229885,1.1265822784810127,-,0.90
Total Matches,0,0,1,2,4,4,4,11,18,34,49,60,84,100,113,119,141,130,140,158,168,0,1340
