Tochinoumi,1962.01,S1e,9,1962.03,S1w,9,1962.05,S1w,14,32,,,,,,,Miyabiyama,2000.01,K1w,12-3 J,2000.03,S1w,11-4,2000.05,S1e,11-4
Kitanofuji,1966.03,S1e,8,1966.05,S1e,10,1966.07,S1e,10,28,,,,,,,Kaio,2000.03,K1w,8,2000.05,K1w,14-1 Y,2000.07,S1e,11-4
Tamanoshima,1966.05,S1w,10,1966.07,S1w,9,1966.09,S1e,11,30,,,,,,,Tochiazuma,2001.07,S1e,10-5,2001.09,S1e,12-3 J,2001.11,S1e,12-3 J
Kotozakura,1967.05,K1e,10,1967.07,S1w,11,1967.09,S1e,11,32,,,,,,,Asashoryu,2002.03,S1w,11-4,2002.05,S1e,11-4 J,2002.07,S1e,12-3 J
Kiyokuni,1969.01,K1w,10,1969.03,S1w,9,1969.05,S1w,12,31,,,,,,,Kotooshu,2005.07,K1e,12-3 J,2005.09,S1e,13-2 D,2005.11,S1e,11-4 J
Kitanoumi,1973.09,K1e,8,1973.11,S1e,10,1974.01,S1e,14,32,,,,,,,Hakuho,2005.11,K1w,9-6,2006.01,S1w,13-2 J,2006.03,S1e,13-2 D
Kaiketsu,1974.09,S2eHD,7,1974.11,K2wHD,12,1975.01,S1e,11,30,,,,,,,Kotomitsuki,2007.03,S1e,10-5,2007.05,S1e,12-3 J,2007.07,S1e,13-2 J
Mienoumi,1975.07,S1e,8,1975.09,S2eHD,11,1975.11,S1e,13,32,,,,,,,Harumafuji,2008.07,S1e,10-5,2008.09,S1e,12-3 J,2008.11,S1e,13-2 D
Masuiyama,1979.09,K1e,8,1979.11,S1w,11,1980.01,S1e,12,31,,,,,,,Baruto,2009.11,S1e,9-6,2010.01,S1e,12-3 J,2010.03,S1e,14-1 J
Kotokaze,1981.05,S1w,9,1981.07,S1e,10,1981.09,S1e,12,31,,,,,,,Kotoshogiku,2011.05,S1e,10-5,2011.07,S1e,11-4,2011.09,S1e,12-3 J
Onokuni,1985.03,S1w,9,1985.05,S1e,10,1985.07,S1e,12,31,,,,,,,Kakuryu,2011.11,S1w,10-5,2012.01,S1e,10-5,2012.03,S1e,13-2 D
Chiyotaikai,1998.09,S1e,9,1998.11,S1e,10,1999.01,S1e,13,32,,,,,,,Terunofuji,2015.01,M2e,8,2015.03,S1e,13-2 J,2015.05,S1e,12-3 Y
Kisenosato,2011.07,S1w,10,2011.09,S1w,12,2011.11,S1e,10,32,,,,,,,Takayasu,2017.01,K1e,11-4,2017.03,S1w,12-3,2017.05,S1w,11-4
Goeido,2014.03,S1e,12,2014.05,S1e,8,2014.07,S1e,12,32,,,,,,,Tochinoshin,2018.01,M3w,14-1 Y,2018.03,S1w,10-5,2018.05,S1e,13-2 J
Asanoyama,2019.11,K2w,11,2020.01,S1e,10,2020.03,S1e,11,32,,,,,,,Takakeisho,2018.11,K1e,13-2 Y,2019.01,S1e,11-4 J,2019.03,S1e,10-5
Shodai,2020.03,S1w,8,2020.07,S1e,11,2020.09,S1e,13,32,,,,,,,Terunofuji,2020.11,K1e,13-2 D,2021.01,S1e,11-4 J,2021.03,S1e,12-3 Y
Taiho,1960.07,K1w,11,1960.09,S1w,12,1960.11,S1e,13,36,,,,,,,Mitakeumi,2021.09,S1e,9-6,2021.11,S1e,11-4,2022.01,S1e,13-2 Y
Tochihikari,1962.01,M4w,11,1962.03,K1w,10,1962.05,S2wH,13,34,,,,,,,Kirishima,2023.01,K1e,11-4 J,2023.03,S2e,12-3 Y,2023.05,S1e,11-4
utakaama,1962.09,M2w,12,1962.11,S1e,12,1963.01,S1e,13,37,,,,,,,Hoshoryu,2023.03,S1w,10-5,2023.05,S1w,11-4,2023.07,S1e,12-3 Y
Maenoama,1970.03,S2wH,9,1970.05,S1e,12,1970.07,S1e,13,34,,,,,,,Kotonowaka,2023.09,S2e,9-6,2023.11,S2e,11-4 J,2024.01,S1e,13-2 D
aikirin,1970.05,S1w,9,1970.07,S1w,12,1970.09,S1e,12,33,,,,,,,Onosato,2024.05,K1w,12-3 Y,2024.07,S1w,9-6,2024.09,S1w,13-2 Y
Waima,1972.05,S1w,12,1972.07,S1e,8,1972.09,S2eH,13,33,,,,,,,,,,,,,,,,
Takanohana,1972.05,K1e,11,1972.07,S1w,12,1972.09,S1e,10,33,,,,,,,,,,,,,,,,
aiu,1973.03,K1e,10,1973.05,S1e,11,1973.07,S1e,13,34,,,,,,,,,,,,,,,,
Asahikuni,1975.11,S1w,8,1976.01,S1e,12,1976.03,S1e,13,33,,,,,,,,,,,,,,,,
Wakamisugi,1976.09,S1w,11,1976.11,S1e,11,1977.01,S1e,11,33,,,,,,,,,,,,,,,,
Kaiketsu,1976.09,M4w,14,1976.11,S1w,11,1977.01,S1w,11,36,,,,,,,,,,,,,,,,
Chionofui,1980.09,K1e,10,1980.11,S1e,11,1981.01,S1e,14,35,,,,,,,,,,,,,,,,
Takanosato,1981.09,K2wH,10,1981.11,S1e,11,1982.01,S1e,12,33,,,,,,,,,,,,,,,,
Wakashimazu,1982.07,K1e,10,1982.09,S1e,12,1982.11,S1e,12,34,,,,,,,,,,,,,,,,
Asashio,1982.11,M1e,9,1983.01,S1w,14,1983.03,S1e,12,35,,,,,,,,,,,,,,,,
Hokutenu,1983.01,S1e,11,1983.03,S1w,12,1983.05,S1e,14,37,,,,,,,,,,,,,,,,
Kitao,1985.07,M1e,12,1985.09,S1w,11,1985.11,S1e,12,35,,,,,,,,,,,,,,,,
Hokutoumi,1986.03,S1w,13,1986.05,S1e,11,1986.07,S1e,12,36,,,,,,,,,,,,,,,,
Konishiki,1987.01,S1e,10,1987.03,S1e,11,1987.05,S1e,12,33,,,,,,,,,,,,,,,,
Asahifui,1987.05,S1w,10,1987.07,S1e,11,1987.09,S1e,12,33,,,,,,,,,,,,,,,,
Kirishima,1989.11,K1w,10,1990.01,K1e,11,1990.03,S1e,13,34,,,,,,,,,,,,,,,,
Akebono,1992.01,K1w,13,1992.03,S1e,8,1992.05,S1w,13,34,,,,,,,,,,,,,,,,
Takanohana,1992.09,K1w,14,1992.11,S1w,10,1993.01,S1e,11,35,,,,,,,,,,,,,,,,
Wakanohana,1993.03,K1e,14,1993.05,S1w,10,1993.07,S1e,13,37,,,,,,,,,,,,,,,,
Musashimaru,1993.09,S1e,8,1993.11,S2wH,13,1994.01,S1e,12,33,,,,,,,,,,,,,,,,
