Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
m6e,m8w,6,10,"[{""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m6e,m8w,7,5,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}]"
m6e,m8w,8,0,[]
m6e,m8w,9,0,[]
m6e,m8w,10,0,[]
m6e,m8w,11,0,[]
m6e,m8w,12,0,[]
m6e,m8w,13,0,[]
m6e,m8w,14,0,[]
m6e,m8w,15,0,[]
,,TOTAL,15,
#,#,#,#,#
m6e,m9e,0,0,[]
m6e,m9e,1,0,[]
m6e,m9e,2,0,[]
m6e,m9e,3,0,[]
m6e,m9e,4,1,"[{""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}]"
m6e,m9e,5,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m6e,m9e,6,10,"[{""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
