Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Bushozan,8,7,2,8,,44,26,0.37142857142857144,,Hidenoumi;Kagayaki;Tohakuryu;Chiyomaru;Chiyonokuni;Yutakayama;Tochimusashi;Chiyosakae
Tsurugisho,10,5,10,10,,45,25,0.35714285714285715,,Bushozan;Hidenoumi;Mitoryu;Chiyomaru;Azumaryu;Tohakuryu;Kinbozan;Churanoumi;Yutakayama;Kaisho
Mitoryu,9,6,6,9,,46,24,0.34285714285714286,,Bushozan;Tohakuryu;Ichiyamamoto;Hokuseiho;Chiyonokuni;Akua;Yutakayama;Kinbozan;Roga
Hidenoumi,4,11,-14,4,,47,23,0.32857142857142857,,Mitoryu;Chiyomaru;Kaisho;Chiyonokuni
Yutakayama,5,10,-10,5,,48,22,0.3142857142857143,,Hokuseiho;Hidenoumi;Kitanowaka;Tohakuryu;Tokushoryu
Akua,10,5,10,10,,49,21,0.3,,Yutakayama;Hokuseiho;Chiyonokuni;Hidenoumi;Churanoumi;Tochimusashi;Tohakuryu;Bushozan;Tsurugisho;Tokushoryu
Chiyonokuni,6,9,-6,6,,50,20,0.2857142857142857,,Yutakayama;Kitanowaka;Tochimusashi;Churanoumi;Tsurugisho;Tokushoryu
Hokuseiho,10,5,10,10,,51,19,0.2714285714285714,,Chiyonokuni;Tochimusashi;Kitanowaka;Hidenoumi;Tsurugisho;Oshoma;Chiyomaru;Bushozan;Tohakuryu;Daishoho
Kitanowaka,6,9,-6,6,,52,18,0.2571428571428571,,Shimanoumi;Daiamami;Hidenoumi;Bushozan;Tohakuryu;Tokushoryu
Tochimusashi,7,8,-2,7,,53,17,0.24285714285714285,,Kitanowaka;Takakento;Chiyosakae;Tokushoryu;Kaisho;Churanoumi;Yutakayama
Kinbozan,8,7,2,8,,54,16,0.22857142857142856,,Kitanowaka;Tochimusashi;Chiyosakae;Kaisho;Enho;Chiyomaru;Tsushimanada;Takakento
