Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Musashimaru,10,5,10,75,86.60190000000001,0,66,3.79,Y1e,Y1e,Tosanoumi;Takamisakari;Kyokushuzan;Takanowaka;Kotonowaka;Kaiho;Takanonami;Toki;Kotomitsuki;Hokutoriki
Musashimaru,10,5,10,75,86.60190000000001,1,65,3.79,Y1e,Y1e,Tosanoumi;Takamisakari;Kyokushuzan;Takanowaka;Kotonowaka;Kaiho;Takanonami;Toki;Kotomitsuki;Hokutoriki
Takanohana,0,15,-30,0,0,2,64,3.79,Y1w,Y1w,
Kaio,0,15,-30,0,0,3,63,2.2896,O1e,O1e,
Chiyotaikai,14,1,26,115,143.2081,4,62,2.2896,O1w,O1w,Kotonowaka;Kyokushuzan;Takamisakari;Miyabiyama;Tochinonada;Takanowaka;Aminishiki;Kaiho;Takanonami;Wakanosato;Hokutoriki;Asashoryu;Shimotori;Musashimaru
Tochiazuma,3,12,-18,20,25.2712,5,61,2.2896,O2e,O2e,Takamisakari;Miyabiyama;Dejima
Musoyama,0,15,-30,0,0,6,60,2.2896,O2w,O2w,
Asashoryu,12,3,18,90,109.40880000000001,7,59,1.5961,S1e,S1e,Kyokushuzan;Takanowaka;Tochinonada;Kotonowaka;Tosanoumi;Takamisakari;Kotomitsuki;Aminishiki;Miyabiyama;Kaiho;Kyokutenho;Musashimaru
Wakanosato,11,4,14,86,105.5744,8,58,1.5961,S1w,S1w,Kaiho;Kotonowaka;Kyokushuzan;Tochinonada;Miyabiyama;Tosanoumi;Aminishiki;Hokutoriki;Musashimaru;Takanonami;Asashoryu
Miyabiyama,6,9,-6,34,41.225699999999996,9,57,1.2755,K1e,K1e,Kotonowaka;Kyokushuzan;Tochinonada;Kotomitsuki;Kaiho;Tamakasuga
Tosanoumi,10,5,10,69,86.0139,10,56,1.2755,K1w,K1w,Aminishiki;Kaio;Dejima;Tochinonada;Chiyotaikai;Kotonowaka;Takanowaka;Tamakasuga;Takanonami;Miyabiyama
Tochinonada,7,8,-2,47,53.800399999999996,11,55,1.1274,,M1e,Kaio;Tamakasuga;Musashimaru;Hokutoriki;Kotonowaka;Toki;Takanowaka
Kotonowaka,2,13,-22,10,11.695599999999999,12,54,1.1274,,M1w,Hokutoriki;Kyokushuzan
Takamisakari,9,6,6,72,86.77210000000001,13,53,1.0589,,M2e,Kaio;Wakanosato;Kotonowaka;Miyabiyama;Tosanoumi;Kyokutenho;Tochinonada;Tochisakae;Buyuzan
Kyokushuzan,1,14,-26,4,5.6512,14,52,1.0589,,M2w,Tochiazuma
Dejima,2,13,-22,13,19.1619,15,51,1.0272,,M3e,Wakanosato;Kaio
Kotoryu,0,15,-30,0,0,16,50,1.0272,,M3w,
Takanowaka,7,8,-2,53,58.673399999999994,17,49,1.0126,,M4e,Miyabiyama;Shimotori;Tochiazuma;Kyokutenho;Aminishiki;Tokitsuumi;Wakanoyama
Kaiho,5,10,-10,26,33.358900000000006,18,48,1.0126,,M4w,Aminishiki;Dejima;Tosanoumi;Kyokushuzan;Kotonowaka
Aminishiki,6,9,-6,37,43.4127,19,47,1.0058,,M5e,Miyabiyama;Tamakasuga;Kyokushuzan;Tochinonada;Otsukasa;Daizen
Hokutoriki,7,8,-2,46,51.4197,20,46,1.0058,,M5w,Otsukasa;Shimotori;Kyokushuzan;Wakanoyama;Miyabiyama;Akinoshima;Aminishiki
Tamakasuga,6,9,-6,43,45.0843,21,45,1.0027,,M6e,Hokutoriki;Otsukasa;Daizen;Wakanoyama;Takanowaka;Akinoshima
Kotomitsuki,7,8,-2,54,65.1224,22,44,1.0027,,M6w,Toki;Wakanoyama;Kaiho;Tochisakae;Kyokushuzan;Tochinonada;Wakanosato
Toki,8,7,2,64,67.42309999999999,23,43,1.0012,,M7e,Kyokutenho;Kaiho;Daizen;Jumonji;Tamakasuga;Buyuzan;Oikari;Shimotori
Takanonami,9,6,6,80,87.2861,24,42,1.0012,,M7w,Kyokutenho;Kotomitsuki;Tokitsuumi;Wakanoyama;Hayateumi;Aminishiki;Takanowaka;Asashoryu;Tamanoshima
Kyokutenho,8,7,2,65,66.29610000000001,25,41,1.0006,,M8e,Hokutoriki;Aogiyama;Tokitsuumi;Kotomitsuki;Akinoshima;Buyuzan;Oikari;Daizen
Shimotori,9,6,6,74,82.1254,26,40,1.0006,,M8w,Otsukasa;Daizen;Akinoshima;Aminishiki;Kotomitsuki;Oikari;Takanonami;Takamisakari;Musashimaru
Otsukasa,5,10,-10,29,30.421999999999997,27,39,1.0003,,M9e,Chiyotenzan;Kyokushuzan;Jumonji;Oikari;Wakanoyama
Daizen,6,9,-6,46,48.057599999999994,28,38,1.0003,,M9w,Hokutoriki;Aogiyama;Tokitsuumi;Otsukasa;Takanowaka;Oikari
Wakanoyama,6,9,-6,42,42.6038,29,37,1.0001,,M10e,Daizen;Toki;Chiyotenzan;Jumonji;Oikari;Kaiho
Tochisakae,9,6,6,66,66.25309999999999,30,36,1.0001,,M10w,Tokitsuumi;Otsukasa;Tamakasuga;Chiyotenzan;Aogiyama;Toki;Daizen;Jumonji;Kyokutenho
Tokitsuumi,8,7,2,74,76.85079999999999,31,35,1.0001,,M11e,Tamanoshima;Buyuzan;Toki;Akinoshima;Gojoro;Hayateumi;Wakanoyama;Takamisakari
Akinoshima,6,9,-6,33,34.5592,32,34,1.0001,,M11w,Wakanoyama;Hamanishiki;Otsukasa;Daizen;Chiyotenzan;Kyokushuzan
Jumonji,5,10,-10,39,39.1794,33,33,1,,M12e,Akinoshima;Tokitsuumi;Hayateumi;Iwakiyama;Chiyotenzan
Aogiyama,6,9,-6,40,40.93979999999999,34,32,1,,M12w,Hayateumi;Chiyotenzan;Otsukasa;Jumonji;Kotomitsuki;Tamakasuga
Hayateumi,6,9,-6,53,53.121700000000004,35,31,1,,M13e,Tamanoshima;Otsukasa;Tochinohana;Akinoshima;Asanowaka;Senshuyama
Chiyotenzan,5,10,-10,31,32.4077,36,30,1,,M13w,Hamanishiki;Kitazakura;Senshuyama;Wakakosho;Kyokushuzan
Hamanishiki,4,11,-14,23,24.408,37,29,1,,M14e,Senshuyama;Jumonji;Otsukasa;Kyokushuzan
Buyuzan,10,5,10,74,78.4219,38,28,1,,M14w,Oikari;Hamanishiki;Daizen;Hayateumi;Chiyotenzan;Shimotori;Aogiyama;Jumonji;Takanonami;Kotomitsuki
Oikari,7,8,-2,57,57.1271,39,27,1,,M15e,Chiyotenzan;Jumonji;Tamanoshima;Hayateumi;Tochisakae;Akinoshima;Tochinohana
Tamanoshima,11,4,14,93,96.02570000000001,40,26,1,,M15w,Tochinohana;Akinoshima;Takanotsuru;Jumonji;Hamanishiki;Asanowaka;Shimotori;Wakanoyama;Toki;Buyuzan;Kyokutenho
Tochinohana,8,7,2,54,54.123999999999995,41,25,1,,J1e,Kitazakura;Wakakosho;Chiyotenzan;Senshuyama;Toyozakura;Hamanishiki;Aogiyama;Jumonji
Gojoro,10,5,10,79,79.1187,42,24,1,,J1w,Kitazakura;Oikari;Wakakosho;Takanotsuru;Kasuganishiki;Toyozakura;Hayateumi;Chiyotenzan;Hamanishiki;Iwakiyama
Kitazakura,6,9,-6,36,31.0592,43,23,1,,J2e,Hamanishiki;Kobo;Takatoriki;Daishodai;Minatofuji;Hokutoiwa
Asanowaka,9,6,6,81,81.1253,44,22,1,,J2w,Kasuganishiki;Kobo;Hamanishiki;Wakakosho;Gojoro;Kitazakura;Aogiyama;Tokitsuumi;Oginishiki
Senshuyama,8,7,2,69,66,45,21,1,,J3e,Iwakiyama;Takatoriki;Gojoro;Oginishiki;Kitazakura;Toyozakura;Kasugao;Juzan
Iwakiyama,9,6,6,71,68.0597,46,20,1,,J3w,Asanowaka;Toyozakura;Tochinohana;Daishodai;Hamanishiki;Juzan;Hayateumi;Kotokanyu;Kasuganishiki
Kasuganishiki,11,4,14,88,87.06490000000001,47,19,1,,J4e,Senshuyama;Kobo;Kitazakura;Toyozakura;Daishodai;Takatoriki;Ushiomaru;Takanotsuru;Aogiyama;Hamanishiki;Juzan
Tamarikido,0,15,-30,0,0,48,18,1,,J4w,
Takanotsuru,9,6,6,66,60.0001,49,17,1,,J5e,Wakakosho;Takatoriki;Tochinohana;Kitazakura;Juzan;Asanowaka;Kotokanyu;Daishodai;Minatofuji
Komahikari,0,15,-30,0,0,50,16,1,,J5w,
Wakakosho,7,8,-2,45,40.059200000000004,51,15,1,,J6e,Toyozakura;Oginishiki;Asasekiryu;Takatoriki;Hokutoiwa;Daishodai;Hamanishiki
Higonoumi,0,15,-30,0,0,52,14,1,,J6w,
Takatoriki,5,10,-10,31,28,53,13,1,,J7e,Tochinohana;Hokutoiwa;Daishodai;Oginishiki
Kobo,10,5,10,84,76,54,12,1,,J7w,Takatoriki;Daishodai;Senshuyama;Iwakiyama;Takanotsuru;Kotokanyu;Kasugao;Asasekiryu;Tochinohana;Gojoro
Toyozakura,5,10,-10,35,25,55,11,1,,J8e,Kotokanyu;Asasekiryu;Kasugao;Minatofuji;Takatoriki
Ushiomaru,13,2,22,110,101.0005,56,10,1,,J8w,Toyozakura;Kasugao;Minatofuji;Asanowaka;Senshuyama;Kotokanyu;Iwakiyama;Takanotsuru;Kobo;Kitazakura;Gojoro;Asasekiryu;Hayateumi
Daishodai,3,12,-18,16,12,57,9,1,,J9e,Minatofuji;Hokutoiwa;Toyozakura
Oginishiki,10,5,10,85,77,58,8,1,,J9w,Daishodai;Ushiomaru;Kasuganishiki;Kasugao;Minatofuji;Iwakiyama;Juzan;Hokutoiwa;Asasekiryu;Takanotsuru
Harunoyama,0,15,-30,0,0,59,7,1,,J10e,
Juzan,8,7,2,60,54.0001,60,6,1,,J10w,Asasekiryu;Kasugao;Daishodai;Minatofuji;Wakakosho;Kobo;Asanowaka;Kitazakura
