Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Kakuryu,13,2,22,102,122.10929999999998,0,70,3.79,Y1e,Y1e,Chiyotairyu;Endo;Tamawashi;Arawashi;Takarafuji;Kotoshogiku;Takakeisho;Shohozan;Shodai;Chiyomaru;Ichinojo;Kaisei;Goeido
Hakuho,0,15,-30,0,0,1,69,3.79,Y1w,Y1w,
Kisenosato,0,15,-30,0,0,2,68,3.79,Y2e,Y2e,
Takayasu,12,3,18,95,118.58059999999999,3,67,2.2896,O1e,O1e,Arawashi;Tamawashi;Kotoshogiku;Takarafuji;Shohozan;Takakeisho;Chiyotairyu;Shodai;Tochinoshin;Goeido;Mitakeumi;Kakuryu
Goeido,9,6,6,63,75.7467,4,66,2.2896,O1w,O1w,Arawashi;Chiyotairyu;Takakeisho;Shohozan;Takarafuji;Kotoshogiku;Tochinoshin;Shodai;Ichinojo
Mitakeumi,7,8,-2,51,59.3784,5,65,1.5961,S1e,S1e,Arawashi;Takarafuji;Ichinojo;Tamawashi;Chiyotairyu;Hokutofuji;Goeido
Tochinoshin,10,5,10,79,99.0414,6,64,1.5961,S1w,S1w,Takarafuji;Kotoshogiku;Chiyotairyu;Endo;Arawashi;Mitakeumi;Shohozan;Kakuryu;Chiyomaru;Ichinojo
Ichinojo,9,6,6,69,84.548,7,63,1.2755,K1e,K1e,Kotoshogiku;Takayasu;Takarafuji;Endo;Chiyotairyu;Arawashi;Takakeisho;Kaisei;Shodai
Chiyotairyu,4,11,-14,31,34.815799999999996,8,62,1.2755,K1w,K1w,Takarafuji;Tamawashi;Shohozan;Tochiozan
Endo,9,6,6,72,88.75569999999999,9,61,1.1274,,M1e,Takayasu;Mitakeumi;Goeido;Chiyotairyu;Arawashi;Takarafuji;Kaisei;Chiyomaru;Hokutofuji
Tamawashi,9,6,6,73,92.2491,10,60,1.1274,,M1w,Goeido;Tochinoshin;Arawashi;Ichinojo;Endo;Kotoshogiku;Takarafuji;Shohozan;Chiyomaru
Arawashi,2,13,-22,11,11.5671,11,59,1.0589,,M2e,Takarafuji;Chiyotairyu
Takarafuji,5,10,-10,30,34.3608,12,58,1.0589,,M2w,Chiyomaru;Kotoshogiku;Tochiozan;Kagayaki;Kotoyuki
Kotoshogiku,6,9,-6,43,50.326800000000006,13,57,1.0272,,M3e,Chiyotairyu;Endo;Mitakeumi;Arawashi;Daieisho;Hokutofuji
Takakeisho,3,12,-18,27,35.8517,14,56,1.0272,,M3w,Shodai;Tochinoshin;Mitakeumi
Shohozan,8,7,2,57,72.8148,15,55,1.0126,,M4e,Takakeisho;Chiyomaru;Shodai;Kotoshogiku;Arawashi;Mitakeumi;Ichinojo;Endo
Shodai,7,8,-2,62,76.1234,16,54,1.0126,,M4w,Chiyomaru;Hokutofuji;Abi;Yoshikaze;Tamawashi;Mitakeumi;Tochinoshin
Chiyomaru,6,9,-6,54,68.4881,17,53,1.0058,,M5e,Takakeisho;Yoshikaze;Abi;Goeido;Mitakeumi;Takayasu
Onosho,0,15,-30,0,0,18,52,1.0058,,M5w,
Kaisei,12,3,18,102,108.757,19,51,1.0027,,M6e,Hokutofuji;Abi;Yoshikaze;Shodai;Chiyomaru;Daieisho;Kagayaki;Okinoumi;Ryuden;Takakeisho;Daishomaru;Ikioi
Hokutofuji,6,9,-6,49,54.6508,20,50,1.0027,,M6w,Chiyomaru;Kagayaki;Chiyoshoma;Takakeisho;Shohozan;Daiamami
Abi,10,5,10,83,85.1651,21,49,1.0012,,M7e,Yoshikaze;Hokutofuji;Daieisho;Chiyonokuni;Okinoumi;Ryuden;Yutakayama;Chiyotairyu;Kotoshogiku;Daishomaru
Yoshikaze,7,8,-2,47,50.558499999999995,22,48,1.0012,,M7w,Hokutofuji;Kagayaki;Chiyonokuni;Tochiozan;Tamawashi;Chiyotairyu;Arawashi
Kagayaki,7,8,-2,56,56.7093,23,47,1.0006,,M8e,Okinoumi;Chiyoshoma;Abi;Tochiozan;Daishomaru;Arawashi;Ishiura
Daieisho,9,6,6,69,70.9853,24,46,1.0006,,M8w,Kagayaki;Ryuden;Yoshikaze;Hokutofuji;Tochiozan;Nishikigi;Asanoyama;Chiyonokuni;Shodai
Okinoumi,7,8,-2,62,62.49109999999999,25,45,1.0003,,M9e,Daieisho;Chiyonokuni;Chiyoshoma;Tochiozan;Yutakayama;Yoshikaze;Aoiyama
Ryuden,8,7,2,53,53.912200000000006,26,44,1.0003,,M9w,Okinoumi;Ishiura;Hokutofuji;Yoshikaze;Sokokurai;Hidenoumi;Arawashi;Asanoyama
Chiyoshoma,9,6,6,72,72.8585,27,43,1.0001,,M10e,Ryuden;Kotoyuki;Yoshikaze;Daieisho;Abi;Myogiryu;Daishomaru;Aoiyama;Nishikigi
Chiyonokuni,7,8,-2,46,46.0665,28,42,1.0001,,M10w,Yutakayama;Tochiozan;Ryuden;Ishiura;Kotoyuki;Nishikigi;Hidenoumi
Tochiozan,5,10,-10,36,36.067,29,41,1.0001,,M11e,Chiyoshoma;Kotoyuki;Ryuden;Daiamami;Hidenoumi
Yutakayama,10,5,10,83,83.14840000000001,30,40,1.0001,,M11w,Chiyoshoma;Tochiozan;Ishiura;Ryuden;Kagayaki;Daieisho;Ikioi;Kotoyuki;Aoiyama;Asanoyama
Ishiura,7,8,-2,48,48.00449999999999,31,39,1,,M12e,Kotoyuki;Daishomaru;Chiyoshoma;Hidenoumi;Myogiryu;Tochiozan;Aoiyama
Kotoyuki,1,14,-26,6,6.0006,32,38,1,,M12w,Nishikigi
Daishomaru,9,6,6,65,65.005,33,37,1,,M13e,Asanoyama;Kotoyuki;Nishikigi;Yutakayama;Ikioi;Sokokurai;Myogiryu;Hidenoumi;Chiyonokuni
Asanoyama,8,7,2,52,52.0043,34,36,1,,M13w,Kotoyuki;Ishiura;Nishikigi;Tochiozan;Daiamami;Hidenoumi;Myogiryu;Okinoumi
Ikioi,11,4,14,78,78.06559999999999,35,35,1,,M14e,Sokokurai;Myogiryu;Hidenoumi;Asanoyama;Aoiyama;Kyokutaisei;Kotoyuki;Kagayaki;Okinoumi;Chiyonokuni;Ishiura
Nishikigi,5,10,-10,36,36.062,36,34,1,,M14w,Myogiryu;Sokokurai;Azumaryu;Ishiura;Kagayaki
Sokokurai,5,10,-10,31,31.002899999999997,37,33,1,,M15e,Hidenoumi;Meisei;Asanoyama;Kotoyuki;Okinoumi
Myogiryu,6,9,-6,37,37.002900000000004,38,32,1,,M15w,Sokokurai;Aoiyama;Hidenoumi;Kotoyuki;Meisei;Okinoumi
Daiamami,10,5,10,73,73.0048,39,31,1,,M16e,Hidenoumi;Aminishiki;Sokokurai;Ikioi;Myogiryu;Chiyonokuni;Nishikigi;Ishiura;Kotoyuki;Yutakayama
Hidenoumi,3,12,-18,18,18.0006,40,30,1,,M16w,Takekaze;Nishikigi;Kotoyuki
Aoiyama,8,7,2,63,63.002300000000005,41,29,1,,M17e,Kyokutaisei;Daiamami;Nishikigi;Hidenoumi;Asanoyama;Daishomaru;Sokokurai;Chiyonokuni
Kyokutaisei,8,7,2,75,75.0002,42,28,1,,J1e,Aminishiki;Azumaryu;Sadanoumi;Tokushoryu;Gagamaru;Daiamami;Takanosho;Kotoeko
