Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Hakuho,11,4,14,90,119.6508,0,70,3.79,Y1e,Y1e,Takarafuji;Tochinoshin;Toyonoshima;Aminishiki;Tochiozan;Sadanoumi;Osunaarashi;Myogiryu;Tokushoryu;Terunofuji;Kotoshogiku
Harumafuji,11,4,14,90,126.31930000000001,1,69,3.79,Y1w,Y1w,Tochiozan;Tochinoshin;Toyonoshima;Osunaarashi;Tokushoryu;Kitataiki;Ichinojo;Goeido;Kisenosato;Kotoshogiku;Hakuho
Kakuryu,0,15,-30,0,0,2,68,3.79,Y2e,Y2e,
Kisenosato,11,4,14,89,122.9,3,67,2.2896,O1e,O1e,Takarafuji;Ichinojo;Aminishiki;Toyonoshima;Osunaarashi;Tochiozan;Sadanoumi;Goeido;Tokushoryu;Hakuho;Kotoshogiku
Kotoshogiku,6,9,-6,56,76.0467,4,66,2.2896,O1w,O1w,Tochinoshin;Tochiozan;Ichinojo;Sadanoumi;Myogiryu;Takayasu
Goeido,8,7,2,69,86.5966,5,65,2.2896,O2w,O2w,Toyonoshima;Aminishiki;Takarafuji;Tochinoshin;Tokushoryu;Kotoshogiku;Hakuho;Kaisei
Terunofuji,12,3,18,98,132.3927,6,64,1.5961,S1e,S1e,Osunaarashi;Tochiozan;Ichinojo;Tochinoshin;Kitataiki;Kotoshogiku;Tamawashi;Toyonoshima;Kisenosato;Takayasu;Myogiryu;Aoiyama
Myogiryu,7,8,-2,65,93.91329999999999,7,63,1.5961,S1w,S1w,Aminishiki;Kisenosato;Ichinojo;Tamawashi;Harumafuji;Tokushoryu;Takayasu
Tochiozan,8,7,2,65,88.11040000000001,8,62,1.2755,K1e,K1e,Myogiryu;Toyonoshima;Goeido;Takarafuji;Tamawashi;Ichinojo;Tokushoryu;Okinoumi
Ichinojo,8,7,2,74,95.4405,9,61,1.2755,K1w,K1w,Hakuho;Goeido;Toyonoshima;Takarafuji;Aminishiki;Sadanoumi;Ikioi;Kaisei
Takarafuji,9,6,6,70,89.2313,10,60,1.1274,,M1e,Kotoshogiku;Kitataiki;Tamawashi;Myogiryu;Sadanoumi;Gagamaru;Toyonoshima;Okinoumi;Ikioi
Tochinoshin,9,6,6,77,102.82229999999998,11,59,1.1274,,M1w,Kisenosato;Ichinojo;Myogiryu;Aminishiki;Takarafuji;Toyonoshima;Tamawashi;Kaisei;Homarefuji
Toyonoshima,4,11,-14,27,36.275800000000004,12,58,1.0589,,M2e,Myogiryu;Aminishiki;Kotoshogiku;Kitataiki
Aminishiki,6,9,-6,39,47.745799999999996,13,57,1.0589,,M2w,Kotoshogiku;Gagamaru;Kitataiki;Tochiozan;Tokushoryu;Arawashi
Sadanoumi,8,7,2,67,88.6318,14,56,1.0272,,M3e,Terunofuji;Chiyootori;Kitataiki;Harumafuji;Tochinoshin;Tochiozan;Kyokushuho;Aminishiki
Osunaarashi,4,11,-14,28,40.1103,15,55,1.0272,,M3w,Chiyootori;Myogiryu;Goeido;Aoiyama
Chiyootori,0,15,-30,0,0,16,54,1.0126,,M4e,
Tokushoryu,6,9,-6,41,54.3296,17,53,1.0126,,M4w,Kitataiki;Tamawashi;Sokokurai;Sadanoumi;Terunofuji;Toyonoshima
Kitataiki,4,11,-14,17,19.7984,18,52,1.0058,,M5e,Gagamaru;Sokokurai;Arawashi;Fujiazuma
Tamawashi,6,9,-6,40,55.05,19,51,1.0058,,M5w,Gagamaru;Sadanofuji;Harumafuji;Kitataiki;Toyonoshima;Arawashi
Gagamaru,7,8,-2,63,73.3234,20,50,1.0027,,M6e,Homarefuji;Endo;Takekaze;Harumafuji;Toyohibiki;Kotoyuki;Yoshikaze
Aoiyama,9,6,6,65,68.3933,21,49,1.0027,,M6w,Sokokurai;Sadanofuji;Tokushoryu;Homarefuji;Takekaze;Kitataiki;Kotoshogiku;Kaisei;Kotoyuki
Sokokurai,1,14,-26,9,9.067,22,48,1.0012,,M7e,Takekaze
Sadanofuji,6,9,-6,46,48.8044,23,47,1.0012,,M7w,Gagamaru;Endo;Chiyomaru;Jokoryu;Yoshikaze;Amuru
Takekaze,8,7,2,65,69.53179999999999,24,46,1.0006,,M8e,Sadanofuji;Tamawashi;Kaisei;Homarefuji;Toyohibiki;Kyokushuho;Aminishiki;Takanoiwa
Takayasu,10,5,10,87,100.48609999999998,25,45,1.0006,,M8w,Homarefuji;Endo;Tamawashi;Aoiyama;Ikioi;Tokushoryu;Gagamaru;Kyokushuho;Amuru;Goeido
Homarefuji,7,8,-2,48,50.885099999999994,26,44,1.0003,,M9e,Sokokurai;Sadanofuji;Tamawashi;Endo;Kyokutenho;Jokoryu;Okinoumi
Endo,6,9,-6,36,36.0824,27,43,1.0003,,M9w,Arawashi;Chiyomaru;Takekaze;Kitataiki;Jokoryu;Kyokutenho
Ikioi,10,5,10,89,97.0958,28,42,1.0001,,M10e,Endo;Homarefuji;Takekaze;Yoshikaze;Sadanofuji;Gagamaru;Aoiyama;Okinoumi;Kyokushuho;Sadanoumi
Okinoumi,9,6,6,78,80.7079,29,41,1.0001,,M10w,Kyokushuho;Arawashi;Toyohibiki;Takekaze;Takayasu;Aoiyama;Kyokutenho;Kotoyuki;Amuru
Kaisei,10,5,10,79,80.3655,30,40,1.0001,,M11e,Okinoumi;Arawashi;Fujiazuma;Ikioi;Chiyomaru;Yoshikaze;Sadanofuji;Takayasu;Amuru;Takanoiwa
Kyokushuho,9,6,6,58,58.0171,31,39,1.0001,,M11w,Arawashi;Endo;Fujiazuma;Toyohibiki;Jokoryu;Kotoyuki;Amuru;Takanoiwa;Chiyomaru
Arawashi,2,13,-22,14,14.0103,32,38,1,,M12e,Sadanofuji;Toyohibiki
Toyohibiki,6,9,-6,37,37.0192,33,37,1,,M12w,Fujiazuma;Chiyomaru;Endo;Kitataiki;Takanoiwa;Kotoyuki
Fujiazuma,3,12,-18,17,17.0121,34,36,1,,M13e,Arawashi;Endo;Sadanofuji
Chiyomaru,3,12,-18,16,16.069699999999997,35,35,1,,M13w,Arawashi;Fujiazuma;Takekaze
Yoshikaze,10,5,10,77,78.3314,36,34,1,,M14e,Chiyomaru;Fujiazuma;Toyohibiki;Jokoryu;Okinoumi;Kotoyuki;Takanoiwa;Kyokushuho;Kyokutenho;Aoiyama
Kyokutenho,8,7,2,51,53.80839999999999,37,32,1,,M14w,Chiyomaru;Takanoiwa;Amuru;Fujiazuma;Toyohibiki;Arawashi;Gagamaru;Sadanofuji
Jokoryu,5,10,-10,27,27.013299999999997,38,31,1,,M15e,Kyokutenho;Toyohibiki;Arawashi;Fujiazuma;Chiyomaru
Kotoyuki,8,7,2,55,55.043099999999995,39,30,1,,M15w,Takanoiwa;Kyokutenho;Jokoryu;Arawashi;Chiyotairyu;Ikioi;Chiyomaru;Fujiazuma
Takanoiwa,7,8,-2,41,41.018899999999995,40,29,1,,M16e,Seiro;Jokoryu;Fujiazuma;Arawashi;Chiyomaru;Homarefuji;Endo
