Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Hakuho,14,1,26,115,166.6538,0,70,3.79,Y1e,Y1e,Dejima;Tokitenku;Toyonoshima;Tochinonada;Goeido;Kisenosato;Miyabiyama;Kotoshogiku;Wakanosato;Aminishiki;Kotooshu;Kaio;Kotomitsuki;Asashoryu
Asashoryu,13,2,22,100,143.05529999999996,1,69,3.79,Y1w,Y1w,Kotoshogiku;Tokitenku;Goeido;Toyonoshima;Miyabiyama;Dejima;Tochinonada;Ama;Wakanosato;Kotooshu;Aminishiki;Kotomitsuki;Kaio
Chiyotaikai,0,15,-30,0,0,2,68,2.2896,O1e,O1e,
Kotomitsuki,8,7,2,58,73.5257,3,67,2.2896,O1w,O1w,Tokitenku;Dejima;Miyabiyama;Tochinonada;Roho;Wakanosato;Asasekiryu;Aminishiki
Kaio,8,7,2,57,75.8503,4,66,2.2896,O2e,O2e,Toyonoshima;Miyabiyama;Dejima;Tochinonada;Kotomitsuki;Goeido;Aminishiki;Kyokutenho
Kotooshu,9,6,6,78,109.74919999999999,5,64,2.2896,O2w,O2w,Miyabiyama;Ama;Tokitenku;Goeido;Kisenosato;Dejima;Asasekiryu;Kakuryu;Kaio
Aminishiki,5,10,-10,31,41.533,6,63,1.5961,S1e,S1e,Goeido;Tochinonada;Wakanosato;Chiyotaikai;Kotooshu
Ama,9,6,6,75,108.7254,7,62,1.5961,S1w,S1w,Goeido;Chiyotaikai;Kaio;Kotomitsuki;Dejima;Hakuho;Kisenosato;Miyabiyama;Kakuryu
Kotoshogiku,9,6,6,71,107.9677,8,61,1.2755,K1e,K1e,Kaio;Kisenosato;Ama;Aminishiki;Dejima;Toyonoshima;Tokitenku;Goeido;Asasekiryu
Dejima,3,12,-18,14,23.088700000000003,9,60,1.2755,K1w,K1w,Chiyotaikai;Aminishiki;Toyonoshima
Kisenosato,10,5,10,73,104.97960000000002,10,59,1.1274,,M1e,Chiyotaikai;Asashoryu;Kotomitsuki;Tochinonada;Goeido;Roho;Toyonoshima;Kaio;Aminishiki;Tokitenku
